Generation: 7
1, 9, -212, {'epochs': 93, 'units1': 195, 'act1': 'tanh', 'units2': 139, 'act2': 'relu', 'act3': 'tanh', 'loss': 'sparse_categorical_crossentropy', 'optimizer': 'sgd'}
1, 9, -212, {'epochs': 68, 'units1': 158, 'act1': 'tanh', 'units2': 63, 'act2': 'linear', 'act3': 'tanh', 'loss': 'mean_squared_error', 'optimizer': 'rmsprop'}
1, 9, -212, {'epochs': 157, 'units1': 179, 'act1': 'selu', 'units2': 75, 'act2': 'selu', 'act3': 'selu', 'loss': 'binary_crossentropy', 'optimizer': 'nadam'}
1, 200, 99, {'epochs': 72, 'units1': 154, 'act1': 'tanh', 'units2': 61, 'act2': 'linear', 'act3': 'tanh', 'loss': 'sparse_categorical_crossentropy', 'optimizer': 'adadelta'}
5, 133, 1804, {'epochs': 152, 'units1': 186, 'act1': 'selu', 'units2': 77, 'act2': 'selu', 'act3': 'selu', 'loss': 'binary_crossentropy', 'optimizer': 'nadam'}
1, 9, -212, {'epochs': 151, 'units1': 189, 'act1': 'selu', 'units2': 74, 'act2': 'selu', 'act3': 'selu', 'loss': 'sparse_categorical_crossentropy', 'optimizer': 'adam'}
1, 17, -196, {'epochs': 279, 'units1': 135, 'act1': 'selu', 'units2': 63, 'act2': 'tanh', 'act3': 'selu', 'loss': 'binary_crossentropy', 'optimizer': 'nadam'}
1, 21, -194, {'epochs': 52, 'units1': 169, 'act1': 'tanh', 'units2': 65, 'act2': 'selu', 'act3': 'tanh', 'loss': 'mean_absolute_error', 'optimizer': 'adagrad'}
1, 9, -185, {'epochs': 61, 'units1': 167, 'act1': 'selu', 'units2': 67, 'act2': 'tanh', 'act3': 'selu', 'loss': 'mean_squared_error', 'optimizer': 'adagrad'}
2, 277, 625, {'epochs': 176, 'units1': 207, 'act1': 'tanh', 'units2': 184, 'act2': 'selu', 'act3': 'tanh', 'loss': 'sparse_categorical_crossentropy', 'optimizer': 'adadelta'}
1, 200, -507, {'epochs': 103, 'units1': 237, 'act1': 'selu', 'units2': 138, 'act2': 'linear', 'act3': 'selu', 'loss': 'sparse_categorical_crossentropy', 'optimizer': 'adam'}
1, 9, -203, {'epochs': 148, 'units1': 190, 'act1': 'selu', 'units2': 79, 'act2': 'selu', 'act3': 'selu', 'loss': 'binary_crossentropy', 'optimizer': 'sgd'}
