Generation: 2
1, 9, -212, {'epochs': 203, 'units1': 141, 'act1': 'softmax', 'units2': 97, 'act2': 'relu', 'act3': 'softmax', 'loss': 'categorical_crossentropy', 'optimizer': 'adamax'}
1, 200, 96, {'epochs': 75, 'units1': 42, 'act1': 'sigmoid', 'units2': 231, 'act2': 'selu', 'act3': 'sigmoid', 'loss': 'binary_crossentropy', 'optimizer': 'adagrad'}
1, 200, 96, {'epochs': 203, 'units1': 133, 'act1': 'softmax', 'units2': 111, 'act2': 'relu', 'act3': 'softmax', 'loss': 'binary_crossentropy', 'optimizer': 'adamax'}
1, 200, 96, {'epochs': 85, 'units1': 162, 'act1': 'linear', 'units2': 30, 'act2': 'softmax', 'act3': 'linear', 'loss': 'binary_crossentropy', 'optimizer': 'adagrad'}
1, 9, -212, {'epochs': 81, 'units1': 255, 'act1': 'relu', 'units2': 207, 'act2': 'softmax', 'act3': 'relu', 'loss': 'mean_squared_error', 'optimizer': 'rmsprop'}
1, 19, -198, {'epochs': 145, 'units1': 166, 'act1': 'softmax', 'units2': 252, 'act2': 'relu', 'act3': 'softmax', 'loss': 'categorical_crossentropy', 'optimizer': 'adadelta'}
1, 200, 99, {'epochs': 145, 'units1': 166, 'act1': 'softmax', 'units2': 252, 'act2': 'relu', 'act3': 'softmax', 'loss': 'mean_absolute_error', 'optimizer': 'adam'}
1, 200, 589, {'epochs': 132, 'units1': 154, 'act1': 'linear', 'units2': 82, 'act2': 'linear', 'act3': 'linear', 'loss': 'binary_crossentropy', 'optimizer': 'adamax'}
3, 35, 838, {'epochs': 102, 'units1': 94, 'act1': 'relu', 'units2': 126, 'act2': 'selu', 'act3': 'relu', 'loss': 'mean_squared_error', 'optimizer': 'adadelta'}
1, 9, -212, {'epochs': 182, 'units1': 142, 'act1': 'relu', 'units2': 78, 'act2': 'sigmoid', 'act3': 'relu', 'loss': 'sparse_categorical_crossentropy', 'optimizer': 'nadam'}
1, 72, -176, {'epochs': 140, 'units1': 150, 'act1': 'linear', 'units2': 80, 'act2': 'linear', 'act3': 'linear', 'loss': 'categorical_crossentropy', 'optimizer': 'adagrad'}
1, 200, 96, {'epochs': 108, 'units1': 88, 'act1': 'relu', 'units2': 116, 'act2': 'selu', 'act3': 'relu', 'loss': 'mean_absolute_error', 'optimizer': 'adam'}
5, 83, 1862, {'epochs': 20, 'units1': 90, 'act1': 'tanh', 'units2': 114, 'act2': 'selu', 'act3': 'tanh', 'loss': 'categorical_crossentropy', 'optimizer': 'adagrad'}
1, 9, -212, {'epochs': 133, 'units1': 252, 'act1': 'sigmoid', 'units2': 78, 'act2': 'sigmoid', 'act3': 'sigmoid', 'loss': 'binary_crossentropy', 'optimizer': 'nadam'}
1, 200, 96, {'epochs': 13, 'units1': 194, 'act1': 'softmax', 'units2': 234, 'act2': 'tanh', 'act3': 'softmax', 'loss': 'mean_squared_error', 'optimizer': 'adam'}
1, 200, 96, {'epochs': 109, 'units1': 82, 'act1': 'relu', 'units2': 122, 'act2': 'selu', 'act3': 'relu', 'loss': 'mean_absolute_error', 'optimizer': 'adam'}
1, 9, -185, {'epochs': 132, 'units1': 250, 'act1': 'sigmoid', 'units2': 66, 'act2': 'sigmoid', 'act3': 'sigmoid', 'loss': 'categorical_crossentropy', 'optimizer': 'adadelta'}
1, 9, -188, {'epochs': 6, 'units1': 206, 'act1': 'softmax', 'units2': 226, 'act2': 'tanh', 'act3': 'softmax', 'loss': 'mean_squared_error', 'optimizer': 'adam'}
