Generation: 29
1, 200, -503, {'epochs': 99, 'units1': 174, 'act1': 'tanh', 'units2': 83, 'act2': 'linear', 'act3': 'tanh', 'loss': 'categorical_crossentropy', 'optimizer': 'rmsprop'}
26, 333, 12665, {'epochs': 99, 'units1': 174, 'act1': 'linear', 'units2': 83, 'act2': 'tanh', 'act3': 'linear', 'loss': 'mean_absolute_error', 'optimizer': 'nadam'}
1, 200, 107, {'epochs': 135, 'units1': 262, 'act1': 'tanh', 'units2': 144, 'act2': 'linear', 'act3': 'tanh', 'loss': 'binary_crossentropy', 'optimizer': 'adagrad'}
1, 200, 107, {'epochs': 148, 'units1': 254, 'act1': 'selu', 'units2': 143, 'act2': 'selu', 'act3': 'selu', 'loss': 'sparse_categorical_crossentropy', 'optimizer': 'adamax'}
1, 30, -194, {'epochs': 99, 'units1': 174, 'act1': 'linear', 'units2': 83, 'act2': 'tanh', 'act3': 'linear', 'loss': 'categorical_crossentropy', 'optimizer': 'rmsprop'}
1, 9, -201, {'epochs': 104, 'units1': 232, 'act1': 'linear', 'units2': 96, 'act2': 'tanh', 'act3': 'linear', 'loss': 'mean_absolute_error', 'optimizer': 'adadelta'}
5, 56, 1835, {'epochs': 105, 'units1': 170, 'act1': 'linear', 'units2': 89, 'act2': 'tanh', 'act3': 'linear', 'loss': 'sparse_categorical_crossentropy', 'optimizer': 'adam'}
1, 200, -571, {'epochs': 159, 'units1': 250, 'act1': 'selu', 'units2': 141, 'act2': 'selu', 'act3': 'selu', 'loss': 'mean_squared_error', 'optimizer': 'nadam'}
1, 19, -195, {'epochs': 149, 'units1': 178, 'act1': 'selu', 'units2': 72, 'act2': 'selu', 'act3': 'selu', 'loss': 'sparse_categorical_crossentropy', 'optimizer': 'adagrad'}
1, 200, -532, {'epochs': 105, 'units1': 170, 'act1': 'linear', 'units2': 89, 'act2': 'tanh', 'act3': 'linear', 'loss': 'mean_squared_error', 'optimizer': 'adam'}
4, 370, 902, {'epochs': 99, 'units1': 174, 'act1': 'tanh', 'units2': 83, 'act2': 'linear', 'act3': 'tanh', 'loss': 'sparse_categorical_crossentropy', 'optimizer': 'rmsprop'}
1, 18, -221, {'epochs': 147, 'units1': 254, 'act1': 'selu', 'units2': 131, 'act2': 'selu', 'act3': 'selu', 'loss': 'categorical_crossentropy', 'optimizer': 'adam'}
1, 19, -198, {'epochs': 147, 'units1': 254, 'act1': 'selu', 'units2': 131, 'act2': 'selu', 'act3': 'selu', 'loss': 'binary_crossentropy', 'optimizer': 'adam'}
1, 9, -212, {'epochs': 147, 'units1': 190, 'act1': 'selu', 'units2': 67, 'act2': 'selu', 'act3': 'selu', 'loss': 'sparse_categorical_crossentropy', 'optimizer': 'sgd'}
1, 9, -212, {'epochs': 105, 'units1': 170, 'act1': 'tanh', 'units2': 89, 'act2': 'linear', 'act3': 'tanh', 'loss': 'categorical_crossentropy', 'optimizer': 'adamax'}
5, 144, 1797, {'epochs': 111, 'units1': 170, 'act1': 'tanh', 'units2': 93, 'act2': 'linear', 'act3': 'tanh', 'loss': 'binary_crossentropy', 'optimizer': 'adadelta'}
1, 200, -574, {'epochs': 131, 'units1': 14, 'act1': 'tanh', 'units2': 147, 'act2': 'linear', 'act3': 'tanh', 'loss': 'categorical_crossentropy', 'optimizer': 'adam'}
1, 19, -195, {'epochs': 104, 'units1': 232, 'act1': 'tanh', 'units2': 96, 'act2': 'linear', 'act3': 'tanh', 'loss': 'categorical_crossentropy', 'optimizer': 'adam'}
1, 9, -212, {'epochs': 200, 'units1': 325, 'act1': 'tanh', 'units2': 145, 'act2': 'linear', 'act3': 'tanh', 'loss': 'binary_crossentropy', 'optimizer': 'adadelta'}
1, 200, -518, {'epochs': 231, 'units1': 246, 'act1': 'selu', 'units2': 112, 'act2': 'selu', 'act3': 'selu', 'loss': 'mean_squared_error', 'optimizer': 'adagrad'}
6, 157, 2274, {'epochs': 132, 'units1': 14, 'act1': 'linear', 'units2': 159, 'act2': 'tanh', 'act3': 'linear', 'loss': 'sparse_categorical_crossentropy', 'optimizer': 'sgd'}
1, 200, -571, {'epochs': 99, 'units1': 174, 'act1': 'tanh', 'units2': 83, 'act2': 'linear', 'act3': 'tanh', 'loss': 'sparse_categorical_crossentropy', 'optimizer': 'rmsprop'}
1, 200, -464, {'epochs': 153, 'units1': 250, 'act1': 'selu', 'units2': 137, 'act2': 'selu', 'act3': 'selu', 'loss': 'mean_absolute_error', 'optimizer': 'sgd'}
1, 9, -212, {'epochs': 216, 'units1': 221, 'act1': 'selu', 'units2': 144, 'act2': 'selu', 'act3': 'selu', 'loss': 'sparse_categorical_crossentropy', 'optimizer': 'adadelta'}
1, 9, -209, {'epochs': 159, 'units1': 250, 'act1': 'selu', 'units2': 141, 'act2': 'selu', 'act3': 'selu', 'loss': 'categorical_crossentropy', 'optimizer': 'adamax'}
1, 28, -174, {'epochs': 159, 'units1': 250, 'act1': 'selu', 'units2': 141, 'act2': 'selu', 'act3': 'selu', 'loss': 'mean_absolute_error', 'optimizer': 'adam'}
5, 66, 1867, {'epochs': 149, 'units1': 178, 'act1': 'selu', 'units2': 72, 'act2': 'selu', 'act3': 'selu', 'loss': 'mean_absolute_error', 'optimizer': 'rmsprop'}
1, 24, -197, {'epochs': 111, 'units1': 170, 'act1': 'tanh', 'units2': 93, 'act2': 'linear', 'act3': 'tanh', 'loss': 'mean_absolute_error', 'optimizer': 'sgd'}
2, 21, 310, {'epochs': 147, 'units1': 190, 'act1': 'selu', 'units2': 67, 'act2': 'selu', 'act3': 'selu', 'loss': 'categorical_crossentropy', 'optimizer': 'nadam'}
1, 200, 113, {'epochs': 151, 'units1': 246, 'act1': 'selu', 'units2': 128, 'act2': 'selu', 'act3': 'selu', 'loss': 'sparse_categorical_crossentropy', 'optimizer': 'adamax'}
2, 247, 600, {'epochs': 143, 'units1': 10, 'act1': 'linear', 'units2': 157, 'act2': 'tanh', 'act3': 'linear', 'loss': 'categorical_crossentropy', 'optimizer': 'sgd'}
1, 9, -212, {'epochs': 231, 'units1': 246, 'act1': 'selu', 'units2': 112, 'act2': 'selu', 'act3': 'selu', 'loss': 'mean_squared_error', 'optimizer': 'adagrad'}
Generation: 29
1, 21, -197, {'epochs': 193, 'units1': 278, 'act1': 'selu', 'units2': 229, 'act2': 'tanh', 'act3': 'selu', 'loss': 'binary_crossentropy', 'optimizer': 'adagrad'}
1, 200, 113, {'epochs': 224, 'units1': 9, 'act1': 'elu', 'units2': 185, 'act2': 'linear', 'act3': 'elu', 'loss': 'mean_squared_error', 'optimizer': 'adagrad'}
1, 10, -213, {'epochs': 39, 'units1': 141, 'act1': 'elu', 'units2': 17, 'act2': 'linear', 'act3': 'elu', 'loss': 'sparse_categorical_crossentropy', 'optimizer': 'adamax'}
1, 200, 80, {'epochs': 116, 'units1': 208, 'act1': 'selu', 'units2': 272, 'act2': 'tanh', 'act3': 'selu', 'loss': 'categorical_crossentropy', 'optimizer': 'nadam'}
1, 200, 104, {'epochs': 32, 'units1': 137, 'act1': 'linear', 'units2': 25, 'act2': 'elu', 'act3': 'linear', 'loss': 'mean_absolute_error', 'optimizer': 'adam'}
1, 9, -209, {'epochs': 132, 'units1': 207, 'act1': 'selu', 'units2': 234, 'act2': 'tanh', 'act3': 'selu', 'loss': 'mean_absolute_error', 'optimizer': 'adadelta'}
1, 21, -194, {'epochs': 42, 'units1': 132, 'act1': 'elu', 'units2': 22, 'act2': 'linear', 'act3': 'elu', 'loss': 'mean_absolute_error', 'optimizer': 'rmsprop'}
1, 19, -195, {'epochs': 42, 'units1': 132, 'act1': 'linear', 'units2': 22, 'act2': 'elu', 'act3': 'linear', 'loss': 'mean_absolute_error', 'optimizer': 'rmsprop'}
1, 200, 96, {'epochs': 96, 'units1': 186, 'act1': 'tanh', 'units2': 191, 'act2': 'selu', 'act3': 'tanh', 'loss': 'categorical_crossentropy', 'optimizer': 'adam'}
1, 11, -181, {'epochs': 64, 'units1': 186, 'act1': 'selu', 'units2': 143, 'act2': 'tanh', 'act3': 'selu', 'loss': 'categorical_crossentropy', 'optimizer': 'adadelta'}
1, 9, -212, {'epochs': 106, 'units1': 180, 'act1': 'tanh', 'units2': 182, 'act2': 'selu', 'act3': 'tanh', 'loss': 'categorical_crossentropy', 'optimizer': 'adadelta'}
1, 9, -212, {'epochs': 106, 'units1': 180, 'act1': 'tanh', 'units2': 182, 'act2': 'selu', 'act3': 'tanh', 'loss': 'mean_absolute_error', 'optimizer': 'rmsprop'}
