Generation: 1
1, 9, -212, {'epochs': 1, 'units1': 13, 'act1': 'selu', 'units2': 38, 'act2': 'tanh', 'act3': 'elu', 'loss': 'mean_squared_error', 'optimizer': 'adagrad'}
1, 9, -188, {'epochs': 9, 'units1': 12, 'act1': 'tanh', 'units2': 22, 'act2': 'relu', 'act3': 'softmax', 'loss': 'sparse_categorical_crossentropy', 'optimizer': 'adagrad'}
1, 200, 99, {'epochs': 5, 'units1': 7, 'act1': 'tanh', 'units2': 9, 'act2': 'softmax', 'act3': 'elu', 'loss': 'mean_absolute_error', 'optimizer': 'adamax'}
1, 22, -195, {'epochs': 13, 'units1': 12, 'act1': 'tanh', 'units2': 22, 'act2': 'tanh', 'act3': 'tanh', 'loss': 'sparse_categorical_crossentropy', 'optimizer': 'adamax'}
1, 200, 111, {'epochs': 6, 'units1': 3, 'act1': 'relu', 'units2': 6, 'act2': 'relu', 'act3': 'softmax', 'loss': 'mean_squared_error', 'optimizer': 'rmsprop'}
1, 200, 96, {'epochs': 7, 'units1': 1, 'act1': 'tanh', 'units2': 45, 'act2': 'softmax', 'act3': 'elu', 'loss': 'mean_absolute_error', 'optimizer': 'adamax'}
1, 200, 99, {'epochs': 5, 'units1': 5, 'act1': 'tanh', 'units2': 45, 'act2': 'sigmoid', 'act3': 'elu', 'loss': 'sparse_categorical_crossentropy', 'optimizer': 'adam'}
1, 10, -195, {'epochs': 6, 'units1': 4, 'act1': 'relu', 'units2': 48, 'act2': 'selu', 'act3': 'elu', 'loss': 'mean_squared_error', 'optimizer': 'rmsprop'}
3, 46, 9, {'epochs': 14, 'units1': 11, 'act1': 'selu', 'units2': 23, 'act2': 'linear', 'act3': 'softmax', 'loss': 'categorical_crossentropy', 'optimizer': 'nadam'}
1, 9, -209, {'epochs': 2, 'units1': 7, 'act1': 'tanh', 'units2': 38, 'act2': 'softmax', 'act3': 'tanh', 'loss': 'sparse_categorical_crossentropy', 'optimizer': 'sgd'}
1, 9, -212, {'epochs': 2, 'units1': 6, 'act1': 'selu', 'units2': 15, 'act2': 'sigmoid', 'act3': 'softmax', 'loss': 'binary_crossentropy', 'optimizer': 'adadelta'}
1, 200, 99, {'epochs': 4, 'units1': 9, 'act1': 'tanh', 'units2': 4, 'act2': 'softmax', 'act3': 'linear', 'loss': 'mean_squared_error', 'optimizer': 'sgd'}
1, 200, 96, {'epochs': 14, 'units1': 3, 'act1': 'linear', 'units2': 19, 'act2': 'relu', 'act3': 'softmax', 'loss': 'categorical_crossentropy', 'optimizer': 'nadam'}
