Generation: 4
3, 253, 1108, {'epochs': 85, 'units1': 241, 'act1': 'linear', 'units2': 212, 'act2': 'linear', 'act3': 'linear', 'loss': 'categorical_crossentropy', 'optimizer': 'rmsprop'}
1, 28, -189, {'epochs': 109, 'units1': 176, 'act1': 'linear', 'units2': 186, 'act2': 'selu', 'act3': 'sigmoid', 'loss': 'sparse_categorical_crossentropy', 'optimizer': 'rmsprop'}
1, 9, -212, {'epochs': 12, 'units1': 239, 'act1': 'tanh', 'units2': 85, 'act2': 'elu', 'act3': 'sigmoid', 'loss': 'mean_squared_error', 'optimizer': 'adam'}
2, 202, -77, {'epochs': 198, 'units1': 169, 'act1': 'selu', 'units2': 219, 'act2': 'selu', 'act3': 'tanh', 'loss': 'categorical_crossentropy', 'optimizer': 'rmsprop'}
1, 9, -212, {'epochs': 249, 'units1': 268, 'act1': 'linear', 'units2': 180, 'act2': 'elu', 'act3': 'tanh', 'loss': 'binary_crossentropy', 'optimizer': 'sgd'}
1, 10, -213, {'epochs': 112, 'units1': 97, 'act1': 'relu', 'units2': 66, 'act2': 'relu', 'act3': 'relu', 'loss': 'sparse_categorical_crossentropy', 'optimizer': 'sgd'}
1, 19, -195, {'epochs': 20, 'units1': 62, 'act1': 'tanh', 'units2': 51, 'act2': 'selu', 'act3': 'tanh', 'loss': 'sparse_categorical_crossentropy', 'optimizer': 'adam'}
1, 9, -212, {'epochs': 18, 'units1': 68, 'act1': 'elu', 'units2': 241, 'act2': 'elu', 'act3': 'elu', 'loss': 'mean_absolute_error', 'optimizer': 'adadelta'}
1, 200, 116, {'epochs': 225, 'units1': 243, 'act1': 'tanh', 'units2': 118, 'act2': 'elu', 'act3': 'linear', 'loss': 'sparse_categorical_crossentropy', 'optimizer': 'nadam'}
1, 15, -186, {'epochs': 195, 'units1': 157, 'act1': 'linear', 'units2': 157, 'act2': 'elu', 'act3': 'linear', 'loss': 'binary_crossentropy', 'optimizer': 'adam'}
1, 200, 113, {'epochs': 208, 'units1': 201, 'act1': 'linear', 'units2': 244, 'act2': 'relu', 'act3': 'linear', 'loss': 'mean_absolute_error', 'optimizer': 'adam'}
1, 200, -514, {'epochs': 103, 'units1': 11, 'act1': 'tanh', 'units2': 138, 'act2': 'linear', 'act3': 'tanh', 'loss': 'mean_absolute_error', 'optimizer': 'adadelta'}
1, 200, 103, {'epochs': 133, 'units1': 209, 'act1': 'elu', 'units2': 47, 'act2': 'tanh', 'act3': 'relu', 'loss': 'mean_absolute_error', 'optimizer': 'adam'}
1, 9, -206, {'epochs': 120, 'units1': 166, 'act1': 'elu', 'units2': 30, 'act2': 'relu', 'act3': 'sigmoid', 'loss': 'sparse_categorical_crossentropy', 'optimizer': 'rmsprop'}
1, 10, -213, {'epochs': 6, 'units1': 235, 'act1': 'tanh', 'units2': 89, 'act2': 'elu', 'act3': 'tanh', 'loss': 'sparse_categorical_crossentropy', 'optimizer': 'adamax'}
1, 20, -193, {'epochs': 143, 'units1': 198, 'act1': 'linear', 'units2': 129, 'act2': 'linear', 'act3': 'linear', 'loss': 'mean_absolute_error', 'optimizer': 'adam'}
1, 200, 113, {'epochs': 117, 'units1': 8, 'act1': 'linear', 'units2': 255, 'act2': 'elu', 'act3': 'linear', 'loss': 'binary_crossentropy', 'optimizer': 'adam'}
7, 635, 2996, {'epochs': 243, 'units1': 40, 'act1': 'tanh', 'units2': 95, 'act2': 'linear', 'act3': 'tanh', 'loss': 'mean_absolute_error', 'optimizer': 'rmsprop'}
1, 21, -194, {'epochs': 97, 'units1': 179, 'act1': 'selu', 'units2': 176, 'act2': 'linear', 'act3': 'selu', 'loss': 'binary_crossentropy', 'optimizer': 'adadelta'}
1, 29, -193, {'epochs': 82, 'units1': 228, 'act1': 'tanh', 'units2': 81, 'act2': 'selu', 'act3': 'tanh', 'loss': 'categorical_crossentropy', 'optimizer': 'rmsprop'}
