Generation: 1
1, 200, -48.0, {'epochs': 3, 'units1': 30, 'act1': 'sigmoid', 'units2': 30, 'act2': 'tanh', 'act3': 'sigmoid', 'loss': 'mean_absolute_error', 'optimizer': 'rmsprop'}
1, 9, -8.0, {'epochs': 69, 'units1': 96, 'act1': 'selu', 'units2': 85, 'act2': 'tanh', 'act3': 'selu', 'loss': 'binary_crossentropy', 'optimizer': 'nadam'}
1, 200, -30.5, {'epochs': 4, 'units1': 23, 'act1': 'sigmoid', 'units2': 30, 'act2': 'tanh', 'act3': 'sigmoid', 'loss': 'categorical_crossentropy', 'optimizer': 'adamax'}
1, 200, -48.0, {'epochs': 0, 'units1': 24, 'act1': 'elu', 'units2': 34, 'act2': 'relu', 'act3': 'elu', 'loss': 'categorical_crossentropy', 'optimizer': 'adagrad'}
1, 9, -9.0, {'epochs': 0, 'units1': 24, 'act1': 'elu', 'units2': 34, 'act2': 'relu', 'act3': 'elu', 'loss': 'mean_squared_error', 'optimizer': 'nadam'}
1, 9, -5.0, {'epochs': 3, 'units1': 13, 'act1': 'selu', 'units2': 32, 'act2': 'tanh', 'act3': 'selu', 'loss': 'binary_crossentropy', 'optimizer': 'sgd'}
1, 200, -51.5, {'epochs': 4, 'units1': 23, 'act1': 'sigmoid', 'units2': 30, 'act2': 'tanh', 'act3': 'sigmoid', 'loss': 'sparse_categorical_crossentropy', 'optimizer': 'adam'}
1, 9, -8.0, {'epochs': 3, 'units1': 13, 'act1': 'selu', 'units2': 32, 'act2': 'tanh', 'act3': 'selu', 'loss': 'mean_absolute_error', 'optimizer': 'adagrad'}
1, 190, 11.0, {'epochs': 4, 'units1': 23, 'act1': 'sigmoid', 'units2': 30, 'act2': 'tanh', 'act3': 'sigmoid', 'loss': 'sparse_categorical_crossentropy', 'optimizer': 'adagrad'}
Generation: 3
1, 200, -52.5, {'epochs': 4, 'units1': 23, 'act1': 'sigmoid', 'units2': 30, 'act2': 'tanh', 'act3': 'sigmoid', 'loss': 'sparse_categorical_crossentropy', 'optimizer': 'adagrad'}
1, 9, -2.0, {'epochs': 2, 'units1': 10, 'act1': 'selu', 'units2': 34, 'act2': 'tanh', 'act3': 'selu', 'loss': 'binary_crossentropy', 'optimizer': 'adam'}
1, 200, -43.0, {'epochs': 3, 'units1': 13, 'act1': 'selu', 'units2': 32, 'act2': 'tanh', 'act3': 'selu', 'loss': 'sparse_categorical_crossentropy', 'optimizer': 'adam'}
1, 200, -55.0, {'epochs': 1, 'units1': 27, 'act1': 'elu', 'units2': 32, 'act2': 'relu', 'act3': 'elu', 'loss': 'categorical_crossentropy', 'optimizer': 'adagrad'}
1, 9, -14.0, {'epochs': 1, 'units1': 11, 'act1': 'tanh', 'units2': 25, 'act2': 'selu', 'act3': 'tanh', 'loss': 'sparse_categorical_crossentropy', 'optimizer': 'adadelta'}
1, 9, -4.5, {'epochs': 0, 'units1': 15, 'act1': 'relu', 'units2': 24, 'act2': 'elu', 'act3': 'relu', 'loss': 'mean_squared_error', 'optimizer': 'adadelta'}
1, 200, -48.0, {'epochs': 2, 'units1': 13, 'act1': 'tanh', 'units2': 23, 'act2': 'sigmoid', 'act3': 'tanh', 'loss': 'categorical_crossentropy', 'optimizer': 'nadam'}
1, 200, -43.0, {'epochs': 2, 'units1': 10, 'act1': 'tanh', 'units2': 24, 'act2': 'selu', 'act3': 'tanh', 'loss': 'binary_crossentropy', 'optimizer': 'rmsprop'}
1, 93, -11.0, {'epochs': 2, 'units1': 13, 'act1': 'tanh', 'units2': 23, 'act2': 'sigmoid', 'act3': 'tanh', 'loss': 'binary_crossentropy', 'optimizer': 'rmsprop'}
1, 62, -30.5, {'epochs': 2, 'units1': 10, 'act1': 'tanh', 'units2': 24, 'act2': 'selu', 'act3': 'tanh', 'loss': 'binary_crossentropy', 'optimizer': 'sgd'}
