Generation: 46
1, 200, -571, {'epochs': 72, 'units1': 134, 'act1': 'tanh', 'units2': 90, 'act2': 'linear', 'act3': 'tanh', 'loss': 'categorical_crossentropy', 'optimizer': 'nadam'}
1, 9, -212, {'epochs': 194, 'units1': 50, 'act1': 'tanh', 'units2': 226, 'act2': 'linear', 'act3': 'tanh', 'loss': 'binary_crossentropy', 'optimizer': 'adamax'}
1, 9, -212, {'epochs': 100, 'units1': 174, 'act1': 'linear', 'units2': 95, 'act2': 'tanh', 'act3': 'linear', 'loss': 'mean_absolute_error', 'optimizer': 'adadelta'}
1, 200, -298, {'epochs': 101, 'units1': 170, 'act1': 'linear', 'units2': 84, 'act2': 'tanh', 'act3': 'linear', 'loss': 'mean_absolute_error', 'optimizer': 'nadam'}
1, 75, -173, {'epochs': 160, 'units1': 226, 'act1': 'tanh', 'units2': 182, 'act2': 'linear', 'act3': 'tanh', 'loss': 'sparse_categorical_crossentropy', 'optimizer': 'nadam'}
1, 200, 122, {'epochs': 109, 'units1': 172, 'act1': 'linear', 'units2': 88, 'act2': 'tanh', 'act3': 'linear', 'loss': 'binary_crossentropy', 'optimizer': 'adagrad'}
1, 18, -194, {'epochs': 133, 'units1': 10, 'act1': 'linear', 'units2': 148, 'act2': 'tanh', 'act3': 'linear', 'loss': 'sparse_categorical_crossentropy', 'optimizer': 'nadam'}
1, 200, 99, {'epochs': 98, 'units1': 163, 'act1': 'tanh', 'units2': 92, 'act2': 'linear', 'act3': 'tanh', 'loss': 'mean_squared_error', 'optimizer': 'adagrad'}
1, 200, 113, {'epochs': 205, 'units1': 251, 'act1': 'linear', 'units2': 182, 'act2': 'tanh', 'act3': 'linear', 'loss': 'sparse_categorical_crossentropy', 'optimizer': 'nadam'}
1, 200, 113, {'epochs': 105, 'units1': 173, 'act1': 'linear', 'units2': 95, 'act2': 'tanh', 'act3': 'linear', 'loss': 'binary_crossentropy', 'optimizer': 'adam'}
1, 200, 71, {'epochs': 140, 'units1': 218, 'act1': 'linear', 'units2': 94, 'act2': 'tanh', 'act3': 'linear', 'loss': 'binary_crossentropy', 'optimizer': 'adamax'}
1, 200, 113, {'epochs': 90, 'units1': 236, 'act1': 'tanh', 'units2': 183, 'act2': 'linear', 'act3': 'tanh', 'loss': 'sparse_categorical_crossentropy', 'optimizer': 'adamax'}
1, 9, -206, {'epochs': 72, 'units1': 134, 'act1': 'linear', 'units2': 90, 'act2': 'tanh', 'act3': 'linear', 'loss': 'mean_squared_error', 'optimizer': 'nadam'}
1, 19, -192, {'epochs': 98, 'units1': 163, 'act1': 'tanh', 'units2': 92, 'act2': 'linear', 'act3': 'tanh', 'loss': 'mean_squared_error', 'optimizer': 'adam'}
1, 10, -190, {'epochs': 132, 'units1': 78, 'act1': 'linear', 'units2': 191, 'act2': 'tanh', 'act3': 'linear', 'loss': 'mean_absolute_error', 'optimizer': 'adamax'}
1, 200, -574, {'epochs': 78, 'units1': 142, 'act1': 'tanh', 'units2': 80, 'act2': 'linear', 'act3': 'tanh', 'loss': 'mean_squared_error', 'optimizer': 'adamax'}
1, 9, -188, {'epochs': 64, 'units1': 140, 'act1': 'linear', 'units2': 80, 'act2': 'tanh', 'act3': 'linear', 'loss': 'mean_squared_error', 'optimizer': 'nadam'}
1, 200, 116, {'epochs': 194, 'units1': 243, 'act1': 'linear', 'units2': 188, 'act2': 'tanh', 'act3': 'linear', 'loss': 'categorical_crossentropy', 'optimizer': 'adam'}
1, 18, -197, {'epochs': 244, 'units1': 62, 'act1': 'tanh', 'units2': 15, 'act2': 'linear', 'act3': 'tanh', 'loss': 'categorical_crossentropy', 'optimizer': 'adamax'}
