Generation: 7
1, 9, -200, {'epochs': 110, 'units1': 43, 'act1': 'linear', 'units2': 193, 'act2': 'tanh', 'act3': 'linear', 'loss': 'categorical_crossentropy', 'optimizer': 'adadelta'}
1, 20, -196, {'epochs': 249, 'units1': 220, 'act1': 'linear', 'units2': 117, 'act2': 'selu', 'act3': 'linear', 'loss': 'categorical_crossentropy', 'optimizer': 'adam'}
3, 214, -63877, {'epochs': 129, 'units1': 138, 'act1': 'selu', 'units2': 132, 'act2': 'linear', 'act3': 'selu', 'loss': 'mean_squared_error', 'optimizer': 'rmsprop'}
1, 200, -60931, {'epochs': 231, 'units1': 29, 'act1': 'tanh', 'units2': 32, 'act2': 'linear', 'act3': 'tanh', 'loss': 'sparse_categorical_crossentropy', 'optimizer': 'sgd'}
1, 200, 107, {'epochs': 57, 'units1': 220, 'act1': 'elu', 'units2': 117, 'act2': 'elu', 'act3': 'elu', 'loss': 'categorical_crossentropy', 'optimizer': 'adagrad'}
1, 9, -212, {'epochs': 201, 'units1': 236, 'act1': 'selu', 'units2': 101, 'act2': 'elu', 'act3': 'selu', 'loss': 'sparse_categorical_crossentropy', 'optimizer': 'nadam'}
1, 9, -188, {'epochs': 252, 'units1': 200, 'act1': 'linear', 'units2': 100, 'act2': 'linear', 'act3': 'linear', 'loss': 'sparse_categorical_crossentropy', 'optimizer': 'adamax'}
1, 20, -196, {'epochs': 105, 'units1': 60, 'act1': 'tanh', 'units2': 165, 'act2': 'elu', 'act3': 'tanh', 'loss': 'binary_crossentropy', 'optimizer': 'adamax'}
2, 18, 312, {'epochs': 200, 'units1': 140, 'act1': 'elu', 'units2': 187, 'act2': 'selu', 'act3': 'elu', 'loss': 'binary_crossentropy', 'optimizer': 'adadelta'}
3, 340, 1078, {'epochs': 171, 'units1': 243, 'act1': 'elu', 'units2': 219, 'act2': 'elu', 'act3': 'relu', 'loss': 'mean_absolute_error', 'optimizer': 'sgd'}
1, 21, -194, {'epochs': 97, 'units1': 5, 'act1': 'linear', 'units2': 190, 'act2': 'selu', 'act3': 'linear', 'loss': 'sparse_categorical_crossentropy', 'optimizer': 'rmsprop'}
1, 19, -195, {'epochs': 321, 'units1': 154, 'act1': 'tanh', 'units2': 274, 'act2': 'tanh', 'act3': 'tanh', 'loss': 'mean_absolute_error', 'optimizer': 'rmsprop'}
1, 200, -66904, {'epochs': 97, 'units1': 167, 'act1': 'relu', 'units2': 162, 'act2': 'linear', 'act3': 'relu', 'loss': 'mean_squared_error', 'optimizer': 'rmsprop'}
1, 200, -64889, {'epochs': 108, 'units1': 61, 'act1': 'elu', 'units2': 174, 'act2': 'tanh', 'act3': 'elu', 'loss': 'categorical_crossentropy', 'optimizer': 'adadelta'}
1, 10, -213, {'epochs': 201, 'units1': 239, 'act1': 'selu', 'units2': 100, 'act2': 'elu', 'act3': 'selu', 'loss': 'mean_absolute_error', 'optimizer': 'adadelta'}
1, 200, 107, {'epochs': 178, 'units1': 252, 'act1': 'relu', 'units2': 156, 'act2': 'tanh', 'act3': 'relu', 'loss': 'mean_squared_error', 'optimizer': 'sgd'}
