Generation: 1
1, 200, 90, {'epochs': 2, 'units1': 7, 'act1': 'linear', 'units2': 39, 'act2': 'elu', 'act3': 'sigmoid', 'loss': 'sparse_categorical_crossentropy', 'optimizer': 'sgd'}
1, 9, -212, {'epochs': 6, 'units1': 2, 'act1': 'linear', 'units2': 15, 'act2': 'elu', 'act3': 'tanh', 'loss': 'mean_squared_error', 'optimizer': 'adamax'}
1, 200, 96, {'epochs': 13, 'units1': 7, 'act1': 'selu', 'units2': 34, 'act2': 'sigmoid', 'act3': 'elu', 'loss': 'mean_absolute_error', 'optimizer': 'adadelta'}
1, 9, -200, {'epochs': 6, 'units1': 3, 'act1': 'softmax', 'units2': 45, 'act2': 'sigmoid', 'act3': 'softmax', 'loss': 'categorical_crossentropy', 'optimizer': 'adamax'}
1, 200, 96, {'epochs': 12, 'units1': 10, 'act1': 'sigmoid', 'units2': 39, 'act2': 'softmax', 'act3': 'tanh', 'loss': 'categorical_crossentropy', 'optimizer': 'nadam'}
1, 200, 96, {'epochs': 9, 'units1': 9, 'act1': 'elu', 'units2': 42, 'act2': 'sigmoid', 'act3': 'selu', 'loss': 'mean_squared_error', 'optimizer': 'adagrad'}
1, 200, 96, {'epochs': 4, 'units1': 4, 'act1': 'tanh', 'units2': 47, 'act2': 'elu', 'act3': 'relu', 'loss': 'mean_squared_error', 'optimizer': 'adadelta'}
1, 200, 102, {'epochs': 7, 'units1': 4, 'act1': 'elu', 'units2': 19, 'act2': 'selu', 'act3': 'selu', 'loss': 'categorical_crossentropy', 'optimizer': 'adagrad'}
1, 200, 108, {'epochs': 6, 'units1': 12, 'act1': 'relu', 'units2': 39, 'act2': 'linear', 'act3': 'softmax', 'loss': 'sparse_categorical_crossentropy', 'optimizer': 'nadam'}
1, 200, 96, {'epochs': 5, 'units1': 1, 'act1': 'selu', 'units2': 16, 'act2': 'tanh', 'act3': 'linear', 'loss': 'binary_crossentropy', 'optimizer': 'adamax'}
1, 19, -195, {'epochs': 8, 'units1': 13, 'act1': 'selu', 'units2': 31, 'act2': 'relu', 'act3': 'elu', 'loss': 'sparse_categorical_crossentropy', 'optimizer': 'adam'}
1, 9, -212, {'epochs': 10, 'units1': 4, 'act1': 'relu', 'units2': 24, 'act2': 'tanh', 'act3': 'sigmoid', 'loss': 'mean_squared_error', 'optimizer': 'rmsprop'}
1, 200, 117, {'epochs': 11, 'units1': 5, 'act1': 'relu', 'units2': 3, 'act2': 'elu', 'act3': 'relu', 'loss': 'sparse_categorical_crossentropy', 'optimizer': 'sgd'}
1, 200, 117, {'epochs': 13, 'units1': 13, 'act1': 'elu', 'units2': 28, 'act2': 'linear', 'act3': 'selu', 'loss': 'sparse_categorical_crossentropy', 'optimizer': 'adam'}
1, 22, -195, {'epochs': 2, 'units1': 8, 'act1': 'selu', 'units2': 26, 'act2': 'sigmoid', 'act3': 'tanh', 'loss': 'sparse_categorical_crossentropy', 'optimizer': 'adagrad'}
1, 200, 99, {'epochs': 4, 'units1': 11, 'act1': 'softmax', 'units2': 47, 'act2': 'sigmoid', 'act3': 'relu', 'loss': 'mean_absolute_error', 'optimizer': 'rmsprop'}
1, 200, 111, {'epochs': 7, 'units1': 8, 'act1': 'selu', 'units2': 22, 'act2': 'selu', 'act3': 'sigmoid', 'loss': 'mean_squared_error', 'optimizer': 'rmsprop'}
1, 9, -212, {'epochs': 10, 'units1': 8, 'act1': 'relu', 'units2': 11, 'act2': 'selu', 'act3': 'elu', 'loss': 'mean_squared_error', 'optimizer': 'adadelta'}
1, 9, -212, {'epochs': 12, 'units1': 5, 'act1': 'elu', 'units2': 40, 'act2': 'elu', 'act3': 'selu', 'loss': 'binary_crossentropy', 'optimizer': 'nadam'}
1, 200, 99, {'epochs': 6, 'units1': 3, 'act1': 'softmax', 'units2': 32, 'act2': 'selu', 'act3': 'relu', 'loss': 'mean_absolute_error', 'optimizer': 'adam'}
