Generation: 3
1, 9, -203, {'epochs': 216, 'units1': 79, 'act1': 'tanh', 'units2': 173, 'act2': 'elu', 'act3': 'tanh', 'loss': 'sparse_categorical_crossentropy', 'optimizer': 'adamax'}
1, 9, -212, {'epochs': 53, 'units1': 112, 'act1': 'linear', 'units2': 46, 'act2': 'tanh', 'act3': 'linear', 'loss': 'binary_crossentropy', 'optimizer': 'sgd'}
1, 19, -222, {'epochs': 57, 'units1': 76, 'act1': 'linear', 'units2': 165, 'act2': 'elu', 'act3': 'linear', 'loss': 'categorical_crossentropy', 'optimizer': 'sgd'}
1, 200, -66901, {'epochs': 184, 'units1': 73, 'act1': 'tanh', 'units2': 93, 'act2': 'relu', 'act3': 'elu', 'loss': 'mean_squared_error', 'optimizer': 'adamax'}
1, 200, 96, {'epochs': 248, 'units1': 220, 'act1': 'linear', 'units2': 124, 'act2': 'selu', 'act3': 'linear', 'loss': 'sparse_categorical_crossentropy', 'optimizer': 'nadam'}
1, 200, 110, {'epochs': 248, 'units1': 111, 'act1': 'relu', 'units2': 109, 'act2': 'selu', 'act3': 'relu', 'loss': 'binary_crossentropy', 'optimizer': 'adagrad'}
1, 21, -197, {'epochs': 80, 'units1': 66, 'act1': 'relu', 'units2': 155, 'act2': 'linear', 'act3': 'relu', 'loss': 'mean_squared_error', 'optimizer': 'adadelta'}
1, 18, -194, {'epochs': 60, 'units1': 243, 'act1': 'selu', 'units2': 107, 'act2': 'selu', 'act3': 'softmax', 'loss': 'categorical_crossentropy', 'optimizer': 'sgd'}
1, 9, -212, {'epochs': 246, 'units1': 198, 'act1': 'elu', 'units2': 38, 'act2': 'selu', 'act3': 'tanh', 'loss': 'mean_absolute_error', 'optimizer': 'adadelta'}
1, 10, -183, {'epochs': 110, 'units1': 3, 'act1': 'selu', 'units2': 181, 'act2': 'linear', 'act3': 'selu', 'loss': 'binary_crossentropy', 'optimizer': 'sgd'}
1, 20, -196, {'epochs': 37, 'units1': 54, 'act1': 'elu', 'units2': 49, 'act2': 'tanh', 'act3': 'elu', 'loss': 'categorical_crossentropy', 'optimizer': 'adagrad'}
1, 200, -63895, {'epochs': 233, 'units1': 28, 'act1': 'linear', 'units2': 37, 'act2': 'tanh', 'act3': 'linear', 'loss': 'mean_absolute_error', 'optimizer': 'adam'}
1, 200, 93, {'epochs': 140, 'units1': 136, 'act1': 'linear', 'units2': 130, 'act2': 'selu', 'act3': 'linear', 'loss': 'binary_crossentropy', 'optimizer': 'adadelta'}
1, 18, -168, {'epochs': 217, 'units1': 76, 'act1': 'tanh', 'units2': 165, 'act2': 'elu', 'act3': 'tanh', 'loss': 'binary_crossentropy', 'optimizer': 'adamax'}
1, 18, -194, {'epochs': 129, 'units1': 117, 'act1': 'selu', 'units2': 14, 'act2': 'elu', 'act3': 'selu', 'loss': 'mean_absolute_error', 'optimizer': 'adam'}
7, 100, 2909, {'epochs': 124, 'units1': 30, 'act1': 'elu', 'units2': 54, 'act2': 'elu', 'act3': 'elu', 'loss': 'binary_crossentropy', 'optimizer': 'sgd'}
1, 200, -64895, {'epochs': 37, 'units1': 54, 'act1': 'tanh', 'units2': 49, 'act2': 'elu', 'act3': 'relu', 'loss': 'mean_squared_error', 'optimizer': 'adagrad'}
1, 200, -66904, {'epochs': 101, 'units1': 60, 'act1': 'elu', 'units2': 168, 'act2': 'tanh', 'act3': 'elu', 'loss': 'categorical_crossentropy', 'optimizer': 'adam'}
1, 200, -66904, {'epochs': 165, 'units1': 133, 'act1': 'softmax', 'units2': 155, 'act2': 'elu', 'act3': 'sigmoid', 'loss': 'mean_squared_error', 'optimizer': 'adamax'}
1, 9, -212, {'epochs': 327, 'units1': 132, 'act1': 'tanh', 'units2': 222, 'act2': 'tanh', 'act3': 'tanh', 'loss': 'mean_absolute_error', 'optimizer': 'nadam'}
1, 9, -212, {'epochs': 333, 'units1': 66, 'act1': 'tanh', 'units2': 40, 'act2': 'linear', 'act3': 'sigmoid', 'loss': 'mean_squared_error', 'optimizer': 'sgd'}
1, 200, -46898, {'epochs': 60, 'units1': 182, 'act1': 'elu', 'units2': 57, 'act2': 'selu', 'act3': 'elu', 'loss': 'mean_squared_error', 'optimizer': 'adamax'}
3, 60, -163, {'epochs': 60, 'units1': 221, 'act1': 'elu', 'units2': 126, 'act2': 'elu', 'act3': 'tanh', 'loss': 'categorical_crossentropy', 'optimizer': 'adamax'}
2, 203, 621, {'epochs': 91, 'units1': 71, 'act1': 'relu', 'units2': 145, 'act2': 'linear', 'act3': 'relu', 'loss': 'mean_absolute_error', 'optimizer': 'adam'}
