Generation: 2
1, 19, -213, {'epochs': 106, 'units1': 230, 'act1': 'tanh', 'units2': 144, 'act2': 'selu', 'act3': 'linear', 'loss': 'categorical_crossentropy', 'optimizer': 'nadam'}
1, 32, -167, {'epochs': 121, 'units1': 95, 'act1': 'selu', 'units2': 97, 'act2': 'selu', 'act3': 'tanh', 'loss': 'categorical_crossentropy', 'optimizer': 'adam'}
1, 9, -212, {'epochs': 132, 'units1': 131, 'act1': 'elu', 'units2': 104, 'act2': 'tanh', 'act3': 'elu', 'loss': 'sparse_categorical_crossentropy', 'optimizer': 'adamax'}
1, 10, -183, {'epochs': 71, 'units1': 53, 'act1': 'elu', 'units2': 230, 'act2': 'selu', 'act3': 'selu', 'loss': 'mean_squared_error', 'optimizer': 'adamax'}
1, 25, -204, {'epochs': 139, 'units1': 86, 'act1': 'relu', 'units2': 59, 'act2': 'relu', 'act3': 'linear', 'loss': 'categorical_crossentropy', 'optimizer': 'adagrad'}
1, 200, -66901, {'epochs': 1, 'units1': 117, 'act1': 'sigmoid', 'units2': 237, 'act2': 'elu', 'act3': 'relu', 'loss': 'binary_crossentropy', 'optimizer': 'adadelta'}
1, 200, -65898, {'epochs': 232, 'units1': 129, 'act1': 'selu', 'units2': 217, 'act2': 'relu', 'act3': 'selu', 'loss': 'categorical_crossentropy', 'optimizer': 'adamax'}
1, 9, -212, {'epochs': 2, 'units1': 162, 'act1': 'relu', 'units2': 31, 'act2': 'tanh', 'act3': 'softmax', 'loss': 'binary_crossentropy', 'optimizer': 'nadam'}
1, 200, 96, {'epochs': 206, 'units1': 125, 'act1': 'selu', 'units2': 141, 'act2': 'linear', 'act3': 'selu', 'loss': 'mean_squared_error', 'optimizer': 'adagrad'}
1, 9, -212, {'epochs': 156, 'units1': 126, 'act1': 'selu', 'units2': 213, 'act2': 'selu', 'act3': 'selu', 'loss': 'mean_squared_error', 'optimizer': 'adadelta'}
6, 90, 2412, {'epochs': 197, 'units1': 123, 'act1': 'selu', 'units2': 138, 'act2': 'linear', 'act3': 'selu', 'loss': 'mean_squared_error', 'optimizer': 'adam'}
1, 200, -63892, {'epochs': 76, 'units1': 238, 'act1': 'tanh', 'units2': 85, 'act2': 'elu', 'act3': 'tanh', 'loss': 'sparse_categorical_crossentropy', 'optimizer': 'adadelta'}
5, 43, 851, {'epochs': 66, 'units1': 162, 'act1': 'elu', 'units2': 31, 'act2': 'tanh', 'act3': 'elu', 'loss': 'sparse_categorical_crossentropy', 'optimizer': 'adagrad'}
1, 11, -211, {'epochs': 13, 'units1': 170, 'act1': 'tanh', 'units2': 26, 'act2': 'relu', 'act3': 'tanh', 'loss': 'mean_absolute_error', 'optimizer': 'adadelta'}
1, 9, -197, {'epochs': 255, 'units1': 185, 'act1': 'relu', 'units2': 176, 'act2': 'tanh', 'act3': 'relu', 'loss': 'mean_squared_error', 'optimizer': 'rmsprop'}
1, 200, -65898, {'epochs': 120, 'units1': 234, 'act1': 'relu', 'units2': 130, 'act2': 'elu', 'act3': 'relu', 'loss': 'mean_absolute_error', 'optimizer': 'adam'}
7, 82, 2881, {'epochs': 33, 'units1': 22, 'act1': 'elu', 'units2': 154, 'act2': 'selu', 'act3': 'elu', 'loss': 'mean_squared_error', 'optimizer': 'nadam'}
1, 200, -66904, {'epochs': 189, 'units1': 211, 'act1': 'tanh', 'units2': 241, 'act2': 'sigmoid', 'act3': 'tanh', 'loss': 'binary_crossentropy', 'optimizer': 'adagrad'}
1, 200, -63892, {'epochs': 199, 'units1': 123, 'act1': 'selu', 'units2': 143, 'act2': 'linear', 'act3': 'selu', 'loss': 'sparse_categorical_crossentropy', 'optimizer': 'adamax'}
2, 270, 554, {'epochs': 60, 'units1': 78, 'act1': 'linear', 'units2': 21, 'act2': 'elu', 'act3': 'linear', 'loss': 'mean_absolute_error', 'optimizer': 'adam'}
1, 9, -194, {'epochs': 189, 'units1': 218, 'act1': 'tanh', 'units2': 250, 'act2': 'sigmoid', 'act3': 'tanh', 'loss': 'sparse_categorical_crossentropy', 'optimizer': 'adagrad'}
1, 200, -60901, {'epochs': 65, 'units1': 166, 'act1': 'elu', 'units2': 26, 'act2': 'tanh', 'act3': 'elu', 'loss': 'sparse_categorical_crossentropy', 'optimizer': 'sgd'}
1, 10, -183, {'epochs': 115, 'units1': 81, 'act1': 'selu', 'units2': 105, 'act2': 'selu', 'act3': 'selu', 'loss': 'categorical_crossentropy', 'optimizer': 'sgd'}
1, 19, -216, {'epochs': 305, 'units1': 236, 'act1': 'selu', 'units2': 286, 'act2': 'selu', 'act3': 'selu', 'loss': 'sparse_categorical_crossentropy', 'optimizer': 'nadam'}
2, 20, 309, {'epochs': 231, 'units1': 141, 'act1': 'relu', 'units2': 217, 'act2': 'selu', 'act3': 'relu', 'loss': 'mean_absolute_error', 'optimizer': 'adadelta'}
1, 200, -64901, {'epochs': 208, 'units1': 261, 'act1': 'elu', 'units2': 258, 'act2': 'elu', 'act3': 'elu', 'loss': 'mean_absolute_error', 'optimizer': 'sgd'}
1, 9, -212, {'epochs': 183, 'units1': 213, 'act1': 'tanh', 'units2': 246, 'act2': 'sigmoid', 'act3': 'tanh', 'loss': 'mean_squared_error', 'optimizer': 'nadam'}
1, 9, -212, {'epochs': 65, 'units1': 54, 'act1': 'selu', 'units2': 234, 'act2': 'elu', 'act3': 'selu', 'loss': 'categorical_crossentropy', 'optimizer': 'adam'}
3, 39, 831, {'epochs': 236, 'units1': 138, 'act1': 'relu', 'units2': 222, 'act2': 'selu', 'act3': 'relu', 'loss': 'mean_absolute_error', 'optimizer': 'adagrad'}
1, 200, -66901, {'epochs': 136, 'units1': 65, 'act1': 'elu', 'units2': 73, 'act2': 'relu', 'act3': 'elu', 'loss': 'sparse_categorical_crossentropy', 'optimizer': 'adamax'}
1, 200, -64895, {'epochs': 271, 'units1': 228, 'act1': 'linear', 'units2': 252, 'act2': 'elu', 'act3': 'linear', 'loss': 'categorical_crossentropy', 'optimizer': 'adagrad'}
1, 200, -64901, {'epochs': 103, 'units1': 235, 'act1': 'selu', 'units2': 159, 'act2': 'tanh', 'act3': 'selu', 'loss': 'categorical_crossentropy', 'optimizer': 'adam'}
1, 14, -193, {'epochs': 370, 'units1': 361, 'act1': 'elu', 'units2': 229, 'act2': 'elu', 'act3': 'elu', 'loss': 'categorical_crossentropy', 'optimizer': 'adamax'}
18, 251, 7566, {'epochs': 71, 'units1': 61, 'act1': 'selu', 'units2': 233, 'act2': 'elu', 'act3': 'selu', 'loss': 'sparse_categorical_crossentropy', 'optimizer': 'adamax'}
1, 200, -66904, {'epochs': 215, 'units1': 69, 'act1': 'softmax', 'units2': 38, 'act2': 'relu', 'act3': 'softmax', 'loss': 'mean_squared_error', 'optimizer': 'adam'}
5, 60, 1845, {'epochs': 165, 'units1': 78, 'act1': 'selu', 'units2': 349, 'act2': 'elu', 'act3': 'selu', 'loss': 'mean_squared_error', 'optimizer': 'adagrad'}
