Generation: 1
1, 181, -114, {'epochs': 65, 'units1': 210, 'act1': 'softmax', 'units2': 235, 'act2': 'tanh', 'act3': 'relu', 'loss': 'mean_squared_error', 'optimizer': 'adamax'}
1, 2, -205, {'epochs': 226, 'units1': 247, 'act1': 'elu', 'units2': 68, 'act2': 'relu', 'act3': 'selu', 'loss': 'mean_absolute_error', 'optimizer': 'nadam'}
1, 5, -199, {'epochs': 205, 'units1': 207, 'act1': 'relu', 'units2': 188, 'act2': 'softmax', 'act3': 'linear', 'loss': 'mean_absolute_error', 'optimizer': 'rmsprop'}
1, 4, -195, {'epochs': 81, 'units1': 36, 'act1': 'relu', 'units2': 125, 'act2': 'tanh', 'act3': 'elu', 'loss': 'binary_crossentropy', 'optimizer': 'nadam'}
1, 5, -193, {'epochs': 175, 'units1': 105, 'act1': 'tanh', 'units2': 253, 'act2': 'linear', 'act3': 'softmax', 'loss': 'mean_squared_error', 'optimizer': 'rmsprop'}
1, 2, -199, {'epochs': 37, 'units1': 58, 'act1': 'linear', 'units2': 71, 'act2': 'tanh', 'act3': 'softmax', 'loss': 'sparse_categorical_crossentropy', 'optimizer': 'adadelta'}
1, 5, -202, {'epochs': 35, 'units1': 207, 'act1': 'softmax', 'units2': 184, 'act2': 'tanh', 'act3': 'tanh', 'loss': 'categorical_crossentropy', 'optimizer': 'sgd'}
1, 6, -200, {'epochs': 66, 'units1': 91, 'act1': 'softmax', 'units2': 158, 'act2': 'linear', 'act3': 'elu', 'loss': 'categorical_crossentropy', 'optimizer': 'adagrad'}
1, 4, -195, {'epochs': 212, 'units1': 165, 'act1': 'softmax', 'units2': 112, 'act2': 'softmax', 'act3': 'elu', 'loss': 'categorical_crossentropy', 'optimizer': 'adadelta'}
1, 7, -198, {'epochs': 14, 'units1': 250, 'act1': 'linear', 'units2': 88, 'act2': 'linear', 'act3': 'softmax', 'loss': 'mean_absolute_error', 'optimizer': 'adamax'}
1, 8, -199, {'epochs': 246, 'units1': 249, 'act1': 'softmax', 'units2': 101, 'act2': 'elu', 'act3': 'elu', 'loss': 'sparse_categorical_crossentropy', 'optimizer': 'adagrad'}
1, 6, -191, {'epochs': 87, 'units1': 8, 'act1': 'elu', 'units2': 116, 'act2': 'relu', 'act3': 'linear', 'loss': 'mean_absolute_error', 'optimizer': 'adagrad'}
1, 8, -199, {'epochs': 150, 'units1': 73, 'act1': 'tanh', 'units2': 73, 'act2': 'linear', 'act3': 'tanh', 'loss': 'binary_crossentropy', 'optimizer': 'rmsprop'}
1, 3, -197, {'epochs': 252, 'units1': 219, 'act1': 'linear', 'units2': 63, 'act2': 'softmax', 'act3': 'sigmoid', 'loss': 'binary_crossentropy', 'optimizer': 'sgd'}
1, 8, -199, {'epochs': 70, 'units1': 154, 'act1': 'relu', 'units2': 145, 'act2': 'elu', 'act3': 'linear', 'loss': 'binary_crossentropy', 'optimizer': 'rmsprop'}
1, 14, -196, {'epochs': 103, 'units1': 173, 'act1': 'softmax', 'units2': 21, 'act2': 'sigmoid', 'act3': 'linear', 'loss': 'mean_absolute_error', 'optimizer': 'adam'}
1, 7, -198, {'epochs': 131, 'units1': 160, 'act1': 'selu', 'units2': 28, 'act2': 'linear', 'act3': 'linear', 'loss': 'sparse_categorical_crossentropy', 'optimizer': 'adadelta'}
1, 10, -198, {'epochs': 80, 'units1': 175, 'act1': 'sigmoid', 'units2': 192, 'act2': 'tanh', 'act3': 'tanh', 'loss': 'mean_squared_error', 'optimizer': 'adam'}
