Generation: 8
1, 200, -66904, {'epochs': 244, 'units1': 188, 'act1': 'tanh', 'units2': 233, 'act2': 'tanh', 'act3': 'tanh', 'loss': 'mean_absolute_error', 'optimizer': 'rmsprop'}
3, 215, 1124, {'epochs': 250, 'units1': 188, 'act1': 'tanh', 'units2': 227, 'act2': 'tanh', 'act3': 'tanh', 'loss': 'mean_absolute_error', 'optimizer': 'rmsprop'}
4, 246, -65365, {'epochs': 207, 'units1': 141, 'act1': 'selu', 'units2': 17, 'act2': 'elu', 'act3': 'selu', 'loss': 'mean_absolute_error', 'optimizer': 'adam'}
1, 200, 107, {'epochs': 203, 'units1': 139, 'act1': 'elu', 'units2': 26, 'act2': 'selu', 'act3': 'elu', 'loss': 'categorical_crossentropy', 'optimizer': 'sgd'}
1, 9, -212, {'epochs': 155, 'units1': 228, 'act1': 'linear', 'units2': 15, 'act2': 'selu', 'act3': 'linear', 'loss': 'binary_crossentropy', 'optimizer': 'rmsprop'}
1, 200, -66901, {'epochs': 89, 'units1': 140, 'act1': 'elu', 'units2': 227, 'act2': 'selu', 'act3': 'elu', 'loss': 'categorical_crossentropy', 'optimizer': 'adagrad'}
5, 88, 865, {'epochs': 203, 'units1': 132, 'act1': 'elu', 'units2': 31, 'act2': 'selu', 'act3': 'elu', 'loss': 'categorical_crossentropy', 'optimizer': 'adam'}
1, 20, -193, {'epochs': 218, 'units1': 199, 'act1': 'linear', 'units2': 118, 'act2': 'selu', 'act3': 'linear', 'loss': 'binary_crossentropy', 'optimizer': 'adam'}
1, 55, -201, {'epochs': 73, 'units1': 12, 'act1': 'linear', 'units2': 35, 'act2': 'selu', 'act3': 'linear', 'loss': 'mean_squared_error', 'optimizer': 'sgd'}
13, 123, 5932, {'epochs': 202, 'units1': 140, 'act1': 'elu', 'units2': 19, 'act2': 'selu', 'act3': 'elu', 'loss': 'categorical_crossentropy', 'optimizer': 'sgd'}
1, 200, -64898, {'epochs': 201, 'units1': 140, 'act1': 'elu', 'units2': 19, 'act2': 'selu', 'act3': 'elu', 'loss': 'mean_absolute_error', 'optimizer': 'adagrad'}
1, 19, -213, {'epochs': 90, 'units1': 135, 'act1': 'selu', 'units2': 230, 'act2': 'elu', 'act3': 'selu', 'loss': 'mean_squared_error', 'optimizer': 'adamax'}
1, 9, -200, {'epochs': 76, 'units1': 11, 'act1': 'linear', 'units2': 34, 'act2': 'selu', 'act3': 'linear', 'loss': 'mean_absolute_error', 'optimizer': 'adadelta'}
1, 18, -194, {'epochs': 147, 'units1': 229, 'act1': 'linear', 'units2': 2, 'act2': 'selu', 'act3': 'linear', 'loss': 'mean_absolute_error', 'optimizer': 'sgd'}
1, 10, -213, {'epochs': 196, 'units1': 140, 'act1': 'selu', 'units2': 25, 'act2': 'elu', 'act3': 'selu', 'loss': 'mean_squared_error', 'optimizer': 'rmsprop'}
1, 16, -172, {'epochs': 247, 'units1': 191, 'act1': 'tanh', 'units2': 228, 'act2': 'tanh', 'act3': 'tanh', 'loss': 'sparse_categorical_crossentropy', 'optimizer': 'sgd'}
1, 19, -198, {'epochs': 64, 'units1': 11, 'act1': 'linear', 'units2': 47, 'act2': 'selu', 'act3': 'linear', 'loss': 'sparse_categorical_crossentropy', 'optimizer': 'adagrad'}
3, 53, 821, {'epochs': 293, 'units1': 252, 'act1': 'tanh', 'units2': 356, 'act2': 'selu', 'act3': 'tanh', 'loss': 'sparse_categorical_crossentropy', 'optimizer': 'adagrad'}
1, 200, 116, {'epochs': 36, 'units1': 44, 'act1': 'selu', 'units2': 201, 'act2': 'elu', 'act3': 'selu', 'loss': 'sparse_categorical_crossentropy', 'optimizer': 'rmsprop'}
1, 9, -212, {'epochs': 0, 'units1': 187, 'act1': 'tanh', 'units2': 63, 'act2': 'selu', 'act3': 'tanh', 'loss': 'binary_crossentropy', 'optimizer': 'rmsprop'}
4, 272, -64365, {'epochs': 131, 'units1': 213, 'act1': 'tanh', 'units2': 242, 'act2': 'selu', 'act3': 'tanh', 'loss': 'binary_crossentropy', 'optimizer': 'adam'}
