Generation: 28
1, 19, -222, {'epochs': 236, 'units1': 152, 'act1': 'linear', 'units2': 52, 'act2': 'linear', 'act3': 'linear', 'loss': 'binary_crossentropy', 'optimizer': 'adadelta'}
4, 259, 1657, {'epochs': 182, 'units1': 177, 'act1': 'tanh', 'units2': 74, 'act2': 'tanh', 'act3': 'tanh', 'loss': 'binary_crossentropy', 'optimizer': 'rmsprop'}
2, 44, 323, {'epochs': 249, 'units1': 255, 'act1': 'selu', 'units2': 116, 'act2': 'elu', 'act3': 'selu', 'loss': 'sparse_categorical_crossentropy', 'optimizer': 'adagrad'}
1, 200, -64901, {'epochs': 188, 'units1': 88, 'act1': 'elu', 'units2': 196, 'act2': 'tanh', 'act3': 'elu', 'loss': 'sparse_categorical_crossentropy', 'optimizer': 'sgd'}
1, 9, -212, {'epochs': 25, 'units1': 47, 'act1': 'linear', 'units2': 148, 'act2': 'linear', 'act3': 'linear', 'loss': 'mean_absolute_error', 'optimizer': 'nadam'}
1, 9, -209, {'epochs': 101, 'units1': 29, 'act1': 'linear', 'units2': 166, 'act2': 'linear', 'act3': 'linear', 'loss': 'mean_absolute_error', 'optimizer': 'nadam'}
1, 21, -197, {'epochs': 229, 'units1': 157, 'act1': 'linear', 'units2': 54, 'act2': 'linear', 'act3': 'linear', 'loss': 'mean_squared_error', 'optimizer': 'nadam'}
1, 31, -169, {'epochs': 189, 'units1': 178, 'act1': 'selu', 'units2': 95, 'act2': 'elu', 'act3': 'selu', 'loss': 'binary_crossentropy', 'optimizer': 'adamax'}
1, 200, 113, {'epochs': 85, 'units1': 14, 'act1': 'elu', 'units2': 156, 'act2': 'elu', 'act3': 'elu', 'loss': 'mean_squared_error', 'optimizer': 'adagrad'}
3, 27, 823, {'epochs': 285, 'units1': 242, 'act1': 'linear', 'units2': 121, 'act2': 'linear', 'act3': 'linear', 'loss': 'sparse_categorical_crossentropy', 'optimizer': 'rmsprop'}
1, 200, -890, {'epochs': 236, 'units1': 148, 'act1': 'linear', 'units2': 50, 'act2': 'linear', 'act3': 'linear', 'loss': 'mean_squared_error', 'optimizer': 'adagrad'}
1, 9, -212, {'epochs': 238, 'units1': 155, 'act1': 'linear', 'units2': 49, 'act2': 'linear', 'act3': 'linear', 'loss': 'mean_squared_error', 'optimizer': 'nadam'}
1, 9, -212, {'epochs': 129, 'units1': 89, 'act1': 'tanh', 'units2': 198, 'act2': 'elu', 'act3': 'tanh', 'loss': 'sparse_categorical_crossentropy', 'optimizer': 'adamax'}
1, 200, 165, {'epochs': 69, 'units1': 158, 'act1': 'tanh', 'units2': 28, 'act2': 'tanh', 'act3': 'tanh', 'loss': 'binary_crossentropy', 'optimizer': 'adagrad'}
1, 26, -217, {'epochs': 239, 'units1': 149, 'act1': 'linear', 'units2': 51, 'act2': 'linear', 'act3': 'linear', 'loss': 'mean_absolute_error', 'optimizer': 'sgd'}
1, 200, -881, {'epochs': 238, 'units1': 159, 'act1': 'linear', 'units2': 60, 'act2': 'linear', 'act3': 'linear', 'loss': 'mean_squared_error', 'optimizer': 'rmsprop'}
1, 19, -195, {'epochs': 37, 'units1': 190, 'act1': 'linear', 'units2': 140, 'act2': 'linear', 'act3': 'linear', 'loss': 'mean_squared_error', 'optimizer': 'adamax'}
1, 9, -209, {'epochs': 57, 'units1': 47, 'act1': 'linear', 'units2': 100, 'act2': 'elu', 'act3': 'linear', 'loss': 'binary_crossentropy', 'optimizer': 'rmsprop'}
1, 10, -210, {'epochs': 94, 'units1': 11, 'act1': 'elu', 'units2': 145, 'act2': 'elu', 'act3': 'elu', 'loss': 'binary_crossentropy', 'optimizer': 'adamax'}
1, 9, -185, {'epochs': 186, 'units1': 92, 'act1': 'tanh', 'units2': 205, 'act2': 'elu', 'act3': 'tanh', 'loss': 'mean_absolute_error', 'optimizer': 'adadelta'}
4, 235, -62121, {'epochs': 229, 'units1': 158, 'act1': 'linear', 'units2': 60, 'act2': 'linear', 'act3': 'linear', 'loss': 'mean_squared_error', 'optimizer': 'adagrad'}
1, 21, -197, {'epochs': 188, 'units1': 56, 'act1': 'selu', 'units2': 148, 'act2': 'selu', 'act3': 'selu', 'loss': 'binary_crossentropy', 'optimizer': 'sgd'}
1, 9, -206, {'epochs': 185, 'units1': 188, 'act1': 'selu', 'units2': 85, 'act2': 'elu', 'act3': 'selu', 'loss': 'categorical_crossentropy', 'optimizer': 'rmsprop'}
1, 9, -212, {'epochs': 37, 'units1': 189, 'act1': 'linear', 'units2': 134, 'act2': 'linear', 'act3': 'linear', 'loss': 'mean_absolute_error', 'optimizer': 'adam'}
1, 200, -66901, {'epochs': 229, 'units1': 255, 'act1': 'elu', 'units2': 125, 'act2': 'selu', 'act3': 'elu', 'loss': 'binary_crossentropy', 'optimizer': 'rmsprop'}
1, 10, -213, {'epochs': 140, 'units1': 88, 'act1': 'tanh', 'units2': 196, 'act2': 'elu', 'act3': 'tanh', 'loss': 'mean_absolute_error', 'optimizer': 'adam'}
1, 9, -185, {'epochs': 226, 'units1': 159, 'act1': 'linear', 'units2': 50, 'act2': 'linear', 'act3': 'linear', 'loss': 'mean_absolute_error', 'optimizer': 'rmsprop'}
1, 9, -212, {'epochs': 107, 'units1': 31, 'act1': 'linear', 'units2': 162, 'act2': 'linear', 'act3': 'linear', 'loss': 'mean_absolute_error', 'optimizer': 'adam'}
1, 19, -166, {'epochs': 111, 'units1': 37, 'act1': 'linear', 'units2': 195, 'act2': 'tanh', 'act3': 'linear', 'loss': 'sparse_categorical_crossentropy', 'optimizer': 'nadam'}
1, 200, 116, {'epochs': 117, 'units1': 46, 'act1': 'selu', 'units2': 108, 'act2': 'selu', 'act3': 'selu', 'loss': 'mean_absolute_error', 'optimizer': 'adamax'}
10, 166, 3418, {'epochs': 108, 'units1': 40, 'act1': 'linear', 'units2': 196, 'act2': 'tanh', 'act3': 'linear', 'loss': 'mean_absolute_error', 'optimizer': 'adam'}
1, 200, 119, {'epochs': 148, 'units1': 184, 'act1': 'tanh', 'units2': 119, 'act2': 'tanh', 'act3': 'tanh', 'loss': 'categorical_crossentropy', 'optimizer': 'adadelta'}
1, 200, 119, {'epochs': 78, 'units1': 159, 'act1': 'tanh', 'units2': 28, 'act2': 'tanh', 'act3': 'tanh', 'loss': 'mean_squared_error', 'optimizer': 'adadelta'}
1, 19, -198, {'epochs': 179, 'units1': 136, 'act1': 'linear', 'units2': 220, 'act2': 'tanh', 'act3': 'linear', 'loss': 'mean_squared_error', 'optimizer': 'adamax'}
2, 206, -66396, {'epochs': 226, 'units1': 148, 'act1': 'linear', 'units2': 57, 'act2': 'linear', 'act3': 'linear', 'loss': 'categorical_crossentropy', 'optimizer': 'adadelta'}
1, 200, -66904, {'epochs': 253, 'units1': 194, 'act1': 'linear', 'units2': 111, 'act2': 'linear', 'act3': 'linear', 'loss': 'sparse_categorical_crossentropy', 'optimizer': 'adam'}
1, 200, -59901, {'epochs': 309, 'units1': 218, 'act1': 'linear', 'units2': 184, 'act2': 'linear', 'act3': 'linear', 'loss': 'categorical_crossentropy', 'optimizer': 'adam'}
1, 200, -56889, {'epochs': 252, 'units1': 200, 'act1': 'linear', 'units2': 100, 'act2': 'linear', 'act3': 'linear', 'loss': 'sparse_categorical_crossentropy', 'optimizer': 'adadelta'}
1, 200, -60901, {'epochs': 249, 'units1': 204, 'act1': 'linear', 'units2': 101, 'act2': 'linear', 'act3': 'linear', 'loss': 'mean_squared_error', 'optimizer': 'nadam'}
1, 9, -212, {'epochs': 117, 'units1': 46, 'act1': 'selu', 'units2': 108, 'act2': 'selu', 'act3': 'selu', 'loss': 'binary_crossentropy', 'optimizer': 'rmsprop'}
1, 200, -60904, {'epochs': 110, 'units1': 59, 'act1': 'tanh', 'units2': 161, 'act2': 'elu', 'act3': 'tanh', 'loss': 'mean_squared_error', 'optimizer': 'adagrad'}
1, 10, -213, {'epochs': 205, 'units1': 50, 'act1': 'linear', 'units2': 255, 'act2': 'tanh', 'act3': 'linear', 'loss': 'categorical_crossentropy', 'optimizer': 'rmsprop'}
1, 200, 98, {'epochs': 126, 'units1': 43, 'act1': 'selu', 'units2': 97, 'act2': 'selu', 'act3': 'selu', 'loss': 'mean_absolute_error', 'optimizer': 'nadam'}
1, 79, -171, {'epochs': 33, 'units1': 185, 'act1': 'linear', 'units2': 134, 'act2': 'linear', 'act3': 'linear', 'loss': 'mean_squared_error', 'optimizer': 'nadam'}
1, 9, -206, {'epochs': 181, 'units1': 190, 'act1': 'selu', 'units2': 92, 'act2': 'elu', 'act3': 'selu', 'loss': 'mean_squared_error', 'optimizer': 'rmsprop'}
1, 19, -195, {'epochs': 53, 'units1': 41, 'act1': 'elu', 'units2': 105, 'act2': 'linear', 'act3': 'elu', 'loss': 'sparse_categorical_crossentropy', 'optimizer': 'adadelta'}
1, 9, -212, {'epochs': 188, 'units1': 180, 'act1': 'tanh', 'units2': 66, 'act2': 'tanh', 'act3': 'tanh', 'loss': 'categorical_crossentropy', 'optimizer': 'adagrad'}
1, 12, -179, {'epochs': 245, 'units1': 206, 'act1': 'linear', 'units2': 108, 'act2': 'linear', 'act3': 'linear', 'loss': 'sparse_categorical_crossentropy', 'optimizer': 'adadelta'}
1, 200, 113, {'epochs': 46, 'units1': 191, 'act1': 'linear', 'units2': 140, 'act2': 'linear', 'act3': 'linear', 'loss': 'mean_squared_error', 'optimizer': 'adadelta'}
1, 200, 113, {'epochs': 149, 'units1': 141, 'act1': 'elu', 'units2': 230, 'act2': 'tanh', 'act3': 'elu', 'loss': 'categorical_crossentropy', 'optimizer': 'rmsprop'}
1, 9, -206, {'epochs': 89, 'units1': 12, 'act1': 'elu', 'units2': 149, 'act2': 'elu', 'act3': 'elu', 'loss': 'binary_crossentropy', 'optimizer': 'adagrad'}
1, 200, -63889, {'epochs': 191, 'units1': 181, 'act1': 'elu', 'units2': 83, 'act2': 'selu', 'act3': 'elu', 'loss': 'mean_absolute_error', 'optimizer': 'adadelta'}
1, 22, -169, {'epochs': 117, 'units1': 41, 'act1': 'selu', 'units2': 105, 'act2': 'selu', 'act3': 'selu', 'loss': 'sparse_categorical_crossentropy', 'optimizer': 'adadelta'}
4, 253, -63363, {'epochs': 101, 'units1': 46, 'act1': 'tanh', 'units2': 204, 'act2': 'linear', 'act3': 'tanh', 'loss': 'mean_squared_error', 'optimizer': 'adam'}
1, 19, -198, {'epochs': 88, 'units1': 3, 'act1': 'elu', 'units2': 159, 'act2': 'elu', 'act3': 'elu', 'loss': 'sparse_categorical_crossentropy', 'optimizer': 'adadelta'}
1, 200, -887, {'epochs': 177, 'units1': 89, 'act1': 'tanh', 'units2': 198, 'act2': 'elu', 'act3': 'tanh', 'loss': 'mean_squared_error', 'optimizer': 'rmsprop'}
1, 10, -195, {'epochs': 118, 'units1': 33, 'act1': 'selu', 'units2': 106, 'act2': 'selu', 'act3': 'selu', 'loss': 'mean_squared_error', 'optimizer': 'adamax'}
1, 19, -198, {'epochs': 108, 'units1': 20, 'act1': 'linear', 'units2': 162, 'act2': 'linear', 'act3': 'linear', 'loss': 'categorical_crossentropy', 'optimizer': 'adamax'}
1, 9, -212, {'epochs': 197, 'units1': 62, 'act1': 'tanh', 'units2': 252, 'act2': 'linear', 'act3': 'tanh', 'loss': 'sparse_categorical_crossentropy', 'optimizer': 'adamax'}
1, 200, 109, {'epochs': 194, 'units1': 35, 'act1': 'selu', 'units2': 139, 'act2': 'selu', 'act3': 'selu', 'loss': 'mean_squared_error', 'optimizer': 'adadelta'}
1, 9, -207, {'epochs': 254, 'units1': 203, 'act1': 'linear', 'units2': 97, 'act2': 'linear', 'act3': 'linear', 'loss': 'mean_absolute_error', 'optimizer': 'adagrad'}
3, 211, -65889, {'epochs': 186, 'units1': 188, 'act1': 'elu', 'units2': 92, 'act2': 'selu', 'act3': 'elu', 'loss': 'mean_squared_error', 'optimizer': 'nadam'}
1, 19, -195, {'epochs': 89, 'units1': 12, 'act1': 'elu', 'units2': 149, 'act2': 'elu', 'act3': 'elu', 'loss': 'categorical_crossentropy', 'optimizer': 'adadelta'}
1, 18, -197, {'epochs': 186, 'units1': 204, 'act1': 'tanh', 'units2': 156, 'act2': 'tanh', 'act3': 'tanh', 'loss': 'mean_absolute_error', 'optimizer': 'rmsprop'}
1, 9, -191, {'epochs': 126, 'units1': 143, 'act1': 'tanh', 'units2': 204, 'act2': 'linear', 'act3': 'tanh', 'loss': 'mean_squared_error', 'optimizer': 'sgd'}
2, 16, 315, {'epochs': 76, 'units1': 148, 'act1': 'tanh', 'units2': 18, 'act2': 'tanh', 'act3': 'tanh', 'loss': 'binary_crossentropy', 'optimizer': 'sgd'}
1, 200, 116, {'epochs': 178, 'units1': 179, 'act1': 'elu', 'units2': 91, 'act2': 'selu', 'act3': 'elu', 'loss': 'mean_squared_error', 'optimizer': 'rmsprop'}
1, 200, 115, {'epochs': 272, 'units1': 171, 'act1': 'linear', 'units2': 84, 'act2': 'linear', 'act3': 'linear', 'loss': 'mean_absolute_error', 'optimizer': 'adagrad'}
1, 200, 116, {'epochs': 133, 'units1': 94, 'act1': 'elu', 'units2': 204, 'act2': 'tanh', 'act3': 'elu', 'loss': 'sparse_categorical_crossentropy', 'optimizer': 'rmsprop'}
1, 200, 116, {'epochs': 31, 'units1': 37, 'act1': 'linear', 'units2': 147, 'act2': 'linear', 'act3': 'linear', 'loss': 'mean_absolute_error', 'optimizer': 'adagrad'}
1, 200, 116, {'epochs': 185, 'units1': 191, 'act1': 'selu', 'units2': 84, 'act2': 'elu', 'act3': 'selu', 'loss': 'categorical_crossentropy', 'optimizer': 'nadam'}
