Generation: 10
1, 200, 113, {'epochs': 185, 'units1': 92, 'act1': 'relu', 'units2': 117, 'act2': 'elu', 'act3': 'relu', 'loss': 'sparse_categorical_crossentropy', 'optimizer': 'rmsprop'}
1, 9, -212, {'epochs': 197, 'units1': 141, 'act1': 'selu', 'units2': 182, 'act2': 'elu', 'act3': 'selu', 'loss': 'binary_crossentropy', 'optimizer': 'rmsprop'}
1, 200, 96, {'epochs': 101, 'units1': 45, 'act1': 'tanh', 'units2': 198, 'act2': 'linear', 'act3': 'tanh', 'loss': 'mean_squared_error', 'optimizer': 'nadam'}
1, 9, -212, {'epochs': 117, 'units1': 32, 'act1': 'selu', 'units2': 110, 'act2': 'selu', 'act3': 'selu', 'loss': 'binary_crossentropy', 'optimizer': 'adagrad'}
1, 9, -185, {'epochs': 49, 'units1': 165, 'act1': 'relu', 'units2': 190, 'act2': 'tanh', 'act3': 'relu', 'loss': 'categorical_crossentropy', 'optimizer': 'adamax'}
1, 200, -66901, {'epochs': 172, 'units1': 241, 'act1': 'elu', 'units2': 17, 'act2': 'relu', 'act3': 'elu', 'loss': 'mean_absolute_error', 'optimizer': 'adamax'}
1, 19, -222, {'epochs': 138, 'units1': 141, 'act1': 'selu', 'units2': 132, 'act2': 'linear', 'act3': 'selu', 'loss': 'binary_crossentropy', 'optimizer': 'rmsprop'}
3, 140, 783, {'epochs': 74, 'units1': 144, 'act1': 'tanh', 'units2': 20, 'act2': 'tanh', 'act3': 'tanh', 'loss': 'binary_crossentropy', 'optimizer': 'adadelta'}
1, 200, 116, {'epochs': 194, 'units1': 338, 'act1': 'elu', 'units2': 265, 'act2': 'elu', 'act3': 'elu', 'loss': 'sparse_categorical_crossentropy', 'optimizer': 'rmsprop'}
1, 20, -196, {'epochs': 53, 'units1': 223, 'act1': 'elu', 'units2': 117, 'act2': 'elu', 'act3': 'elu', 'loss': 'binary_crossentropy', 'optimizer': 'nadam'}
1, 200, 116, {'epochs': 12, 'units1': 165, 'act1': 'elu', 'units2': 29, 'act2': 'linear', 'act3': 'elu', 'loss': 'mean_absolute_error', 'optimizer': 'adagrad'}
1, 200, -60904, {'epochs': 253, 'units1': 216, 'act1': 'selu', 'units2': 201, 'act2': 'linear', 'act3': 'selu', 'loss': 'mean_absolute_error', 'optimizer': 'rmsprop'}
1, 10, -213, {'epochs': 133, 'units1': 125, 'act1': 'elu', 'units2': 6, 'act2': 'selu', 'act3': 'elu', 'loss': 'categorical_crossentropy', 'optimizer': 'adam'}
1, 200, 84, {'epochs': 108, 'units1': 40, 'act1': 'linear', 'units2': 196, 'act2': 'tanh', 'act3': 'linear', 'loss': 'mean_absolute_error', 'optimizer': 'sgd'}
6, 90, 2389, {'epochs': 108, 'units1': 191, 'act1': 'selu', 'units2': 112, 'act2': 'elu', 'act3': 'selu', 'loss': 'sparse_categorical_crossentropy', 'optimizer': 'adagrad'}
1, 200, 81, {'epochs': 133, 'units1': 116, 'act1': 'selu', 'units2': 7, 'act2': 'elu', 'act3': 'selu', 'loss': 'categorical_crossentropy', 'optimizer': 'rmsprop'}
1, 200, 110, {'epochs': 142, 'units1': 139, 'act1': 'linear', 'units2': 129, 'act2': 'selu', 'act3': 'linear', 'loss': 'categorical_crossentropy', 'optimizer': 'sgd'}
1, 200, 110, {'epochs': 171, 'units1': 243, 'act1': 'elu', 'units2': 219, 'act2': 'elu', 'act3': 'relu', 'loss': 'mean_absolute_error', 'optimizer': 'sgd'}
1, 9, -203, {'epochs': 250, 'units1': 80, 'act1': 'elu', 'units2': 20, 'act2': 'linear', 'act3': 'elu', 'loss': 'sparse_categorical_crossentropy', 'optimizer': 'adagrad'}
1, 18, -221, {'epochs': 105, 'units1': 191, 'act1': 'relu', 'units2': 228, 'act2': 'linear', 'act3': 'relu', 'loss': 'mean_absolute_error', 'optimizer': 'adam'}
1, 10, -210, {'epochs': 105, 'units1': 172, 'act1': 'relu', 'units2': 165, 'act2': 'linear', 'act3': 'relu', 'loss': 'mean_absolute_error', 'optimizer': 'nadam'}
1, 9, -188, {'epochs': 138, 'units1': 82, 'act1': 'tanh', 'units2': 281, 'act2': 'linear', 'act3': 'tanh', 'loss': 'categorical_crossentropy', 'optimizer': 'sgd'}
1, 200, 72, {'epochs': 253, 'units1': 56, 'act1': 'selu', 'units2': 153, 'act2': 'elu', 'act3': 'selu', 'loss': 'mean_absolute_error', 'optimizer': 'adadelta'}
2, 20, 305, {'epochs': 49, 'units1': 217, 'act1': 'elu', 'units2': 118, 'act2': 'elu', 'act3': 'elu', 'loss': 'mean_squared_error', 'optimizer': 'adagrad'}
1, 18, -194, {'epochs': 129, 'units1': 121, 'act1': 'elu', 'units2': 6, 'act2': 'selu', 'act3': 'elu', 'loss': 'categorical_crossentropy', 'optimizer': 'sgd'}
2, 14, 317, {'epochs': 194, 'units1': 84, 'act1': 'tanh', 'units2': 167, 'act2': 'linear', 'act3': 'tanh', 'loss': 'categorical_crossentropy', 'optimizer': 'nadam'}
1, 200, 120, {'epochs': 97, 'units1': 5, 'act1': 'linear', 'units2': 190, 'act2': 'selu', 'act3': 'linear', 'loss': 'sparse_categorical_crossentropy', 'optimizer': 'rmsprop'}
1, 20, -196, {'epochs': 245, 'units1': 205, 'act1': 'linear', 'units2': 102, 'act2': 'linear', 'act3': 'linear', 'loss': 'categorical_crossentropy', 'optimizer': 'adam'}
1, 10, -213, {'epochs': 114, 'units1': 45, 'act1': 'selu', 'units2': 106, 'act2': 'selu', 'act3': 'selu', 'loss': 'binary_crossentropy', 'optimizer': 'sgd'}
1, 200, 104, {'epochs': 174, 'units1': 243, 'act1': 'elu', 'units2': 213, 'act2': 'elu', 'act3': 'elu', 'loss': 'mean_squared_error', 'optimizer': 'adagrad'}
1, 200, 104, {'epochs': 116, 'units1': 39, 'act1': 'selu', 'units2': 104, 'act2': 'selu', 'act3': 'selu', 'loss': 'sparse_categorical_crossentropy', 'optimizer': 'rmsprop'}
1, 11, -206, {'epochs': 197, 'units1': 146, 'act1': 'elu', 'units2': 102, 'act2': 'selu', 'act3': 'elu', 'loss': 'mean_absolute_error', 'optimizer': 'adadelta'}
1, 200, 77, {'epochs': 202, 'units1': 237, 'act1': 'selu', 'units2': 100, 'act2': 'elu', 'act3': 'selu', 'loss': 'mean_absolute_error', 'optimizer': 'nadam'}
1, 16, -195, {'epochs': 204, 'units1': 93, 'act1': 'linear', 'units2': 174, 'act2': 'tanh', 'act3': 'linear', 'loss': 'categorical_crossentropy', 'optimizer': 'adamax'}
