Generation: 12
1, 9, -212, {'epochs': 85, 'units1': 55, 'act1': 'relu', 'units2': 236, 'act2': 'elu', 'act3': 'relu', 'loss': 'mean_squared_error', 'optimizer': 'adadelta'}
1, 19, -222, {'epochs': 90, 'units1': 51, 'act1': 'relu', 'units2': 227, 'act2': 'elu', 'act3': 'relu', 'loss': 'categorical_crossentropy', 'optimizer': 'rmsprop'}
1, 200, 110, {'epochs': 147, 'units1': 7, 'act1': 'selu', 'units2': 233, 'act2': 'relu', 'act3': 'selu', 'loss': 'categorical_crossentropy', 'optimizer': 'nadam'}
4, 296, 915, {'epochs': 227, 'units1': 215, 'act1': 'tanh', 'units2': 169, 'act2': 'elu', 'act3': 'tanh', 'loss': 'mean_squared_error', 'optimizer': 'nadam'}
1, 10, -196, {'epochs': 239, 'units1': 223, 'act1': 'elu', 'units2': 175, 'act2': 'tanh', 'act3': 'elu', 'loss': 'mean_absolute_error', 'optimizer': 'adamax'}
1, 21, -194, {'epochs': 227, 'units1': 215, 'act1': 'elu', 'units2': 169, 'act2': 'tanh', 'act3': 'elu', 'loss': 'mean_squared_error', 'optimizer': 'sgd'}
1, 10, -213, {'epochs': 229, 'units1': 209, 'act1': 'tanh', 'units2': 170, 'act2': 'elu', 'act3': 'tanh', 'loss': 'sparse_categorical_crossentropy', 'optimizer': 'sgd'}
1, 200, 113, {'epochs': 93, 'units1': 59, 'act1': 'relu', 'units2': 235, 'act2': 'elu', 'act3': 'relu', 'loss': 'mean_squared_error', 'optimizer': 'nadam'}
1, 13, -198, {'epochs': 245, 'units1': 33, 'act1': 'elu', 'units2': 234, 'act2': 'tanh', 'act3': 'elu', 'loss': 'mean_absolute_error', 'optimizer': 'adagrad'}
1, 200, 102, {'epochs': 238, 'units1': 223, 'act1': 'tanh', 'units2': 170, 'act2': 'elu', 'act3': 'tanh', 'loss': 'mean_absolute_error', 'optimizer': 'adagrad'}
1, 200, 105, {'epochs': 99, 'units1': 167, 'act1': 'relu', 'units2': 153, 'act2': 'selu', 'act3': 'relu', 'loss': 'sparse_categorical_crossentropy', 'optimizer': 'sgd'}
5, 61, 1880, {'epochs': 237, 'units1': 219, 'act1': 'elu', 'units2': 171, 'act2': 'tanh', 'act3': 'elu', 'loss': 'mean_squared_error', 'optimizer': 'adagrad'}
1, 28, -174, {'epochs': 254, 'units1': 47, 'act1': 'elu', 'units2': 234, 'act2': 'tanh', 'act3': 'elu', 'loss': 'binary_crossentropy', 'optimizer': 'adamax'}
1, 21, -194, {'epochs': 124, 'units1': 237, 'act1': 'selu', 'units2': 230, 'act2': 'relu', 'act3': 'selu', 'loss': 'binary_crossentropy', 'optimizer': 'adamax'}
1, 20, -193, {'epochs': 238, 'units1': 223, 'act1': 'tanh', 'units2': 170, 'act2': 'elu', 'act3': 'tanh', 'loss': 'categorical_crossentropy', 'optimizer': 'adadelta'}
1, 200, 100, {'epochs': 213, 'units1': 209, 'act1': 'elu', 'units2': 42, 'act2': 'relu', 'act3': 'elu', 'loss': 'categorical_crossentropy', 'optimizer': 'sgd'}
1, 9, -212, {'epochs': 83, 'units1': 55, 'act1': 'relu', 'units2': 233, 'act2': 'elu', 'act3': 'relu', 'loss': 'mean_squared_error', 'optimizer': 'rmsprop'}
1, 21, -194, {'epochs': 243, 'units1': 39, 'act1': 'elu', 'units2': 233, 'act2': 'tanh', 'act3': 'elu', 'loss': 'categorical_crossentropy', 'optimizer': 'adagrad'}
