Generation: 1
1, 200, -581, {'epochs': 187, 'units1': 151, 'act1': 'selu', 'units2': 26, 'act2': 'sigmoid', 'act3': 'selu', 'loss': 'mean_squared_error', 'optimizer': 'nadam'}
1, 200, -571, {'epochs': 229, 'units1': 134, 'act1': 'sigmoid', 'units2': 190, 'act2': 'softmax', 'act3': 'linear', 'loss': 'mean_squared_error', 'optimizer': 'adam'}
1, 200, 125, {'epochs': 131, 'units1': 39, 'act1': 'linear', 'units2': 250, 'act2': 'selu', 'act3': 'softmax', 'loss': 'binary_crossentropy', 'optimizer': 'adadelta'}
1, 200, -574, {'epochs': 163, 'units1': 208, 'act1': 'relu', 'units2': 86, 'act2': 'selu', 'act3': 'linear', 'loss': 'mean_absolute_error', 'optimizer': 'sgd'}
1, 9, -200, {'epochs': 44, 'units1': 89, 'act1': 'selu', 'units2': 164, 'act2': 'tanh', 'act3': 'linear', 'loss': 'binary_crossentropy', 'optimizer': 'nadam'}
1, 200, 116, {'epochs': 208, 'units1': 20, 'act1': 'linear', 'units2': 160, 'act2': 'relu', 'act3': 'sigmoid', 'loss': 'mean_absolute_error', 'optimizer': 'adamax'}
1, 200, -574, {'epochs': 49, 'units1': 84, 'act1': 'elu', 'units2': 165, 'act2': 'tanh', 'act3': 'elu', 'loss': 'mean_squared_error', 'optimizer': 'adadelta'}
1, 21, -194, {'epochs': 10, 'units1': 83, 'act1': 'linear', 'units2': 190, 'act2': 'relu', 'act3': 'sigmoid', 'loss': 'categorical_crossentropy', 'optimizer': 'adamax'}
1, 39, -191, {'epochs': 74, 'units1': 151, 'act1': 'linear', 'units2': 233, 'act2': 'relu', 'act3': 'tanh', 'loss': 'sparse_categorical_crossentropy', 'optimizer': 'sgd'}
1, 200, -571, {'epochs': 250, 'units1': 81, 'act1': 'relu', 'units2': 249, 'act2': 'elu', 'act3': 'sigmoid', 'loss': 'sparse_categorical_crossentropy', 'optimizer': 'adamax'}
