Generation: 34
1, 200, 107, {'epochs': 117, 'units1': 69, 'act1': 'selu', 'units2': 147, 'act2': 'selu', 'act3': 'selu', 'loss': 'mean_squared_error', 'optimizer': 'adam'}
1, 19, -198, {'epochs': 165, 'units1': 77, 'act1': 'tanh', 'units2': 86, 'act2': 'tanh', 'act3': 'tanh', 'loss': 'sparse_categorical_crossentropy', 'optimizer': 'rmsprop'}
5, 64, -173, {'epochs': 197, 'units1': 46, 'act1': 'selu', 'units2': 140, 'act2': 'selu', 'act3': 'selu', 'loss': 'mean_squared_error', 'optimizer': 'adagrad'}
1, 200, 116, {'epochs': 254, 'units1': 200, 'act1': 'linear', 'units2': 105, 'act2': 'linear', 'act3': 'linear', 'loss': 'binary_crossentropy', 'optimizer': 'adadelta'}
4, 350, -66413, {'epochs': 85, 'units1': 14, 'act1': 'elu', 'units2': 156, 'act2': 'elu', 'act3': 'elu', 'loss': 'mean_absolute_error', 'optimizer': 'sgd'}
1, 200, 119, {'epochs': 178, 'units1': 52, 'act1': 'selu', 'units2': 153, 'act2': 'selu', 'act3': 'selu', 'loss': 'categorical_crossentropy', 'optimizer': 'nadam'}
19, 249, 9056, {'epochs': 46, 'units1': 219, 'act1': 'linear', 'units2': 161, 'act2': 'linear', 'act3': 'linear', 'loss': 'sparse_categorical_crossentropy', 'optimizer': 'rmsprop'}
1, 200, -63898, {'epochs': 118, 'units1': 33, 'act1': 'selu', 'units2': 106, 'act2': 'selu', 'act3': 'selu', 'loss': 'mean_absolute_error', 'optimizer': 'adam'}
1, 28, -195, {'epochs': 76, 'units1': 152, 'act1': 'tanh', 'units2': 20, 'act2': 'tanh', 'act3': 'tanh', 'loss': 'mean_absolute_error', 'optimizer': 'adamax'}
1, 20, -199, {'epochs': 174, 'units1': 120, 'act1': 'tanh', 'units2': 249, 'act2': 'linear', 'act3': 'tanh', 'loss': 'mean_squared_error', 'optimizer': 'adam'}
1, 9, -212, {'epochs': 148, 'units1': 46, 'act1': 'selu', 'units2': 128, 'act2': 'selu', 'act3': 'selu', 'loss': 'sparse_categorical_crossentropy', 'optimizer': 'sgd'}
