Generation: 4
1, 7, -197, {'epochs': 203, 'units1': 121, 'act1': 'selu', 'units2': 197, 'act2': 'linear', 'act3': 'softmax', 'loss': 'categorical_crossentropy', 'optimizer': 'rmsprop'}
1, 5, -206, {'epochs': 161, 'units1': 93, 'act1': 'linear', 'units2': 163, 'act2': 'selu', 'act3': 'linear', 'loss': 'mean_absolute_error', 'optimizer': 'adam'}
1, 4, -195, {'epochs': 174, 'units1': 91, 'act1': 'linear', 'units2': 168, 'act2': 'selu', 'act3': 'linear', 'loss': 'categorical_crossentropy', 'optimizer': 'adamax'}
1, 17, -202, {'epochs': 222, 'units1': 219, 'act1': 'selu', 'units2': 24, 'act2': 'selu', 'act3': 'sigmoid', 'loss': 'binary_crossentropy', 'optimizer': 'adam'}
1, 4, -198, {'epochs': 209, 'units1': 215, 'act1': 'selu', 'units2': 30, 'act2': 'selu', 'act3': 'selu', 'loss': 'binary_crossentropy', 'optimizer': 'sgd'}
1, 15, -183, {'epochs': 174, 'units1': 91, 'act1': 'selu', 'units2': 168, 'act2': 'linear', 'act3': 'selu', 'loss': 'mean_squared_error', 'optimizer': 'adam'}
1, 2, -202, {'epochs': 161, 'units1': 93, 'act1': 'selu', 'units2': 163, 'act2': 'linear', 'act3': 'selu', 'loss': 'mean_absolute_error', 'optimizer': 'adam'}
1, 9, -197, {'epochs': 222, 'units1': 219, 'act1': 'selu', 'units2': 24, 'act2': 'selu', 'act3': 'selu', 'loss': 'mean_absolute_error', 'optimizer': 'adamax'}
1, 12, -185, {'epochs': 222, 'units1': 219, 'act1': 'selu', 'units2': 24, 'act2': 'selu', 'act3': 'selu', 'loss': 'mean_squared_error', 'optimizer': 'adamax'}
1, 2, -199, {'epochs': 209, 'units1': 215, 'act1': 'selu', 'units2': 30, 'act2': 'selu', 'act3': 'selu', 'loss': 'mean_squared_error', 'optimizer': 'adam'}
