Generation: 47
1, 200, -529, {'epochs': 143, 'units1': 218, 'act1': 'tanh', 'units2': 93, 'act2': 'linear', 'act3': 'tanh', 'loss': 'mean_absolute_error', 'optimizer': 'adamax'}
3, 29, 814, {'epochs': 168, 'units1': 230, 'act1': 'linear', 'units2': 186, 'act2': 'tanh', 'act3': 'linear', 'loss': 'categorical_crossentropy', 'optimizer': 'rmsprop'}
2, 242, 611, {'epochs': 80, 'units1': 226, 'act1': 'tanh', 'units2': 182, 'act2': 'linear', 'act3': 'tanh', 'loss': 'mean_absolute_error', 'optimizer': 'sgd'}
1, 21, -194, {'epochs': 140, 'units1': 10, 'act1': 'tanh', 'units2': 158, 'act2': 'linear', 'act3': 'tanh', 'loss': 'mean_squared_error', 'optimizer': 'adam'}
1, 200, -459, {'epochs': 133, 'units1': 218, 'act1': 'tanh', 'units2': 84, 'act2': 'linear', 'act3': 'tanh', 'loss': 'sparse_categorical_crossentropy', 'optimizer': 'adamax'}
1, 19, -222, {'epochs': 286, 'units1': 320, 'act1': 'tanh', 'units2': 269, 'act2': 'linear', 'act3': 'tanh', 'loss': 'binary_crossentropy', 'optimizer': 'adam'}
5, 107, 1788, {'epochs': 194, 'units1': 243, 'act1': 'tanh', 'units2': 188, 'act2': 'linear', 'act3': 'tanh', 'loss': 'categorical_crossentropy', 'optimizer': 'nadam'}
1, 200, 110, {'epochs': 141, 'units1': 220, 'act1': 'tanh', 'units2': 88, 'act2': 'linear', 'act3': 'tanh', 'loss': 'binary_crossentropy', 'optimizer': 'adamax'}
1, 23, -194, {'epochs': 108, 'units1': 170, 'act1': 'tanh', 'units2': 94, 'act2': 'linear', 'act3': 'tanh', 'loss': 'binary_crossentropy', 'optimizer': 'rmsprop'}
1, 9, -206, {'epochs': 108, 'units1': 170, 'act1': 'tanh', 'units2': 94, 'act2': 'linear', 'act3': 'tanh', 'loss': 'mean_squared_error', 'optimizer': 'adadelta'}
1, 200, 110, {'epochs': 137, 'units1': 221, 'act1': 'tanh', 'units2': 95, 'act2': 'linear', 'act3': 'tanh', 'loss': 'categorical_crossentropy', 'optimizer': 'adam'}
1, 17, -196, {'epochs': 109, 'units1': 171, 'act1': 'tanh', 'units2': 86, 'act2': 'linear', 'act3': 'tanh', 'loss': 'mean_squared_error', 'optimizer': 'adadelta'}
1, 200, -532, {'epochs': 205, 'units1': 252, 'act1': 'tanh', 'units2': 184, 'act2': 'linear', 'act3': 'tanh', 'loss': 'binary_crossentropy', 'optimizer': 'rmsprop'}
1, 200, 116, {'epochs': 149, 'units1': 26, 'act1': 'tanh', 'units2': 244, 'act2': 'linear', 'act3': 'tanh', 'loss': 'mean_absolute_error', 'optimizer': 'rmsprop'}
3, 29, 831, {'epochs': 143, 'units1': 10, 'act1': 'tanh', 'units2': 157, 'act2': 'linear', 'act3': 'tanh', 'loss': 'mean_squared_error', 'optimizer': 'nadam'}
1, 18, -221, {'epochs': 108, 'units1': 170, 'act1': 'linear', 'units2': 94, 'act2': 'tanh', 'act3': 'linear', 'loss': 'sparse_categorical_crossentropy', 'optimizer': 'sgd'}
1, 200, 119, {'epochs': 130, 'units1': 211, 'act1': 'tanh', 'units2': 92, 'act2': 'linear', 'act3': 'tanh', 'loss': 'mean_absolute_error', 'optimizer': 'sgd'}
