Generation: 4
1, 200, -63895, {'epochs': 144, 'units1': 331, 'act1': 'elu', 'units2': 205, 'act2': 'tanh', 'act3': 'elu', 'loss': 'binary_crossentropy', 'optimizer': 'nadam'}
1, 200, -63889, {'epochs': 305, 'units1': 301, 'act1': 'elu', 'units2': 103, 'act2': 'selu', 'act3': 'elu', 'loss': 'binary_crossentropy', 'optimizer': 'nadam'}
1, 200, -66904, {'epochs': 139, 'units1': 172, 'act1': 'elu', 'units2': 116, 'act2': 'selu', 'act3': 'elu', 'loss': 'categorical_crossentropy', 'optimizer': 'adam'}
1, 20, -190, {'epochs': 201, 'units1': 99, 'act1': 'selu', 'units2': 124, 'act2': 'elu', 'act3': 'selu', 'loss': 'mean_squared_error', 'optimizer': 'sgd'}
1, 28, -204, {'epochs': 207, 'units1': 23, 'act1': 'selu', 'units2': 171, 'act2': 'linear', 'act3': 'selu', 'loss': 'binary_crossentropy', 'optimizer': 'adamax'}
1, 200, -63895, {'epochs': 34, 'units1': 243, 'act1': 'linear', 'units2': 240, 'act2': 'elu', 'act3': 'linear', 'loss': 'categorical_crossentropy', 'optimizer': 'adam'}
1, 200, -67901, {'epochs': 187, 'units1': 168, 'act1': 'selu', 'units2': 181, 'act2': 'relu', 'act3': 'selu', 'loss': 'categorical_crossentropy', 'optimizer': 'adagrad'}
1, 9, -194, {'epochs': 249, 'units1': 163, 'act1': 'elu', 'units2': 6, 'act2': 'tanh', 'act3': 'elu', 'loss': 'mean_squared_error', 'optimizer': 'nadam'}
1, 200, -66901, {'epochs': 198, 'units1': 109, 'act1': 'elu', 'units2': 116, 'act2': 'selu', 'act3': 'elu', 'loss': 'mean_absolute_error', 'optimizer': 'rmsprop'}
1, 9, -212, {'epochs': 108, 'units1': 30, 'act1': 'linear', 'units2': 152, 'act2': 'linear', 'act3': 'linear', 'loss': 'categorical_crossentropy', 'optimizer': 'adagrad'}
1, 19, -195, {'epochs': 108, 'units1': 30, 'act1': 'linear', 'units2': 152, 'act2': 'linear', 'act3': 'linear', 'loss': 'sparse_categorical_crossentropy', 'optimizer': 'nadam'}
5, 67, 1858, {'epochs': 249, 'units1': 163, 'act1': 'elu', 'units2': 12, 'act2': 'tanh', 'act3': 'elu', 'loss': 'mean_squared_error', 'optimizer': 'adamax'}
1, 200, -65901, {'epochs': 249, 'units1': 163, 'act1': 'elu', 'units2': 12, 'act2': 'tanh', 'act3': 'elu', 'loss': 'mean_squared_error', 'optimizer': 'sgd'}
6, 69, 2360, {'epochs': 253, 'units1': 171, 'act1': 'elu', 'units2': 3, 'act2': 'tanh', 'act3': 'elu', 'loss': 'mean_absolute_error', 'optimizer': 'rmsprop'}
1, 9, -212, {'epochs': 121, 'units1': 35, 'act1': 'linear', 'units2': 236, 'act2': 'selu', 'act3': 'linear', 'loss': 'sparse_categorical_crossentropy', 'optimizer': 'adamax'}
1, 200, -59901, {'epochs': 150, 'units1': 66, 'act1': 'tanh', 'units2': 192, 'act2': 'elu', 'act3': 'tanh', 'loss': 'mean_absolute_error', 'optimizer': 'rmsprop'}
1, 20, -1193, {'epochs': 0, 'units1': 219, 'act1': 'elu', 'units2': 141, 'act2': 'tanh', 'act3': 'elu', 'loss': 'mean_squared_error', 'optimizer': 'sgd'}
1, 16, -178, {'epochs': 205, 'units1': 100, 'act1': 'elu', 'units2': 121, 'act2': 'selu', 'act3': 'elu', 'loss': 'mean_absolute_error', 'optimizer': 'sgd'}
1, 200, 99, {'epochs': 238, 'units1': 445, 'act1': 'elu', 'units2': 398, 'act2': 'linear', 'act3': 'elu', 'loss': 'mean_absolute_error', 'optimizer': 'adam'}
1, 9, -185, {'epochs': 140, 'units1': 174, 'act1': 'elu', 'units2': 120, 'act2': 'selu', 'act3': 'elu', 'loss': 'mean_absolute_error', 'optimizer': 'adamax'}
1, 9, -212, {'epochs': 109, 'units1': 23, 'act1': 'linear', 'units2': 156, 'act2': 'linear', 'act3': 'linear', 'loss': 'sparse_categorical_crossentropy', 'optimizer': 'adamax'}
1, 200, 84, {'epochs': 154, 'units1': 180, 'act1': 'elu', 'units2': 237, 'act2': 'tanh', 'act3': 'elu', 'loss': 'categorical_crossentropy', 'optimizer': 'nadam'}
3, 35, 818, {'epochs': 193, 'units1': 103, 'act1': 'elu', 'units2': 124, 'act2': 'selu', 'act3': 'elu', 'loss': 'categorical_crossentropy', 'optimizer': 'adagrad'}
1, 200, -66904, {'epochs': 133, 'units1': 174, 'act1': 'selu', 'units2': 120, 'act2': 'elu', 'act3': 'selu', 'loss': 'mean_absolute_error', 'optimizer': 'sgd'}
1, 9, -212, {'epochs': 11, 'units1': 220, 'act1': 'elu', 'units2': 132, 'act2': 'tanh', 'act3': 'elu', 'loss': 'mean_absolute_error', 'optimizer': 'adadelta'}
1, 9, -185, {'epochs': 5, 'units1': 222, 'act1': 'elu', 'units2': 136, 'act2': 'tanh', 'act3': 'elu', 'loss': 'sparse_categorical_crossentropy', 'optimizer': 'adadelta'}
1, 19, -207, {'epochs': 125, 'units1': 43, 'act1': 'linear', 'units2': 227, 'act2': 'selu', 'act3': 'linear', 'loss': 'mean_absolute_error', 'optimizer': 'adagrad'}
1, 21, -191, {'epochs': 128, 'units1': 170, 'act1': 'elu', 'units2': 114, 'act2': 'selu', 'act3': 'elu', 'loss': 'mean_absolute_error', 'optimizer': 'adam'}
3, 39, 811, {'epochs': 128, 'units1': 62, 'act1': 'linear', 'units2': 90, 'act2': 'elu', 'act3': 'linear', 'loss': 'categorical_crossentropy', 'optimizer': 'adagrad'}
1, 9, -209, {'epochs': 253, 'units1': 171, 'act1': 'elu', 'units2': 3, 'act2': 'tanh', 'act3': 'elu', 'loss': 'binary_crossentropy', 'optimizer': 'rmsprop'}
1, 200, -65901, {'epochs': 38, 'units1': 253, 'act1': 'linear', 'units2': 244, 'act2': 'elu', 'act3': 'linear', 'loss': 'mean_absolute_error', 'optimizer': 'sgd'}
7, 297, 3286, {'epochs': 205, 'units1': 107, 'act1': 'elu', 'units2': 115, 'act2': 'selu', 'act3': 'elu', 'loss': 'sparse_categorical_crossentropy', 'optimizer': 'adam'}
15, 208, 7023, {'epochs': 42, 'units1': 244, 'act1': 'linear', 'units2': 253, 'act2': 'elu', 'act3': 'linear', 'loss': 'categorical_crossentropy', 'optimizer': 'adagrad'}
1, 200, -64895, {'epochs': 194, 'units1': 387, 'act1': 'selu', 'units2': 198, 'act2': 'elu', 'act3': 'selu', 'loss': 'sparse_categorical_crossentropy', 'optimizer': 'nadam'}
1, 19, -192, {'epochs': 151, 'units1': 79, 'act1': 'tanh', 'units2': 207, 'act2': 'elu', 'act3': 'tanh', 'loss': 'categorical_crossentropy', 'optimizer': 'adam'}
3, 238, -60901, {'epochs': 101, 'units1': 30, 'act1': 'linear', 'units2': 152, 'act2': 'linear', 'act3': 'linear', 'loss': 'sparse_categorical_crossentropy', 'optimizer': 'adagrad'}
1, 9, -212, {'epochs': 14, 'units1': 216, 'act1': 'elu', 'units2': 133, 'act2': 'tanh', 'act3': 'elu', 'loss': 'sparse_categorical_crossentropy', 'optimizer': 'adagrad'}
1, 18, -218, {'epochs': 0, 'units1': 219, 'act1': 'elu', 'units2': 141, 'act2': 'tanh', 'act3': 'elu', 'loss': 'mean_absolute_error', 'optimizer': 'adagrad'}
1, 200, -63889, {'epochs': 150, 'units1': 66, 'act1': 'tanh', 'units2': 192, 'act2': 'elu', 'act3': 'tanh', 'loss': 'mean_squared_error', 'optimizer': 'rmsprop'}
1, 200, -66901, {'epochs': 448, 'units1': 231, 'act1': 'tanh', 'units2': 407, 'act2': 'linear', 'act3': 'tanh', 'loss': 'sparse_categorical_crossentropy', 'optimizer': 'adam'}
3, 45, 818, {'epochs': 38, 'units1': 242, 'act1': 'elu', 'units2': 240, 'act2': 'linear', 'act3': 'elu', 'loss': 'categorical_crossentropy', 'optimizer': 'adam'}
1, 18, -1194, {'epochs': 151, 'units1': 191, 'act1': 'elu', 'units2': 239, 'act2': 'tanh', 'act3': 'elu', 'loss': 'mean_absolute_error', 'optimizer': 'rmsprop'}
1, 22, -185, {'epochs': 33, 'units1': 247, 'act1': 'elu', 'units2': 252, 'act2': 'linear', 'act3': 'elu', 'loss': 'mean_absolute_error', 'optimizer': 'adadelta'}
1, 9, -212, {'epochs': 241, 'units1': 167, 'act1': 'elu', 'units2': 12, 'act2': 'tanh', 'act3': 'elu', 'loss': 'sparse_categorical_crossentropy', 'optimizer': 'nadam'}
2, 223, -63394, {'epochs': 166, 'units1': 109, 'act1': 'relu', 'units2': 52, 'act2': 'elu', 'act3': 'relu', 'loss': 'mean_absolute_error', 'optimizer': 'rmsprop'}
1, 9, -185, {'epochs': 121, 'units1': 35, 'act1': 'linear', 'units2': 28, 'act2': 'elu', 'act3': 'linear', 'loss': 'binary_crossentropy', 'optimizer': 'sgd'}
