Generation: 1
1, 9, -180, {'epochs': 64, 'units1': 15, 'act1': 'tanh', 'units2': 209, 'act2': 'linear', 'act3': 'softmax', 'loss': 'mean_squared_error', 'optimizer': 'adadelta'}
7, 90, 2892, {'epochs': 186, 'units1': 237, 'act1': 'selu', 'units2': 65, 'act2': 'relu', 'act3': 'elu', 'loss': 'binary_crossentropy', 'optimizer': 'adagrad'}
1, 200, -574, {'epochs': 21, 'units1': 208, 'act1': 'selu', 'units2': 46, 'act2': 'softmax', 'act3': 'softmax', 'loss': 'sparse_categorical_crossentropy', 'optimizer': 'adamax'}
1, 200, -574, {'epochs': 137, 'units1': 69, 'act1': 'softmax', 'units2': 212, 'act2': 'selu', 'act3': 'linear', 'loss': 'mean_squared_error', 'optimizer': 'adam'}
1, 200, -574, {'epochs': 109, 'units1': 101, 'act1': 'sigmoid', 'units2': 53, 'act2': 'relu', 'act3': 'linear', 'loss': 'sparse_categorical_crossentropy', 'optimizer': 'adam'}
1, 30, -216, {'epochs': 12, 'units1': 30, 'act1': 'relu', 'units2': 175, 'act2': 'selu', 'act3': 'relu', 'loss': 'sparse_categorical_crossentropy', 'optimizer': 'adagrad'}
1, 9, -212, {'epochs': 101, 'units1': 230, 'act1': 'relu', 'units2': 1, 'act2': 'selu', 'act3': 'selu', 'loss': 'binary_crossentropy', 'optimizer': 'sgd'}
1, 200, 102, {'epochs': 182, 'units1': 1, 'act1': 'elu', 'units2': 27, 'act2': 'elu', 'act3': 'linear', 'loss': 'binary_crossentropy', 'optimizer': 'adagrad'}
1, 200, -571, {'epochs': 123, 'units1': 239, 'act1': 'sigmoid', 'units2': 116, 'act2': 'sigmoid', 'act3': 'softmax', 'loss': 'binary_crossentropy', 'optimizer': 'nadam'}
1, 200, -571, {'epochs': 217, 'units1': 220, 'act1': 'elu', 'units2': 43, 'act2': 'relu', 'act3': 'sigmoid', 'loss': 'sparse_categorical_crossentropy', 'optimizer': 'adam'}
4, 246, 969, {'epochs': 127, 'units1': 147, 'act1': 'sigmoid', 'units2': 185, 'act2': 'selu', 'act3': 'softmax', 'loss': 'binary_crossentropy', 'optimizer': 'nadam'}
1, 9, -212, {'epochs': 252, 'units1': 118, 'act1': 'elu', 'units2': 130, 'act2': 'tanh', 'act3': 'relu', 'loss': 'categorical_crossentropy', 'optimizer': 'adam'}
1, 200, -574, {'epochs': 33, 'units1': 93, 'act1': 'softmax', 'units2': 190, 'act2': 'sigmoid', 'act3': 'relu', 'loss': 'mean_absolute_error', 'optimizer': 'rmsprop'}
1, 200, -574, {'epochs': 180, 'units1': 148, 'act1': 'relu', 'units2': 174, 'act2': 'softmax', 'act3': 'sigmoid', 'loss': 'categorical_crossentropy', 'optimizer': 'adagrad'}
1, 200, 110, {'epochs': 98, 'units1': 211, 'act1': 'selu', 'units2': 237, 'act2': 'elu', 'act3': 'relu', 'loss': 'categorical_crossentropy', 'optimizer': 'adagrad'}
1, 200, -574, {'epochs': 160, 'units1': 94, 'act1': 'relu', 'units2': 98, 'act2': 'sigmoid', 'act3': 'elu', 'loss': 'categorical_crossentropy', 'optimizer': 'adamax'}
1, 200, -571, {'epochs': 118, 'units1': 191, 'act1': 'sigmoid', 'units2': 239, 'act2': 'linear', 'act3': 'softmax', 'loss': 'categorical_crossentropy', 'optimizer': 'adagrad'}
1, 9, -200, {'epochs': 189, 'units1': 145, 'act1': 'tanh', 'units2': 102, 'act2': 'selu', 'act3': 'softmax', 'loss': 'mean_squared_error', 'optimizer': 'adadelta'}
