Generation: 2
1, 9, -186, {'epochs': 25, 'units1': 3, 'act1': 'softmax', 'units2': 70, 'act2': 'sigmoid', 'act3': 'softmax', 'loss': 'mean_absolute_error', 'optimizer': 'adagrad'}
1, 9, -185, {'epochs': 127, 'units1': 39, 'act1': 'selu', 'units2': 235, 'act2': 'linear', 'act3': 'selu', 'loss': 'binary_crossentropy', 'optimizer': 'rmsprop'}
2, 43, 309, {'epochs': 121, 'units1': 179, 'act1': 'tanh', 'units2': 60, 'act2': 'elu', 'act3': 'softmax', 'loss': 'mean_absolute_error', 'optimizer': 'adagrad'}
2, 23, 321, {'epochs': 204, 'units1': 103, 'act1': 'elu', 'units2': 116, 'act2': 'selu', 'act3': 'tanh', 'loss': 'mean_squared_error', 'optimizer': 'nadam'}
1, 200, -65901, {'epochs': 174, 'units1': 104, 'act1': 'elu', 'units2': 53, 'act2': 'relu', 'act3': 'selu', 'loss': 'binary_crossentropy', 'optimizer': 'adadelta'}
1, 200, -66904, {'epochs': 2, 'units1': 67, 'act1': 'linear', 'units2': 112, 'act2': 'selu', 'act3': 'selu', 'loss': 'binary_crossentropy', 'optimizer': 'adamax'}
1, 200, -66904, {'epochs': 12, 'units1': 220, 'act1': 'tanh', 'units2': 197, 'act2': 'sigmoid', 'act3': 'relu', 'loss': 'sparse_categorical_crossentropy', 'optimizer': 'nadam'}
1, 200, -66901, {'epochs': 92, 'units1': 230, 'act1': 'sigmoid', 'units2': 139, 'act2': 'elu', 'act3': 'elu', 'loss': 'categorical_crossentropy', 'optimizer': 'adam'}
1, 9, -212, {'epochs': 123, 'units1': 222, 'act1': 'linear', 'units2': 70, 'act2': 'relu', 'act3': 'linear', 'loss': 'sparse_categorical_crossentropy', 'optimizer': 'adamax'}
5, 64, 1877, {'epochs': 60, 'units1': 13, 'act1': 'relu', 'units2': 66, 'act2': 'linear', 'act3': 'relu', 'loss': 'mean_absolute_error', 'optimizer': 'nadam'}
1, 200, -66904, {'epochs': 194, 'units1': 140, 'act1': 'selu', 'units2': 174, 'act2': 'sigmoid', 'act3': 'selu', 'loss': 'categorical_crossentropy', 'optimizer': 'sgd'}
1, 9, -212, {'epochs': 20, 'units1': 61, 'act1': 'linear', 'units2': 39, 'act2': 'elu', 'act3': 'linear', 'loss': 'mean_squared_error', 'optimizer': 'sgd'}
1, 200, -66901, {'epochs': 61, 'units1': 139, 'act1': 'softmax', 'units2': 131, 'act2': 'relu', 'act3': 'softmax', 'loss': 'mean_squared_error', 'optimizer': 'rmsprop'}
1, 200, -61901, {'epochs': 180, 'units1': 166, 'act1': 'selu', 'units2': 182, 'act2': 'relu', 'act3': 'selu', 'loss': 'mean_absolute_error', 'optimizer': 'adadelta'}
1, 200, -66904, {'epochs': 244, 'units1': 61, 'act1': 'tanh', 'units2': 103, 'act2': 'sigmoid', 'act3': 'tanh', 'loss': 'binary_crossentropy', 'optimizer': 'sgd'}
1, 200, -66904, {'epochs': 205, 'units1': 134, 'act1': 'selu', 'units2': 170, 'act2': 'sigmoid', 'act3': 'selu', 'loss': 'mean_absolute_error', 'optimizer': 'adadelta'}
1, 18, -197, {'epochs': 53, 'units1': 6, 'act1': 'relu', 'units2': 69, 'act2': 'linear', 'act3': 'relu', 'loss': 'sparse_categorical_crossentropy', 'optimizer': 'nadam'}
1, 200, -66901, {'epochs': 155, 'units1': 110, 'act1': 'sigmoid', 'units2': 38, 'act2': 'selu', 'act3': 'sigmoid', 'loss': 'mean_absolute_error', 'optimizer': 'sgd'}
1, 10, -213, {'epochs': 226, 'units1': 60, 'act1': 'linear', 'units2': 206, 'act2': 'tanh', 'act3': 'linear', 'loss': 'mean_squared_error', 'optimizer': 'sgd'}
1, 9, -212, {'epochs': 19, 'units1': 60, 'act1': 'linear', 'units2': 32, 'act2': 'elu', 'act3': 'linear', 'loss': 'categorical_crossentropy', 'optimizer': 'adadelta'}
1, 18, -180, {'epochs': 85, 'units1': 222, 'act1': 'relu', 'units2': 200, 'act2': 'tanh', 'act3': 'relu', 'loss': 'categorical_crossentropy', 'optimizer': 'adam'}
2, 47, -682, {'epochs': 128, 'units1': 96, 'act1': 'linear', 'units2': 99, 'act2': 'elu', 'act3': 'linear', 'loss': 'categorical_crossentropy', 'optimizer': 'adagrad'}
