Generation: 1
2, 209, 51.0, {'epochs': 92, 'units1': 32, 'act1': 'selu', 'units2': 90, 'act2': 'linear', 'act3': 'selu', 'loss': 'sparse_categorical_crossentropy', 'optimizer': 'sgd'}
1, 9, 1.5, {'epochs': 8, 'units1': 3, 'act1': 'linear', 'units2': 24, 'act2': 'selu', 'act3': 'linear', 'loss': 'binary_crossentropy', 'optimizer': 'adam'}
1, 200, -53.0, {'epochs': 7, 'units1': 19, 'act1': 'tanh', 'units2': 19, 'act2': 'linear', 'act3': 'tanh', 'loss': 'binary_crossentropy', 'optimizer': 'rmsprop'}
1, 35, 20.0, {'epochs': 6, 'units1': 10, 'act1': 'selu', 'units2': 24, 'act2': 'linear', 'act3': 'selu', 'loss': 'mean_squared_error', 'optimizer': 'nadam'}
1, 17, -18.0, {'epochs': 5, 'units1': 2, 'act1': 'selu', 'units2': 19, 'act2': 'linear', 'act3': 'selu', 'loss': 'categorical_crossentropy', 'optimizer': 'adamax'}
1, 200, -49.5, {'epochs': 6, 'units1': 2, 'act1': 'softmax', 'units2': 9, 'act2': 'selu', 'act3': 'softmax', 'loss': 'categorical_crossentropy', 'optimizer': 'adagrad'}
1, 29, -27.0, {'epochs': 9, 'units1': 28, 'act1': 'tanh', 'units2': 15, 'act2': 'linear', 'act3': 'tanh', 'loss': 'categorical_crossentropy', 'optimizer': 'adamax'}
1, 30, -6.0, {'epochs': 9, 'units1': 28, 'act1': 'tanh', 'units2': 15, 'act2': 'linear', 'act3': 'tanh', 'loss': 'binary_crossentropy', 'optimizer': 'adam'}
Generation: 3
1, 23, 9.5, {'epochs': 14, 'units1': 7, 'act1': 'selu', 'units2': 30, 'act2': 'linear', 'act3': 'linear', 'loss': 'sparse_categorical_crossentropy', 'optimizer': 'adadelta'}
1, 11, -15.5, {'epochs': 92, 'units1': 32, 'act1': 'selu', 'units2': 90, 'act2': 'linear', 'act3': 'selu', 'loss': 'sparse_categorical_crossentropy', 'optimizer': 'sgd'}
1, 9, -3.0, {'epochs': 6, 'units1': 10, 'act1': 'selu', 'units2': 24, 'act2': 'linear', 'act3': 'selu', 'loss': 'mean_squared_error', 'optimizer': 'nadam'}
1, 25, -6.0, {'epochs': 9, 'units1': 4, 'act1': 'linear', 'units2': 15, 'act2': 'selu', 'act3': 'linear', 'loss': 'mean_squared_error', 'optimizer': 'rmsprop'}
1, 200, -50.5, {'epochs': 10, 'units1': 4, 'act1': 'linear', 'units2': 22, 'act2': 'selu', 'act3': 'linear', 'loss': 'mean_squared_error', 'optimizer': 'rmsprop'}
1, 9, -12.5, {'epochs': 10, 'units1': 4, 'act1': 'linear', 'units2': 22, 'act2': 'selu', 'act3': 'linear', 'loss': 'sparse_categorical_crossentropy', 'optimizer': 'rmsprop'}
1, 9, -13.5, {'epochs': 69, 'units1': 24, 'act1': 'linear', 'units2': 67, 'act2': 'selu', 'act3': 'linear', 'loss': 'categorical_crossentropy', 'optimizer': 'adamax'}
1, 20, -9.0, {'epochs': 69, 'units1': 24, 'act1': 'linear', 'units2': 67, 'act2': 'selu', 'act3': 'linear', 'loss': 'binary_crossentropy', 'optimizer': 'adamax'}
1, 200, -38.0, {'epochs': 10, 'units1': 4, 'act1': 'linear', 'units2': 22, 'act2': 'selu', 'act3': 'linear', 'loss': 'categorical_crossentropy', 'optimizer': 'adagrad'}
1, 12, -14.5, {'epochs': 77, 'units1': 39, 'act1': 'linear', 'units2': 77, 'act2': 'selu', 'act3': 'linear', 'loss': 'mean_absolute_error', 'optimizer': 'sgd'}
1, 200, -50.0, {'epochs': 49, 'units1': 17, 'act1': 'linear', 'units2': 52, 'act2': 'selu', 'act3': 'linear', 'loss': 'sparse_categorical_crossentropy', 'optimizer': 'adadelta'}
1, 200, -46.0, {'epochs': 30, 'units1': 11, 'act1': 'linear', 'units2': 37, 'act2': 'selu', 'act3': 'linear', 'loss': 'binary_crossentropy', 'optimizer': 'sgd'}
1, 20, 0.5, {'epochs': 8, 'units1': 5, 'act1': 'linear', 'units2': 21, 'act2': 'selu', 'act3': 'linear', 'loss': 'mean_absolute_error', 'optimizer': 'adadelta'}
1, 11, -8.5, {'epochs': 6, 'units1': 6, 'act1': 'linear', 'units2': 19, 'act2': 'selu', 'act3': 'linear', 'loss': 'mean_absolute_error', 'optimizer': 'rmsprop'}
1, 18, 11.0, {'epochs': 6, 'units1': 6, 'act1': 'linear', 'units2': 19, 'act2': 'selu', 'act3': 'linear', 'loss': 'categorical_crossentropy', 'optimizer': 'adam'}
1, 200, -52.0, {'epochs': 8, 'units1': 5, 'act1': 'linear', 'units2': 21, 'act2': 'selu', 'act3': 'linear', 'loss': 'mean_absolute_error', 'optimizer': 'adagrad'}
1, 200, -38.5, {'epochs': 26, 'units1': 13, 'act1': 'linear', 'units2': 34, 'act2': 'selu', 'act3': 'linear', 'loss': 'mean_absolute_error', 'optimizer': 'adagrad'}
1, 18, 2.5, {'epochs': 47, 'units1': 18, 'act1': 'linear', 'units2': 51, 'act2': 'selu', 'act3': 'linear', 'loss': 'binary_crossentropy', 'optimizer': 'adamax'}
1, 13, -7.5, {'epochs': 48, 'units1': 17, 'act1': 'linear', 'units2': 48, 'act2': 'selu', 'act3': 'linear', 'loss': 'mean_absolute_error', 'optimizer': 'adam'}
1, 200, -48.5, {'epochs': 27, 'units1': 10, 'act1': 'selu', 'units2': 29, 'act2': 'linear', 'act3': 'selu', 'loss': 'sparse_categorical_crossentropy', 'optimizer': 'rmsprop'}
Generation: 4
1, 200, -49.0, {'epochs': 6, 'units1': 6, 'act1': 'linear', 'units2': 19, 'act2': 'selu', 'act3': 'linear', 'loss': 'categorical_crossentropy', 'optimizer': 'adam'}
1, 9, -3.5, {'epochs': 14, 'units1': 7, 'act1': 'selu', 'units2': 30, 'act2': 'linear', 'act3': 'linear', 'loss': 'sparse_categorical_crossentropy', 'optimizer': 'adadelta'}
1, 9, -2.0, {'epochs': 47, 'units1': 18, 'act1': 'linear', 'units2': 51, 'act2': 'selu', 'act3': 'linear', 'loss': 'binary_crossentropy', 'optimizer': 'adamax'}
1, 9, -2.0, {'epochs': 8, 'units1': 5, 'act1': 'linear', 'units2': 21, 'act2': 'selu', 'act3': 'linear', 'loss': 'mean_absolute_error', 'optimizer': 'adadelta'}
1, 19, -15.5, {'epochs': 10, 'units1': 4, 'act1': 'linear', 'units2': 22, 'act2': 'selu', 'act3': 'linear', 'loss': 'binary_crossentropy', 'optimizer': 'rmsprop'}
1, 45, -11.0, {'epochs': 10, 'units1': 4, 'act1': 'linear', 'units2': 22, 'act2': 'selu', 'act3': 'linear', 'loss': 'categorical_crossentropy', 'optimizer': 'adam'}
1, 10, -4.5, {'epochs': 25, 'units1': 10, 'act1': 'selu', 'units2': 30, 'act2': 'linear', 'act3': 'selu', 'loss': 'mean_squared_error', 'optimizer': 'sgd'}
1, 200, -50.5, {'epochs': 84, 'units1': 29, 'act1': 'selu', 'units2': 66, 'act2': 'linear', 'act3': 'selu', 'loss': 'mean_squared_error', 'optimizer': 'adadelta'}
1, 200, -50.5, {'epochs': 10, 'units1': 4, 'act1': 'linear', 'units2': 22, 'act2': 'selu', 'act3': 'linear', 'loss': 'mean_absolute_error', 'optimizer': 'sgd'}
1, 9, -12.5, {'epochs': 10, 'units1': 4, 'act1': 'linear', 'units2': 22, 'act2': 'selu', 'act3': 'linear', 'loss': 'sparse_categorical_crossentropy', 'optimizer': 'rmsprop'}
1, 200, -46.5, {'epochs': 7, 'units1': 3, 'act1': 'selu', 'units2': 17, 'act2': 'linear', 'act3': 'selu', 'loss': 'categorical_crossentropy', 'optimizer': 'sgd'}
1, 200, -52.5, {'epochs': 9, 'units1': 4, 'act1': 'linear', 'units2': 20, 'act2': 'selu', 'act3': 'linear', 'loss': 'sparse_categorical_crossentropy', 'optimizer': 'adadelta'}
1, 200, -54.0, {'epochs': 103, 'units1': 16, 'act1': 'selu', 'units2': 72, 'act2': 'linear', 'act3': 'selu', 'loss': 'mean_squared_error', 'optimizer': 'rmsprop'}
15, 227, 1569.5, {'epochs': 8, 'units1': 4, 'act1': 'linear', 'units2': 19, 'act2': 'selu', 'act3': 'linear', 'loss': 'mean_absolute_error', 'optimizer': 'nadam'}
1, 200, -48.5, {'epochs': 34, 'units1': 13, 'act1': 'selu', 'units2': 37, 'act2': 'linear', 'act3': 'selu', 'loss': 'binary_crossentropy', 'optimizer': 'rmsprop'}
3, 43, 210.5, {'epochs': 57, 'units1': 80, 'act1': 'selu', 'units2': 130, 'act2': 'linear', 'act3': 'selu', 'loss': 'categorical_crossentropy', 'optimizer': 'rmsprop'}
1, 45, -17.5, {'epochs': 25, 'units1': 10, 'act1': 'selu', 'units2': 30, 'act2': 'linear', 'act3': 'selu', 'loss': 'binary_crossentropy', 'optimizer': 'adadelta'}
2, 18, 108.0, {'epochs': 67, 'units1': 57, 'act1': 'selu', 'units2': 69, 'act2': 'linear', 'act3': 'selu', 'loss': 'mean_squared_error', 'optimizer': 'adamax'}
1, 19, 8.0, {'epochs': 9, 'units1': 4, 'act1': 'linear', 'units2': 20, 'act2': 'selu', 'act3': 'linear', 'loss': 'binary_crossentropy', 'optimizer': 'adam'}
4, 255, 272.5, {'epochs': 7, 'units1': 3, 'act1': 'selu', 'units2': 17, 'act2': 'linear', 'act3': 'selu', 'loss': 'mean_absolute_error', 'optimizer': 'adadelta'}
Generation: 5
1, 200, -42.0, {'epochs': 8, 'units1': 4, 'act1': 'linear', 'units2': 19, 'act2': 'selu', 'act3': 'linear', 'loss': 'mean_absolute_error', 'optimizer': 'nadam'}
1, 13, -4.0, {'epochs': 7, 'units1': 3, 'act1': 'selu', 'units2': 17, 'act2': 'linear', 'act3': 'selu', 'loss': 'mean_absolute_error', 'optimizer': 'adadelta'}
1, 10, -6.0, {'epochs': 57, 'units1': 80, 'act1': 'selu', 'units2': 130, 'act2': 'linear', 'act3': 'selu', 'loss': 'categorical_crossentropy', 'optimizer': 'rmsprop'}
1, 13, -1.0, {'epochs': 67, 'units1': 57, 'act1': 'selu', 'units2': 69, 'act2': 'linear', 'act3': 'selu', 'loss': 'mean_squared_error', 'optimizer': 'adamax'}
1, 13, -3.0, {'epochs': 44, 'units1': 54, 'act1': 'linear', 'units2': 82, 'act2': 'selu', 'act3': 'linear', 'loss': 'binary_crossentropy', 'optimizer': 'adadelta'}
1, 9, -3.0, {'epochs': 47, 'units1': 48, 'act1': 'linear', 'units2': 66, 'act2': 'selu', 'act3': 'linear', 'loss': 'mean_squared_error', 'optimizer': 'nadam'}
1, 19, 9.5, {'epochs': 47, 'units1': 48, 'act1': 'linear', 'units2': 66, 'act2': 'selu', 'act3': 'linear', 'loss': 'categorical_crossentropy', 'optimizer': 'adamax'}
1, 13, -2.0, {'epochs': 44, 'units1': 54, 'act1': 'linear', 'units2': 82, 'act2': 'selu', 'act3': 'linear', 'loss': 'mean_squared_error', 'optimizer': 'adagrad'}
1, 200, -41.5, {'epochs': 17, 'units1': 21, 'act1': 'linear', 'units2': 40, 'act2': 'selu', 'act3': 'linear', 'loss': 'binary_crossentropy', 'optimizer': 'nadam'}
1, 200, -48.0, {'epochs': 29, 'units1': 40, 'act1': 'linear', 'units2': 69, 'act2': 'selu', 'act3': 'linear', 'loss': 'categorical_crossentropy', 'optimizer': 'sgd'}
1, 200, -38.0, {'epochs': 30, 'units1': 41, 'act1': 'linear', 'units2': 69, 'act2': 'selu', 'act3': 'linear', 'loss': 'sparse_categorical_crossentropy', 'optimizer': 'rmsprop'}
5, 53, 432.0, {'epochs': 18, 'units1': 22, 'act1': 'selu', 'units2': 41, 'act2': 'linear', 'act3': 'selu', 'loss': 'mean_squared_error', 'optimizer': 'sgd'}
1, 10, 8.5, {'epochs': 5, 'units1': 2, 'act1': 'selu', 'units2': 13, 'act2': 'linear', 'act3': 'selu', 'loss': 'sparse_categorical_crossentropy', 'optimizer': 'nadam'}
1, 200, -48.5, {'epochs': 49, 'units1': 44, 'act1': 'linear', 'units2': 45, 'act2': 'selu', 'act3': 'linear', 'loss': 'mean_absolute_error', 'optimizer': 'adagrad'}
1, 200, -46.5, {'epochs': 6, 'units1': 3, 'act1': 'selu', 'units2': 13, 'act2': 'linear', 'act3': 'selu', 'loss': 'mean_absolute_error', 'optimizer': 'adamax'}
1, 23, -8.0, {'epochs': 6, 'units1': 3, 'act1': 'selu', 'units2': 13, 'act2': 'linear', 'act3': 'selu', 'loss': 'binary_crossentropy', 'optimizer': 'adagrad'}
1, 200, -47.5, {'epochs': 49, 'units1': 42, 'act1': 'linear', 'units2': 51, 'act2': 'selu', 'act3': 'linear', 'loss': 'mean_squared_error', 'optimizer': 'adadelta'}
1, 22, -6.5, {'epochs': 49, 'units1': 42, 'act1': 'linear', 'units2': 51, 'act2': 'selu', 'act3': 'linear', 'loss': 'mean_absolute_error', 'optimizer': 'adadelta'}
1, 200, -50.0, {'epochs': 94, 'units1': 53, 'act1': 'linear', 'units2': 152, 'act2': 'selu', 'act3': 'linear', 'loss': 'categorical_crossentropy', 'optimizer': 'nadam'}
1, 200, -40.5, {'epochs': 78, 'units1': 88, 'act1': 'linear', 'units2': 61, 'act2': 'selu', 'act3': 'linear', 'loss': 'mean_absolute_error', 'optimizer': 'adadelta'}
Generation: 6
1, 9, 4.5, {'epochs': 18, 'units1': 22, 'act1': 'selu', 'units2': 41, 'act2': 'linear', 'act3': 'selu', 'loss': 'mean_squared_error', 'optimizer': 'sgd'}
1, 200, -33.5, {'epochs': 47, 'units1': 48, 'act1': 'linear', 'units2': 66, 'act2': 'selu', 'act3': 'linear', 'loss': 'categorical_crossentropy', 'optimizer': 'adamax'}
1, 200, -44.5, {'epochs': 5, 'units1': 2, 'act1': 'selu', 'units2': 13, 'act2': 'linear', 'act3': 'selu', 'loss': 'sparse_categorical_crossentropy', 'optimizer': 'nadam'}
