Generation: 12
1, 200, 99, {'epochs': 124, 'units1': 172, 'act1': 'sigmoid', 'units2': 235, 'act2': 'linear', 'act3': 'sigmoid', 'loss': 'mean_absolute_error', 'optimizer': 'nadam'}
1, 200, 108, {'epochs': 83, 'units1': 100, 'act1': 'elu', 'units2': 138, 'act2': 'selu', 'act3': 'elu', 'loss': 'mean_absolute_error', 'optimizer': 'adagrad'}
1, 200, 99, {'epochs': 172, 'units1': 60, 'act1': 'sigmoid', 'units2': 235, 'act2': 'elu', 'act3': 'sigmoid', 'loss': 'categorical_crossentropy', 'optimizer': 'rmsprop'}
1, 200, 96, {'epochs': 115, 'units1': 161, 'act1': 'linear', 'units2': 228, 'act2': 'sigmoid', 'act3': 'linear', 'loss': 'sparse_categorical_crossentropy', 'optimizer': 'rmsprop'}
1, 200, 589, {'epochs': 99, 'units1': 114, 'act1': 'elu', 'units2': 211, 'act2': 'selu', 'act3': 'elu', 'loss': 'sparse_categorical_crossentropy', 'optimizer': 'nadam'}
1, 200, 584, {'epochs': 227, 'units1': 52, 'act1': 'relu', 'units2': 250, 'act2': 'linear', 'act3': 'relu', 'loss': 'mean_absolute_error', 'optimizer': 'nadam'}
1, 200, 99, {'epochs': 173, 'units1': 120, 'act1': 'sigmoid', 'units2': 279, 'act2': 'elu', 'act3': 'sigmoid', 'loss': 'categorical_crossentropy', 'optimizer': 'adagrad'}
1, 200, 93, {'epochs': 88, 'units1': 96, 'act1': 'selu', 'units2': 132, 'act2': 'elu', 'act3': 'selu', 'loss': 'mean_squared_error', 'optimizer': 'adamax'}
1, 20, -193, {'epochs': 83, 'units1': 100, 'act1': 'elu', 'units2': 138, 'act2': 'selu', 'act3': 'elu', 'loss': 'sparse_categorical_crossentropy', 'optimizer': 'adam'}
1, 200, 99, {'epochs': 232, 'units1': 48, 'act1': 'softmax', 'units2': 20, 'act2': 'sigmoid', 'act3': 'softmax', 'loss': 'mean_absolute_error', 'optimizer': 'adam'}
1, 200, 99, {'epochs': 172, 'units1': 60, 'act1': 'sigmoid', 'units2': 235, 'act2': 'elu', 'act3': 'sigmoid', 'loss': 'mean_absolute_error', 'optimizer': 'adagrad'}
1, 200, 96, {'epochs': 170, 'units1': 56, 'act1': 'elu', 'units2': 235, 'act2': 'sigmoid', 'act3': 'elu', 'loss': 'mean_squared_error', 'optimizer': 'adamax'}
1, 9, -212, {'epochs': 115, 'units1': 164, 'act1': 'linear', 'units2': 234, 'act2': 'sigmoid', 'act3': 'linear', 'loss': 'categorical_crossentropy', 'optimizer': 'rmsprop'}
1, 10, -207, {'epochs': 92, 'units1': 108, 'act1': 'selu', 'units2': 139, 'act2': 'elu', 'act3': 'selu', 'loss': 'sparse_categorical_crossentropy', 'optimizer': 'rmsprop'}
1, 200, 96, {'epochs': 202, 'units1': 104, 'act1': 'elu', 'units2': 43, 'act2': 'sigmoid', 'act3': 'elu', 'loss': 'mean_squared_error', 'optimizer': 'adam'}
1, 200, 99, {'epochs': 229, 'units1': 59, 'act1': 'sigmoid', 'units2': 21, 'act2': 'softmax', 'act3': 'sigmoid', 'loss': 'mean_absolute_error', 'optimizer': 'adam'}
1, 200, 108, {'epochs': 122, 'units1': 168, 'act1': 'sigmoid', 'units2': 235, 'act2': 'linear', 'act3': 'sigmoid', 'loss': 'categorical_crossentropy', 'optimizer': 'sgd'}
1, 200, 99, {'epochs': 230, 'units1': 53, 'act1': 'sigmoid', 'units2': 21, 'act2': 'softmax', 'act3': 'sigmoid', 'loss': 'mean_absolute_error', 'optimizer': 'sgd'}
1, 200, 96, {'epochs': 88, 'units1': 96, 'act1': 'selu', 'units2': 132, 'act2': 'elu', 'act3': 'selu', 'loss': 'sparse_categorical_crossentropy', 'optimizer': 'adam'}
1, 9, -212, {'epochs': 83, 'units1': 100, 'act1': 'elu', 'units2': 138, 'act2': 'selu', 'act3': 'elu', 'loss': 'categorical_crossentropy', 'optimizer': 'rmsprop'}
1, 9, -212, {'epochs': 115, 'units1': 225, 'act1': 'sigmoid', 'units2': 68, 'act2': 'linear', 'act3': 'sigmoid', 'loss': 'binary_crossentropy', 'optimizer': 'nadam'}
1, 200, 99, {'epochs': 115, 'units1': 161, 'act1': 'sigmoid', 'units2': 228, 'act2': 'linear', 'act3': 'sigmoid', 'loss': 'mean_absolute_error', 'optimizer': 'adam'}
1, 200, 96, {'epochs': 184, 'units1': 144, 'act1': 'sigmoid', 'units2': 4, 'act2': 'elu', 'act3': 'sigmoid', 'loss': 'binary_crossentropy', 'optimizer': 'adagrad'}
4, 249, 1638, {'epochs': 88, 'units1': 98, 'act1': 'elu', 'units2': 130, 'act2': 'selu', 'act3': 'elu', 'loss': 'mean_absolute_error', 'optimizer': 'adagrad'}
2, 10, 305, {'epochs': 120, 'units1': 224, 'act1': 'sigmoid', 'units2': 68, 'act2': 'linear', 'act3': 'sigmoid', 'loss': 'sparse_categorical_crossentropy', 'optimizer': 'adagrad'}
1, 26, -190, {'epochs': 83, 'units1': 97, 'act1': 'elu', 'units2': 132, 'act2': 'selu', 'act3': 'elu', 'loss': 'categorical_crossentropy', 'optimizer': 'nadam'}
1, 9, -204, {'epochs': 83, 'units1': 97, 'act1': 'elu', 'units2': 132, 'act2': 'selu', 'act3': 'elu', 'loss': 'mean_squared_error', 'optimizer': 'rmsprop'}
1, 9, -212, {'epochs': 227, 'units1': 52, 'act1': 'linear', 'units2': 250, 'act2': 'relu', 'act3': 'linear', 'loss': 'binary_crossentropy', 'optimizer': 'rmsprop'}
1, 11, -211, {'epochs': 83, 'units1': 97, 'act1': 'elu', 'units2': 132, 'act2': 'selu', 'act3': 'elu', 'loss': 'binary_crossentropy', 'optimizer': 'rmsprop'}
