Generation: 22
1, 200, 99, {'epochs': 172, 'units1': 60, 'act1': 'elu', 'units2': 235, 'act2': 'sigmoid', 'act3': 'elu', 'loss': 'sparse_categorical_crossentropy', 'optimizer': 'adadelta'}
1, 200, 96, {'epochs': 163, 'units1': 49, 'act1': 'elu', 'units2': 228, 'act2': 'sigmoid', 'act3': 'elu', 'loss': 'mean_squared_error', 'optimizer': 'adadelta'}
1, 200, 96, {'epochs': 204, 'units1': 108, 'act1': 'elu', 'units2': 43, 'act2': 'sigmoid', 'act3': 'elu', 'loss': 'categorical_crossentropy', 'optimizer': 'adamax'}
1, 200, 99, {'epochs': 252, 'units1': 111, 'act1': 'linear', 'units2': 58, 'act2': 'sigmoid', 'act3': 'linear', 'loss': 'sparse_categorical_crossentropy', 'optimizer': 'adadelta'}
1, 200, 96, {'epochs': 124, 'units1': 255, 'act1': 'linear', 'units2': 10, 'act2': 'sigmoid', 'act3': 'linear', 'loss': 'binary_crossentropy', 'optimizer': 'nadam'}
1, 200, 99, {'epochs': 179, 'units1': 1, 'act1': 'linear', 'units2': 228, 'act2': 'sigmoid', 'act3': 'linear', 'loss': 'mean_squared_error', 'optimizer': 'adadelta'}
1, 9, -191, {'epochs': 167, 'units1': 313, 'act1': 'sigmoid', 'units2': 100, 'act2': 'linear', 'act3': 'sigmoid', 'loss': 'mean_squared_error', 'optimizer': 'adadelta'}
1, 200, 96, {'epochs': 252, 'units1': 108, 'act1': 'sigmoid', 'units2': 59, 'act2': 'linear', 'act3': 'sigmoid', 'loss': 'mean_squared_error', 'optimizer': 'rmsprop'}
1, 200, 96, {'epochs': 192, 'units1': 75, 'act1': 'linear', 'units2': 293, 'act2': 'sigmoid', 'act3': 'linear', 'loss': 'binary_crossentropy', 'optimizer': 'adadelta'}
1, 200, 99, {'epochs': 281, 'units1': 148, 'act1': 'elu', 'units2': 79, 'act2': 'sigmoid', 'act3': 'elu', 'loss': 'sparse_categorical_crossentropy', 'optimizer': 'adagrad'}
1, 200, 99, {'epochs': 167, 'units1': 57, 'act1': 'elu', 'units2': 228, 'act2': 'sigmoid', 'act3': 'elu', 'loss': 'mean_squared_error', 'optimizer': 'rmsprop'}
1, 200, 99, {'epochs': 172, 'units1': 60, 'act1': 'sigmoid', 'units2': 235, 'act2': 'elu', 'act3': 'sigmoid', 'loss': 'binary_crossentropy', 'optimizer': 'rmsprop'}
1, 9, -209, {'epochs': 242, 'units1': 97, 'act1': 'linear', 'units2': 58, 'act2': 'sigmoid', 'act3': 'linear', 'loss': 'sparse_categorical_crossentropy', 'optimizer': 'adam'}
1, 200, 99, {'epochs': 168, 'units1': 56, 'act1': 'sigmoid', 'units2': 239, 'act2': 'elu', 'act3': 'sigmoid', 'loss': 'binary_crossentropy', 'optimizer': 'adamax'}
1, 9, -197, {'epochs': 163, 'units1': 49, 'act1': 'sigmoid', 'units2': 100, 'act2': 'linear', 'act3': 'sigmoid', 'loss': 'mean_squared_error', 'optimizer': 'adadelta'}
1, 200, 96, {'epochs': 165, 'units1': 59, 'act1': 'sigmoid', 'units2': 229, 'act2': 'elu', 'act3': 'sigmoid', 'loss': 'mean_absolute_error', 'optimizer': 'adam'}
5, 70, 1875, {'epochs': 252, 'units1': 108, 'act1': 'linear', 'units2': 59, 'act2': 'sigmoid', 'act3': 'linear', 'loss': 'mean_absolute_error', 'optimizer': 'adam'}
1, 200, 96, {'epochs': 172, 'units1': 60, 'act1': 'sigmoid', 'units2': 235, 'act2': 'elu', 'act3': 'sigmoid', 'loss': 'binary_crossentropy', 'optimizer': 'nadam'}
1, 200, 99, {'epochs': 163, 'units1': 49, 'act1': 'sigmoid', 'units2': 228, 'act2': 'elu', 'act3': 'sigmoid', 'loss': 'categorical_crossentropy', 'optimizer': 'sgd'}
1, 200, 99, {'epochs': 177, 'units1': 2, 'act1': 'sigmoid', 'units2': 236, 'act2': 'linear', 'act3': 'sigmoid', 'loss': 'mean_squared_error', 'optimizer': 'adamax'}
1, 200, 99, {'epochs': 5, 'units1': 91, 'act1': 'sigmoid', 'units2': 101, 'act2': 'softmax', 'act3': 'sigmoid', 'loss': 'sparse_categorical_crossentropy', 'optimizer': 'sgd'}
1, 200, 99, {'epochs': 188, 'units1': 12, 'act1': 'sigmoid', 'units2': 235, 'act2': 'linear', 'act3': 'sigmoid', 'loss': 'mean_absolute_error', 'optimizer': 'nadam'}
1, 9, -212, {'epochs': 252, 'units1': 111, 'act1': 'linear', 'units2': 58, 'act2': 'sigmoid', 'act3': 'linear', 'loss': 'mean_absolute_error', 'optimizer': 'adadelta'}
