Generation: 27
1, 21, -194, {'epochs': 51, 'units1': 87, 'act1': 'tanh', 'units2': 249, 'act2': 'elu', 'act3': 'tanh', 'loss': 'sparse_categorical_crossentropy', 'optimizer': 'adam'}
1, 200, 107, {'epochs': 238, 'units1': 223, 'act1': 'elu', 'units2': 170, 'act2': 'tanh', 'act3': 'elu', 'loss': 'categorical_crossentropy', 'optimizer': 'adamax'}
1, 19, -195, {'epochs': 226, 'units1': 92, 'act1': 'tanh', 'units2': 182, 'act2': 'linear', 'act3': 'tanh', 'loss': 'mean_squared_error', 'optimizer': 'adamax'}
1, 23, -193, {'epochs': 50, 'units1': 59, 'act1': 'tanh', 'units2': 231, 'act2': 'elu', 'act3': 'tanh', 'loss': 'mean_absolute_error', 'optimizer': 'adam'}
2, 210, -75, {'epochs': 129, 'units1': 108, 'act1': 'tanh', 'units2': 281, 'act2': 'elu', 'act3': 'tanh', 'loss': 'sparse_categorical_crossentropy', 'optimizer': 'sgd'}
1, 200, -571, {'epochs': 237, 'units1': 219, 'act1': 'elu', 'units2': 171, 'act2': 'tanh', 'act3': 'elu', 'loss': 'mean_absolute_error', 'optimizer': 'adamax'}
1, 74, -172, {'epochs': 61, 'units1': 91, 'act1': 'tanh', 'units2': 251, 'act2': 'elu', 'act3': 'tanh', 'loss': 'mean_squared_error', 'optimizer': 'nadam'}
1, 10, -192, {'epochs': 227, 'units1': 215, 'act1': 'elu', 'units2': 169, 'act2': 'tanh', 'act3': 'elu', 'loss': 'categorical_crossentropy', 'optimizer': 'adadelta'}
1, 20, -196, {'epochs': 58, 'units1': 91, 'act1': 'elu', 'units2': 242, 'act2': 'tanh', 'act3': 'elu', 'loss': 'sparse_categorical_crossentropy', 'optimizer': 'adam'}
1, 9, -212, {'epochs': 51, 'units1': 55, 'act1': 'elu', 'units2': 233, 'act2': 'tanh', 'act3': 'elu', 'loss': 'binary_crossentropy', 'optimizer': 'adam'}
1, 9, -197, {'epochs': 227, 'units1': 215, 'act1': 'tanh', 'units2': 169, 'act2': 'elu', 'act3': 'tanh', 'loss': 'categorical_crossentropy', 'optimizer': 'adagrad'}
1, 200, -561, {'epochs': 227, 'units1': 215, 'act1': 'tanh', 'units2': 169, 'act2': 'elu', 'act3': 'tanh', 'loss': 'mean_absolute_error', 'optimizer': 'adam'}
1, 200, 90, {'epochs': 238, 'units1': 223, 'act1': 'tanh', 'units2': 170, 'act2': 'elu', 'act3': 'tanh', 'loss': 'mean_squared_error', 'optimizer': 'adagrad'}
1, 20, -196, {'epochs': 227, 'units1': 215, 'act1': 'elu', 'units2': 169, 'act2': 'tanh', 'act3': 'elu', 'loss': 'sparse_categorical_crossentropy', 'optimizer': 'adam'}
1, 31, -201, {'epochs': 78, 'units1': 47, 'act1': 'tanh', 'units2': 234, 'act2': 'elu', 'act3': 'tanh', 'loss': 'categorical_crossentropy', 'optimizer': 'sgd'}
1, 21, -194, {'epochs': 224, 'units1': 213, 'act1': 'elu', 'units2': 160, 'act2': 'tanh', 'act3': 'elu', 'loss': 'sparse_categorical_crossentropy', 'optimizer': 'adam'}
9, 184, 3924, {'epochs': 237, 'units1': 219, 'act1': 'elu', 'units2': 171, 'act2': 'tanh', 'act3': 'elu', 'loss': 'mean_absolute_error', 'optimizer': 'sgd'}
1, 16, -207, {'epochs': 51, 'units1': 87, 'act1': 'tanh', 'units2': 249, 'act2': 'elu', 'act3': 'tanh', 'loss': 'categorical_crossentropy', 'optimizer': 'adagrad'}
2, 18, 302, {'epochs': 238, 'units1': 223, 'act1': 'tanh', 'units2': 170, 'act2': 'elu', 'act3': 'tanh', 'loss': 'mean_absolute_error', 'optimizer': 'sgd'}
1, 200, -574, {'epochs': 227, 'units1': 215, 'act1': 'elu', 'units2': 169, 'act2': 'tanh', 'act3': 'elu', 'loss': 'sparse_categorical_crossentropy', 'optimizer': 'rmsprop'}
1, 23, -202, {'epochs': 58, 'units1': 91, 'act1': 'tanh', 'units2': 242, 'act2': 'elu', 'act3': 'tanh', 'loss': 'binary_crossentropy', 'optimizer': 'nadam'}
1, 9, -212, {'epochs': 232, 'units1': 208, 'act1': 'elu', 'units2': 162, 'act2': 'tanh', 'act3': 'elu', 'loss': 'sparse_categorical_crossentropy', 'optimizer': 'rmsprop'}
2, 205, -7, {'epochs': 51, 'units1': 55, 'act1': 'tanh', 'units2': 233, 'act2': 'elu', 'act3': 'tanh', 'loss': 'categorical_crossentropy', 'optimizer': 'adam'}
1, 9, -212, {'epochs': 290, 'units1': 224, 'act1': 'tanh', 'units2': 222, 'act2': 'elu', 'act3': 'tanh', 'loss': 'binary_crossentropy', 'optimizer': 'adamax'}
1, 200, 90, {'epochs': 14, 'units1': 159, 'act1': 'tanh', 'units2': 250, 'act2': 'linear', 'act3': 'tanh', 'loss': 'mean_absolute_error', 'optimizer': 'adamax'}
5, 54, 1855, {'epochs': 233, 'units1': 219, 'act1': 'tanh', 'units2': 174, 'act2': 'elu', 'act3': 'tanh', 'loss': 'sparse_categorical_crossentropy', 'optimizer': 'adam'}
1, 9, -212, {'epochs': 58, 'units1': 91, 'act1': 'tanh', 'units2': 242, 'act2': 'elu', 'act3': 'tanh', 'loss': 'binary_crossentropy', 'optimizer': 'adam'}
