Generation: 3
6, 51, 2359, {'epochs': 145, 'units1': 183, 'act1': 'tanh', 'units2': 236, 'act2': 'elu', 'act3': 'linear', 'loss': 'categorical_crossentropy', 'optimizer': 'adam'}
1, 13, -1183, {'epochs': 246, 'units1': 429, 'act1': 'elu', 'units2': 260, 'act2': 'tanh', 'act3': 'elu', 'loss': 'categorical_crossentropy', 'optimizer': 'sgd'}
1, 9, -212, {'epochs': 165, 'units1': 102, 'act1': 'relu', 'units2': 53, 'act2': 'elu', 'act3': 'relu', 'loss': 'mean_squared_error', 'optimizer': 'adagrad'}
1, 200, 81, {'epochs': 201, 'units1': 99, 'act1': 'selu', 'units2': 124, 'act2': 'elu', 'act3': 'selu', 'loss': 'mean_squared_error', 'optimizer': 'sgd'}
1, 200, 87, {'epochs': 305, 'units1': 301, 'act1': 'elu', 'units2': 103, 'act2': 'selu', 'act3': 'elu', 'loss': 'binary_crossentropy', 'optimizer': 'nadam'}
1, 9, -212, {'epochs': 95, 'units1': 42, 'act1': 'elu', 'units2': 60, 'act2': 'elu', 'act3': 'elu', 'loss': 'mean_squared_error', 'optimizer': 'nadam'}
4, 270, -65367, {'epochs': 34, 'units1': 243, 'act1': 'elu', 'units2': 240, 'act2': 'linear', 'act3': 'elu', 'loss': 'binary_crossentropy', 'optimizer': 'adam'}
5, 48, 836, {'epochs': 141, 'units1': 167, 'act1': 'selu', 'units2': 124, 'act2': 'elu', 'act3': 'selu', 'loss': 'categorical_crossentropy', 'optimizer': 'rmsprop'}
1, 200, -63904, {'epochs': 236, 'units1': 142, 'act1': 'linear', 'units2': 152, 'act2': 'elu', 'act3': 'linear', 'loss': 'mean_absolute_error', 'optimizer': 'adam'}
1, 16, -186, {'epochs': 127, 'units1': 39, 'act1': 'selu', 'units2': 235, 'act2': 'linear', 'act3': 'selu', 'loss': 'mean_absolute_error', 'optimizer': 'rmsprop'}
1, 9, -197, {'epochs': 140, 'units1': 174, 'act1': 'elu', 'units2': 120, 'act2': 'selu', 'act3': 'elu', 'loss': 'binary_crossentropy', 'optimizer': 'sgd'}
4, 240, 1667, {'epochs': 202, 'units1': 100, 'act1': 'selu', 'units2': 125, 'act2': 'elu', 'act3': 'selu', 'loss': 'sparse_categorical_crossentropy', 'optimizer': 'nadam'}
1, 200, -66904, {'epochs': 172, 'units1': 103, 'act1': 'elu', 'units2': 52, 'act2': 'relu', 'act3': 'elu', 'loss': 'categorical_crossentropy', 'optimizer': 'nadam'}
1, 200, 96, {'epochs': 160, 'units1': 103, 'act1': 'elu', 'units2': 49, 'act2': 'relu', 'act3': 'elu', 'loss': 'mean_absolute_error', 'optimizer': 'adagrad'}
