Generation: 1
1, 200, 99, {'epochs': 249, 'units1': 211, 'act1': 'sigmoid', 'units2': 209, 'act2': 'relu', 'act3': 'selu', 'loss': 'binary_crossentropy', 'optimizer': 'rmsprop'}
1, 9, -212, {'epochs': 67, 'units1': 13, 'act1': 'sigmoid', 'units2': 143, 'act2': 'elu', 'act3': 'sigmoid', 'loss': 'mean_absolute_error', 'optimizer': 'adamax'}
1, 200, 590, {'epochs': 182, 'units1': 78, 'act1': 'tanh', 'units2': 85, 'act2': 'elu', 'act3': 'elu', 'loss': 'categorical_crossentropy', 'optimizer': 'sgd'}
1, 9, -212, {'epochs': 19, 'units1': 213, 'act1': 'softmax', 'units2': 229, 'act2': 'selu', 'act3': 'linear', 'loss': 'mean_squared_error', 'optimizer': 'adadelta'}
1, 200, 96, {'epochs': 96, 'units1': 161, 'act1': 'linear', 'units2': 221, 'act2': 'sigmoid', 'act3': 'sigmoid', 'loss': 'sparse_categorical_crossentropy', 'optimizer': 'adamax'}
1, 200, 349, {'epochs': 159, 'units1': 245, 'act1': 'sigmoid', 'units2': 4, 'act2': 'sigmoid', 'act3': 'softmax', 'loss': 'categorical_crossentropy', 'optimizer': 'adadelta'}
1, 200, 99, {'epochs': 175, 'units1': 51, 'act1': 'sigmoid', 'units2': 142, 'act2': 'sigmoid', 'act3': 'elu', 'loss': 'categorical_crossentropy', 'optimizer': 'sgd'}
1, 200, 349, {'epochs': 190, 'units1': 113, 'act1': 'softmax', 'units2': 176, 'act2': 'softmax', 'act3': 'relu', 'loss': 'binary_crossentropy', 'optimizer': 'nadam'}
1, 9, -201, {'epochs': 218, 'units1': 46, 'act1': 'linear', 'units2': 44, 'act2': 'tanh', 'act3': 'sigmoid', 'loss': 'mean_absolute_error', 'optimizer': 'sgd'}
1, 200, 237, {'epochs': 155, 'units1': 105, 'act1': 'relu', 'units2': 189, 'act2': 'selu', 'act3': 'elu', 'loss': 'categorical_crossentropy', 'optimizer': 'sgd'}
1, 200, 99, {'epochs': 184, 'units1': 170, 'act1': 'softmax', 'units2': 23, 'act2': 'elu', 'act3': 'sigmoid', 'loss': 'categorical_crossentropy', 'optimizer': 'rmsprop'}
1, 200, 72, {'epochs': 144, 'units1': 80, 'act1': 'elu', 'units2': 182, 'act2': 'tanh', 'act3': 'softmax', 'loss': 'categorical_crossentropy', 'optimizer': 'nadam'}
1, 20, -193, {'epochs': 210, 'units1': 109, 'act1': 'linear', 'units2': 94, 'act2': 'sigmoid', 'act3': 'linear', 'loss': 'categorical_crossentropy', 'optimizer': 'nadam'}
1, 9, -212, {'epochs': 138, 'units1': 232, 'act1': 'sigmoid', 'units2': 246, 'act2': 'relu', 'act3': 'selu', 'loss': 'categorical_crossentropy', 'optimizer': 'nadam'}
1, 200, 99, {'epochs': 179, 'units1': 149, 'act1': 'linear', 'units2': 195, 'act2': 'sigmoid', 'act3': 'relu', 'loss': 'sparse_categorical_crossentropy', 'optimizer': 'rmsprop'}
1, 9, -212, {'epochs': 217, 'units1': 51, 'act1': 'sigmoid', 'units2': 79, 'act2': 'tanh', 'act3': 'elu', 'loss': 'categorical_crossentropy', 'optimizer': 'adam'}
1, 10, -210, {'epochs': 94, 'units1': 72, 'act1': 'relu', 'units2': 100, 'act2': 'selu', 'act3': 'relu', 'loss': 'categorical_crossentropy', 'optimizer': 'rmsprop'}
1, 13, -186, {'epochs': 77, 'units1': 38, 'act1': 'selu', 'units2': 51, 'act2': 'selu', 'act3': 'linear', 'loss': 'mean_squared_error', 'optimizer': 'nadam'}
