Generation: 1
1, 200, -53.0, {'epochs': 4, 'units1': 40, 'act1': 'relu', 'units2': 31, 'act2': 'sigmoid', 'act3': 'softmax', 'loss': 'mean_squared_error', 'optimizer': 'nadam'}
1, 200, -75.5, {'epochs': 12, 'units1': 11, 'act1': 'relu', 'units2': 44, 'act2': 'tanh', 'act3': 'relu', 'loss': 'categorical_crossentropy', 'optimizer': 'adadelta'}
2, 220, 62.0, {'epochs': 6, 'units1': 37, 'act1': 'tanh', 'units2': 45, 'act2': 'selu', 'act3': 'sigmoid', 'loss': 'mean_squared_error', 'optimizer': 'nadam'}
1, 200, -48.0, {'epochs': 4, 'units1': 20, 'act1': 'tanh', 'units2': 2, 'act2': 'elu', 'act3': 'tanh', 'loss': 'mean_absolute_error', 'optimizer': 'adamax'}
1, 200, -43.0, {'epochs': 6, 'units1': 1, 'act1': 'tanh', 'units2': 17, 'act2': 'tanh', 'act3': 'tanh', 'loss': 'mean_squared_error', 'optimizer': 'adagrad'}
1, 200, -50.5, {'epochs': 1, 'units1': 36, 'act1': 'elu', 'units2': 21, 'act2': 'softmax', 'act3': 'sigmoid', 'loss': 'mean_squared_error', 'optimizer': 'adagrad'}
1, 9, -192.5, {'epochs': 12, 'units1': 42, 'act1': 'tanh', 'units2': 18, 'act2': 'selu', 'act3': 'elu', 'loss': 'mean_squared_error', 'optimizer': 'rmsprop'}
1, 10, -214.0, {'epochs': 1, 'units1': 29, 'act1': 'elu', 'units2': 34, 'act2': 'tanh', 'act3': 'relu', 'loss': 'categorical_crossentropy', 'optimizer': 'adamax'}
1, 9, -215.0, {'epochs': 10, 'units1': 4, 'act1': 'sigmoid', 'units2': 27, 'act2': 'elu', 'act3': 'relu', 'loss': 'binary_crossentropy', 'optimizer': 'adagrad'}
1, 200, -50.5, {'epochs': 11, 'units1': 7, 'act1': 'relu', 'units2': 27, 'act2': 'linear', 'act3': 'tanh', 'loss': 'mean_squared_error', 'optimizer': 'adam'}
1, 9, -215.0, {'epochs': 13, 'units1': 40, 'act1': 'linear', 'units2': 13, 'act2': 'linear', 'act3': 'sigmoid', 'loss': 'binary_crossentropy', 'optimizer': 'sgd'}
1, 200, -53.0, {'epochs': 12, 'units1': 5, 'act1': 'tanh', 'units2': 14, 'act2': 'relu', 'act3': 'tanh', 'loss': 'mean_absolute_error', 'optimizer': 'adadelta'}
1, 9, -215.0, {'epochs': 3, 'units1': 31, 'act1': 'sigmoid', 'units2': 25, 'act2': 'relu', 'act3': 'relu', 'loss': 'mean_absolute_error', 'optimizer': 'sgd'}
1, 9, -200.0, {'epochs': 9, 'units1': 16, 'act1': 'linear', 'units2': 15, 'act2': 'softmax', 'act3': 'selu', 'loss': 'sparse_categorical_crossentropy', 'optimizer': 'adagrad'}
1, 18, -206.0, {'epochs': 4, 'units1': 33, 'act1': 'softmax', 'units2': 13, 'act2': 'tanh', 'act3': 'elu', 'loss': 'mean_absolute_error', 'optimizer': 'nadam'}
1, 9, -215.0, {'epochs': 8, 'units1': 15, 'act1': 'linear', 'units2': 40, 'act2': 'tanh', 'act3': 'linear', 'loss': 'mean_squared_error', 'optimizer': 'sgd'}
1, 11, -215.5, {'epochs': 9, 'units1': 31, 'act1': 'relu', 'units2': 26, 'act2': 'selu', 'act3': 'selu', 'loss': 'sparse_categorical_crossentropy', 'optimizer': 'adadelta'}
1, 20, -209.0, {'epochs': 6, 'units1': 34, 'act1': 'relu', 'units2': 7, 'act2': 'linear', 'act3': 'softmax', 'loss': 'mean_absolute_error', 'optimizer': 'adamax'}
1, 200, -43.0, {'epochs': 2, 'units1': 22, 'act1': 'selu', 'units2': 25, 'act2': 'tanh', 'act3': 'selu', 'loss': 'mean_squared_error', 'optimizer': 'rmsprop'}
1, 200, -50.5, {'epochs': 4, 'units1': 37, 'act1': 'softmax', 'units2': 13, 'act2': 'relu', 'act3': 'tanh', 'loss': 'categorical_crossentropy', 'optimizer': 'adadelta'}
1, 200, -53.0, {'epochs': 5, 'units1': 22, 'act1': 'sigmoid', 'units2': 35, 'act2': 'relu', 'act3': 'linear', 'loss': 'mean_absolute_error', 'optimizer': 'adagrad'}
1, 200, -53.0, {'epochs': 9, 'units1': 13, 'act1': 'softmax', 'units2': 42, 'act2': 'relu', 'act3': 'selu', 'loss': 'mean_squared_error', 'optimizer': 'sgd'}
1, 200, -53.0, {'epochs': 4, 'units1': 22, 'act1': 'softmax', 'units2': 13, 'act2': 'tanh', 'act3': 'tanh', 'loss': 'categorical_crossentropy', 'optimizer': 'sgd'}
1, 200, -63.0, {'epochs': 13, 'units1': 29, 'act1': 'linear', 'units2': 45, 'act2': 'tanh', 'act3': 'linear', 'loss': 'mean_absolute_error', 'optimizer': 'adagrad'}
1, 200, -53.0, {'epochs': 10, 'units1': 3, 'act1': 'selu', 'units2': 48, 'act2': 'sigmoid', 'act3': 'softmax', 'loss': 'mean_absolute_error', 'optimizer': 'rmsprop'}
1, 200, -43.0, {'epochs': 12, 'units1': 35, 'act1': 'linear', 'units2': 34, 'act2': 'elu', 'act3': 'relu', 'loss': 'binary_crossentropy', 'optimizer': 'sgd'}
1, 200, -53.0, {'epochs': 8, 'units1': 7, 'act1': 'linear', 'units2': 17, 'act2': 'sigmoid', 'act3': 'softmax', 'loss': 'mean_squared_error', 'optimizer': 'adam'}
32, 809, 3217.5, {'epochs': 1, 'units1': 34, 'act1': 'linear', 'units2': 2, 'act2': 'relu', 'act3': 'selu', 'loss': 'mean_absolute_error', 'optimizer': 'adagrad'}
1, 200, -53.0, {'epochs': 4, 'units1': 23, 'act1': 'softmax', 'units2': 41, 'act2': 'tanh', 'act3': 'selu', 'loss': 'mean_squared_error', 'optimizer': 'adam'}
1, 200, -53.0, {'epochs': 6, 'units1': 17, 'act1': 'softmax', 'units2': 38, 'act2': 'sigmoid', 'act3': 'relu', 'loss': 'categorical_crossentropy', 'optimizer': 'sgd'}
1, 20, -209.0, {'epochs': 1, 'units1': 5, 'act1': 'selu', 'units2': 22, 'act2': 'linear', 'act3': 'relu', 'loss': 'binary_crossentropy', 'optimizer': 'rmsprop'}
1, 200, -50.5, {'epochs': 5, 'units1': 30, 'act1': 'sigmoid', 'units2': 24, 'act2': 'softmax', 'act3': 'elu', 'loss': 'mean_absolute_error', 'optimizer': 'nadam'}
1, 200, -50.5, {'epochs': 7, 'units1': 45, 'act1': 'sigmoid', 'units2': 29, 'act2': 'relu', 'act3': 'elu', 'loss': 'mean_absolute_error', 'optimizer': 'nadam'}
1, 200, -48.0, {'epochs': 3, 'units1': 24, 'act1': 'tanh', 'units2': 42, 'act2': 'selu', 'act3': 'sigmoid', 'loss': 'sparse_categorical_crossentropy', 'optimizer': 'adam'}
