Generation: 1
1, 19, -207.5, {'epochs': 14, 'units1': 16, 'act1': 'linear', 'units2': 14, 'act2': 'elu', 'act3': 'tanh', 'loss': 'categorical_crossentropy', 'optimizer': 'adagrad'}
1, 9, -215.0, {'epochs': 9, 'units1': 26, 'act1': 'sigmoid', 'units2': 3, 'act2': 'linear', 'act3': 'elu', 'loss': 'categorical_crossentropy', 'optimizer': 'adamax'}
1, 200, -50.5, {'epochs': 4, 'units1': 12, 'act1': 'selu', 'units2': 28, 'act2': 'sigmoid', 'act3': 'selu', 'loss': 'binary_crossentropy', 'optimizer': 'nadam'}
1, 200, -50.5, {'epochs': 10, 'units1': 8, 'act1': 'sigmoid', 'units2': 23, 'act2': 'tanh', 'act3': 'tanh', 'loss': 'categorical_crossentropy', 'optimizer': 'adam'}
1, 200, -50.5, {'epochs': 14, 'units1': 13, 'act1': 'softmax', 'units2': 48, 'act2': 'relu', 'act3': 'linear', 'loss': 'binary_crossentropy', 'optimizer': 'adagrad'}
1, 9, -205.0, {'epochs': 7, 'units1': 14, 'act1': 'linear', 'units2': 1, 'act2': 'selu', 'act3': 'tanh', 'loss': 'categorical_crossentropy', 'optimizer': 'nadam'}
1, 9, -195.0, {'epochs': 7, 'units1': 33, 'act1': 'selu', 'units2': 41, 'act2': 'softmax', 'act3': 'elu', 'loss': 'categorical_crossentropy', 'optimizer': 'adam'}
1, 200, -53.0, {'epochs': 12, 'units1': 2, 'act1': 'sigmoid', 'units2': 9, 'act2': 'tanh', 'act3': 'relu', 'loss': 'sparse_categorical_crossentropy', 'optimizer': 'adamax'}
1, 9, -215.0, {'epochs': 4, 'units1': 40, 'act1': 'sigmoid', 'units2': 9, 'act2': 'elu', 'act3': 'relu', 'loss': 'binary_crossentropy', 'optimizer': 'adagrad'}
1, 200, -50.5, {'epochs': 12, 'units1': 48, 'act1': 'sigmoid', 'units2': 16, 'act2': 'linear', 'act3': 'softmax', 'loss': 'mean_squared_error', 'optimizer': 'adagrad'}
1, 200, -50.5, {'epochs': 8, 'units1': 45, 'act1': 'softmax', 'units2': 47, 'act2': 'elu', 'act3': 'softmax', 'loss': 'mean_squared_error', 'optimizer': 'adam'}
1, 9, -197.5, {'epochs': 12, 'units1': 21, 'act1': 'sigmoid', 'units2': 47, 'act2': 'linear', 'act3': 'tanh', 'loss': 'categorical_crossentropy', 'optimizer': 'adagrad'}
1, 200, -40.5, {'epochs': 2, 'units1': 6, 'act1': 'linear', 'units2': 23, 'act2': 'relu', 'act3': 'linear', 'loss': 'binary_crossentropy', 'optimizer': 'rmsprop'}
1, 200, -53.0, {'epochs': 3, 'units1': 22, 'act1': 'softmax', 'units2': 8, 'act2': 'selu', 'act3': 'tanh', 'loss': 'mean_squared_error', 'optimizer': 'rmsprop'}
1, 9, -215.0, {'epochs': 1, 'units1': 24, 'act1': 'relu', 'units2': 25, 'act2': 'linear', 'act3': 'relu', 'loss': 'categorical_crossentropy', 'optimizer': 'adamax'}
1, 200, -45.5, {'epochs': 3, 'units1': 33, 'act1': 'linear', 'units2': 16, 'act2': 'selu', 'act3': 'elu', 'loss': 'mean_squared_error', 'optimizer': 'rmsprop'}
1, 11, -213.0, {'epochs': 5, 'units1': 16, 'act1': 'linear', 'units2': 17, 'act2': 'relu', 'act3': 'softmax', 'loss': 'mean_absolute_error', 'optimizer': 'nadam'}
1, 9, -215.0, {'epochs': 11, 'units1': 27, 'act1': 'linear', 'units2': 46, 'act2': 'sigmoid', 'act3': 'linear', 'loss': 'binary_crossentropy', 'optimizer': 'sgd'}
1, 9, -210.0, {'epochs': 13, 'units1': 41, 'act1': 'linear', 'units2': 3, 'act2': 'softmax', 'act3': 'relu', 'loss': 'mean_absolute_error', 'optimizer': 'adam'}
1, 200, -50.5, {'epochs': 14, 'units1': 1, 'act1': 'linear', 'units2': 20, 'act2': 'selu', 'act3': 'sigmoid', 'loss': 'categorical_crossentropy', 'optimizer': 'sgd'}
1, 200, -50.5, {'epochs': 1, 'units1': 33, 'act1': 'tanh', 'units2': 6, 'act2': 'relu', 'act3': 'sigmoid', 'loss': 'sparse_categorical_crossentropy', 'optimizer': 'sgd'}
1, 200, -40.5, {'epochs': 4, 'units1': 14, 'act1': 'elu', 'units2': 15, 'act2': 'tanh', 'act3': 'relu', 'loss': 'mean_absolute_error', 'optimizer': 'sgd'}
1, 200, -50.5, {'epochs': 6, 'units1': 30, 'act1': 'elu', 'units2': 12, 'act2': 'sigmoid', 'act3': 'elu', 'loss': 'categorical_crossentropy', 'optimizer': 'rmsprop'}
1, 9, -215.0, {'epochs': 6, 'units1': 36, 'act1': 'sigmoid', 'units2': 7, 'act2': 'sigmoid', 'act3': 'linear', 'loss': 'binary_crossentropy', 'optimizer': 'adam'}
1, 200, -53.0, {'epochs': 14, 'units1': 48, 'act1': 'relu', 'units2': 32, 'act2': 'sigmoid', 'act3': 'relu', 'loss': 'binary_crossentropy', 'optimizer': 'nadam'}
1, 200, -53.0, {'epochs': 12, 'units1': 2, 'act1': 'softmax', 'units2': 2, 'act2': 'relu', 'act3': 'tanh', 'loss': 'sparse_categorical_crossentropy', 'optimizer': 'adamax'}
1, 9, -210.0, {'epochs': 11, 'units1': 30, 'act1': 'tanh', 'units2': 40, 'act2': 'linear', 'act3': 'selu', 'loss': 'binary_crossentropy', 'optimizer': 'nadam'}
1, 9, -212.5, {'epochs': 1, 'units1': 48, 'act1': 'tanh', 'units2': 3, 'act2': 'selu', 'act3': 'tanh', 'loss': 'binary_crossentropy', 'optimizer': 'adadelta'}
1, 200, -45.5, {'epochs': 12, 'units1': 4, 'act1': 'tanh', 'units2': 25, 'act2': 'relu', 'act3': 'selu', 'loss': 'sparse_categorical_crossentropy', 'optimizer': 'nadam'}
1, 200, -55.5, {'epochs': 7, 'units1': 39, 'act1': 'tanh', 'units2': 38, 'act2': 'relu', 'act3': 'sigmoid', 'loss': 'mean_absolute_error', 'optimizer': 'sgd'}
1, 9, -215.0, {'epochs': 4, 'units1': 11, 'act1': 'tanh', 'units2': 40, 'act2': 'tanh', 'act3': 'elu', 'loss': 'categorical_crossentropy', 'optimizer': 'sgd'}
1, 9, -202.5, {'epochs': 7, 'units1': 34, 'act1': 'sigmoid', 'units2': 26, 'act2': 'sigmoid', 'act3': 'relu', 'loss': 'mean_squared_error', 'optimizer': 'adagrad'}
1, 200, -48.0, {'epochs': 2, 'units1': 28, 'act1': 'relu', 'units2': 42, 'act2': 'relu', 'act3': 'elu', 'loss': 'mean_squared_error', 'optimizer': 'sgd'}
1, 25, -209.0, {'epochs': 4, 'units1': 34, 'act1': 'selu', 'units2': 19, 'act2': 'sigmoid', 'act3': 'linear', 'loss': 'binary_crossentropy', 'optimizer': 'rmsprop'}
1, 200, -53.0, {'epochs': 1, 'units1': 12, 'act1': 'relu', 'units2': 36, 'act2': 'sigmoid', 'act3': 'relu', 'loss': 'mean_squared_error', 'optimizer': 'nadam'}
1, 200, -50.5, {'epochs': 10, 'units1': 27, 'act1': 'sigmoid', 'units2': 43, 'act2': 'softmax', 'act3': 'sigmoid', 'loss': 'mean_squared_error', 'optimizer': 'adagrad'}
1, 9, -215.0, {'epochs': 13, 'units1': 20, 'act1': 'sigmoid', 'units2': 7, 'act2': 'elu', 'act3': 'selu', 'loss': 'mean_squared_error', 'optimizer': 'adam'}
2, 102, -104.5, {'epochs': 14, 'units1': 25, 'act1': 'elu', 'units2': 5, 'act2': 'elu', 'act3': 'selu', 'loss': 'categorical_crossentropy', 'optimizer': 'adadelta'}
1, 200, -53.0, {'epochs': 14, 'units1': 9, 'act1': 'sigmoid', 'units2': 17, 'act2': 'linear', 'act3': 'selu', 'loss': 'sparse_categorical_crossentropy', 'optimizer': 'adam'}
1, 200, -63.0, {'epochs': 4, 'units1': 16, 'act1': 'relu', 'units2': 34, 'act2': 'elu', 'act3': 'tanh', 'loss': 'mean_squared_error', 'optimizer': 'sgd'}
4, 345, 252.0, {'epochs': 3, 'units1': 42, 'act1': 'linear', 'units2': 45, 'act2': 'linear', 'act3': 'softmax', 'loss': 'categorical_crossentropy', 'optimizer': 'adadelta'}
2, 9, -97.5, {'epochs': 8, 'units1': 42, 'act1': 'softmax', 'units2': 24, 'act2': 'sigmoid', 'act3': 'linear', 'loss': 'categorical_crossentropy', 'optimizer': 'adagrad'}
1, 9, -192.5, {'epochs': 3, 'units1': 39, 'act1': 'relu', 'units2': 19, 'act2': 'linear', 'act3': 'tanh', 'loss': 'mean_squared_error', 'optimizer': 'adamax'}
1, 17, -207.0, {'epochs': 13, 'units1': 33, 'act1': 'elu', 'units2': 12, 'act2': 'linear', 'act3': 'relu', 'loss': 'mean_squared_error', 'optimizer': 'adam'}
1, 200, -53.0, {'epochs': 13, 'units1': 40, 'act1': 'sigmoid', 'units2': 45, 'act2': 'relu', 'act3': 'elu', 'loss': 'categorical_crossentropy', 'optimizer': 'nadam'}
1, 10, -216.5, {'epochs': 10, 'units1': 22, 'act1': 'tanh', 'units2': 27, 'act2': 'relu', 'act3': 'selu', 'loss': 'categorical_crossentropy', 'optimizer': 'adam'}
2, 40, -79.0, {'epochs': 10, 'units1': 21, 'act1': 'linear', 'units2': 14, 'act2': 'selu', 'act3': 'sigmoid', 'loss': 'mean_squared_error', 'optimizer': 'rmsprop'}
1, 200, -50.5, {'epochs': 11, 'units1': 38, 'act1': 'tanh', 'units2': 35, 'act2': 'sigmoid', 'act3': 'selu', 'loss': 'categorical_crossentropy', 'optimizer': 'adam'}
1, 9, -215.0, {'epochs': 9, 'units1': 5, 'act1': 'elu', 'units2': 12, 'act2': 'linear', 'act3': 'softmax', 'loss': 'categorical_crossentropy', 'optimizer': 'adam'}
1, 200, -50.5, {'epochs': 13, 'units1': 38, 'act1': 'tanh', 'units2': 29, 'act2': 'relu', 'act3': 'softmax', 'loss': 'mean_absolute_error', 'optimizer': 'adadelta'}
1, 9, -215.0, {'epochs': 9, 'units1': 21, 'act1': 'relu', 'units2': 13, 'act2': 'elu', 'act3': 'tanh', 'loss': 'binary_crossentropy', 'optimizer': 'adagrad'}
