Generation: 1
1, 200, 105, {'epochs': 116, 'units1': 177, 'act1': 'elu', 'units2': 19, 'act2': 'linear', 'act3': 'linear', 'loss': 'binary_crossentropy', 'optimizer': 'rmsprop'}
1, 200, 584, {'epochs': 158, 'units1': 55, 'act1': 'linear', 'units2': 30, 'act2': 'tanh', 'act3': 'selu', 'loss': 'binary_crossentropy', 'optimizer': 'adam'}
1, 200, 584, {'epochs': 77, 'units1': 11, 'act1': 'elu', 'units2': 200, 'act2': 'linear', 'act3': 'linear', 'loss': 'binary_crossentropy', 'optimizer': 'rmsprop'}
11, 163, 4937, {'epochs': 204, 'units1': 188, 'act1': 'selu', 'units2': 66, 'act2': 'selu', 'act3': 'selu', 'loss': 'categorical_crossentropy', 'optimizer': 'adam'}
1, 200, 96, {'epochs': 217, 'units1': 220, 'act1': 'elu', 'units2': 45, 'act2': 'sigmoid', 'act3': 'sigmoid', 'loss': 'binary_crossentropy', 'optimizer': 'nadam'}
1, 200, 349, {'epochs': 52, 'units1': 163, 'act1': 'linear', 'units2': 209, 'act2': 'sigmoid', 'act3': 'softmax', 'loss': 'sparse_categorical_crossentropy', 'optimizer': 'sgd'}
1, 9, -212, {'epochs': 72, 'units1': 149, 'act1': 'sigmoid', 'units2': 242, 'act2': 'elu', 'act3': 'sigmoid', 'loss': 'binary_crossentropy', 'optimizer': 'adamax'}
1, 9, -206, {'epochs': 177, 'units1': 236, 'act1': 'sigmoid', 'units2': 98, 'act2': 'tanh', 'act3': 'tanh', 'loss': 'binary_crossentropy', 'optimizer': 'sgd'}
1, 9, -212, {'epochs': 58, 'units1': 135, 'act1': 'tanh', 'units2': 162, 'act2': 'tanh', 'act3': 'selu', 'loss': 'sparse_categorical_crossentropy', 'optimizer': 'nadam'}
1, 200, 96, {'epochs': 185, 'units1': 55, 'act1': 'elu', 'units2': 222, 'act2': 'softmax', 'act3': 'elu', 'loss': 'categorical_crossentropy', 'optimizer': 'adadelta'}
1, 200, 96, {'epochs': 254, 'units1': 12, 'act1': 'relu', 'units2': 110, 'act2': 'elu', 'act3': 'selu', 'loss': 'binary_crossentropy', 'optimizer': 'adamax'}
1, 66, -179, {'epochs': 170, 'units1': 19, 'act1': 'linear', 'units2': 7, 'act2': 'sigmoid', 'act3': 'selu', 'loss': 'sparse_categorical_crossentropy', 'optimizer': 'sgd'}
1, 13, -186, {'epochs': 247, 'units1': 13, 'act1': 'relu', 'units2': 232, 'act2': 'relu', 'act3': 'tanh', 'loss': 'mean_squared_error', 'optimizer': 'sgd'}
1, 200, 96, {'epochs': 210, 'units1': 115, 'act1': 'tanh', 'units2': 188, 'act2': 'relu', 'act3': 'tanh', 'loss': 'mean_absolute_error', 'optimizer': 'adamax'}
1, 18, -194, {'epochs': 24, 'units1': 66, 'act1': 'tanh', 'units2': 18, 'act2': 'tanh', 'act3': 'linear', 'loss': 'categorical_crossentropy', 'optimizer': 'rmsprop'}
1, 13, -181, {'epochs': 152, 'units1': 178, 'act1': 'relu', 'units2': 230, 'act2': 'relu', 'act3': 'softmax', 'loss': 'mean_squared_error', 'optimizer': 'adadelta'}
1, 200, 99, {'epochs': 15, 'units1': 68, 'act1': 'sigmoid', 'units2': 78, 'act2': 'linear', 'act3': 'sigmoid', 'loss': 'mean_squared_error', 'optimizer': 'rmsprop'}
1, 200, 585, {'epochs': 150, 'units1': 196, 'act1': 'selu', 'units2': 102, 'act2': 'selu', 'act3': 'tanh', 'loss': 'mean_absolute_error', 'optimizer': 'adamax'}
Generation: 2
1, 200, 580, {'epochs': 210, 'units1': 230, 'act1': 'selu', 'units2': 81, 'act2': 'selu', 'act3': 'selu', 'loss': 'categorical_crossentropy', 'optimizer': 'adam'}
1, 200, 590, {'epochs': 109, 'units1': 137, 'act1': 'tanh', 'units2': 135, 'act2': 'selu', 'act3': 'sigmoid', 'loss': 'sparse_categorical_crossentropy', 'optimizer': 'adagrad'}
