Generation: 2
1, 200, 133, {'epochs': 11, 'units1': 235, 'act1': 'elu', 'units2': 122, 'act2': 'linear', 'act3': 'selu', 'loss': 'categorical_crossentropy', 'optimizer': 'adagrad'}
1, 200, -66901, {'epochs': 124, 'units1': 102, 'act1': 'linear', 'units2': 37, 'act2': 'softmax', 'act3': 'elu', 'loss': 'mean_absolute_error', 'optimizer': 'adadelta'}
1, 30, -191, {'epochs': 87, 'units1': 141, 'act1': 'elu', 'units2': 229, 'act2': 'selu', 'act3': 'elu', 'loss': 'categorical_crossentropy', 'optimizer': 'adadelta'}
1, 20, -220, {'epochs': 334, 'units1': 242, 'act1': 'linear', 'units2': 173, 'act2': 'linear', 'act3': 'relu', 'loss': 'binary_crossentropy', 'optimizer': 'nadam'}
1, 200, 107, {'epochs': 131, 'units1': 108, 'act1': 'selu', 'units2': 222, 'act2': 'elu', 'act3': 'sigmoid', 'loss': 'mean_absolute_error', 'optimizer': 'adagrad'}
1, 13, -199, {'epochs': 221, 'units1': 196, 'act1': 'elu', 'units2': 173, 'act2': 'elu', 'act3': 'relu', 'loss': 'mean_absolute_error', 'optimizer': 'adagrad'}
1, 9, -209, {'epochs': 147, 'units1': 197, 'act1': 'sigmoid', 'units2': 194, 'act2': 'selu', 'act3': 'selu', 'loss': 'binary_crossentropy', 'optimizer': 'nadam'}
1, 200, 104, {'epochs': 92, 'units1': 55, 'act1': 'selu', 'units2': 99, 'act2': 'tanh', 'act3': 'linear', 'loss': 'binary_crossentropy', 'optimizer': 'sgd'}
1, 200, -66904, {'epochs': 223, 'units1': 239, 'act1': 'elu', 'units2': 374, 'act2': 'relu', 'act3': 'elu', 'loss': 'sparse_categorical_crossentropy', 'optimizer': 'adamax'}
1, 200, 104, {'epochs': 357, 'units1': 262, 'act1': 'elu', 'units2': 339, 'act2': 'selu', 'act3': 'elu', 'loss': 'mean_squared_error', 'optimizer': 'sgd'}
1, 9, -201, {'epochs': 157, 'units1': 206, 'act1': 'selu', 'units2': 206, 'act2': 'sigmoid', 'act3': 'selu', 'loss': 'categorical_crossentropy', 'optimizer': 'rmsprop'}
1, 200, 99, {'epochs': 3, 'units1': 229, 'act1': 'relu', 'units2': 34, 'act2': 'elu', 'act3': 'relu', 'loss': 'sparse_categorical_crossentropy', 'optimizer': 'adadelta'}
1, 28, -192, {'epochs': 195, 'units1': 133, 'act1': 'selu', 'units2': 18, 'act2': 'elu', 'act3': 'selu', 'loss': 'categorical_crossentropy', 'optimizer': 'adam'}
1, 200, -66901, {'epochs': 150, 'units1': 200, 'act1': 'selu', 'units2': 192, 'act2': 'sigmoid', 'act3': 'selu', 'loss': 'categorical_crossentropy', 'optimizer': 'nadam'}
1, 13, -207, {'epochs': 28, 'units1': 153, 'act1': 'elu', 'units2': 114, 'act2': 'relu', 'act3': 'elu', 'loss': 'mean_squared_error', 'optimizer': 'nadam'}
1, 200, -66904, {'epochs': 190, 'units1': 176, 'act1': 'selu', 'units2': 137, 'act2': 'tanh', 'act3': 'selu', 'loss': 'mean_squared_error', 'optimizer': 'nadam'}
