Generation: 5
1, 9, -212, {'epochs': 97, 'units1': 243, 'act1': 'linear', 'units2': 226, 'act2': 'selu', 'act3': 'linear', 'loss': 'mean_absolute_error', 'optimizer': 'adam'}
1, 18, -194, {'epochs': 283, 'units1': 187, 'act1': 'linear', 'units2': 69, 'act2': 'elu', 'act3': 'linear', 'loss': 'mean_absolute_error', 'optimizer': 'adam'}
1, 200, 108, {'epochs': 175, 'units1': 154, 'act1': 'linear', 'units2': 82, 'act2': 'relu', 'act3': 'linear', 'loss': 'categorical_crossentropy', 'optimizer': 'sgd'}
1, 200, 119, {'epochs': 225, 'units1': 243, 'act1': 'tanh', 'units2': 118, 'act2': 'elu', 'act3': 'linear', 'loss': 'sparse_categorical_crossentropy', 'optimizer': 'nadam'}
1, 19, -195, {'epochs': 177, 'units1': 187, 'act1': 'linear', 'units2': 114, 'act2': 'elu', 'act3': 'linear', 'loss': 'mean_absolute_error', 'optimizer': 'adadelta'}
1, 200, 102, {'epochs': 208, 'units1': 201, 'act1': 'linear', 'units2': 244, 'act2': 'relu', 'act3': 'linear', 'loss': 'mean_absolute_error', 'optimizer': 'adam'}
1, 9, -212, {'epochs': 117, 'units1': 8, 'act1': 'linear', 'units2': 255, 'act2': 'elu', 'act3': 'linear', 'loss': 'binary_crossentropy', 'optimizer': 'adam'}
1, 9, -188, {'epochs': 224, 'units1': 49, 'act1': 'relu', 'units2': 82, 'act2': 'elu', 'act3': 'relu', 'loss': 'mean_absolute_error', 'optimizer': 'adadelta'}
1, 9, -212, {'epochs': 184, 'units1': 131, 'act1': 'relu', 'units2': 190, 'act2': 'selu', 'act3': 'relu', 'loss': 'mean_absolute_error', 'optimizer': 'nadam'}
1, 10, -213, {'epochs': 45, 'units1': 192, 'act1': 'linear', 'units2': 58, 'act2': 'elu', 'act3': 'linear', 'loss': 'binary_crossentropy', 'optimizer': 'adam'}
1, 18, -221, {'epochs': 89, 'units1': 247, 'act1': 'linear', 'units2': 214, 'act2': 'linear', 'act3': 'linear', 'loss': 'mean_absolute_error', 'optimizer': 'nadam'}
1, 200, -574, {'epochs': 210, 'units1': 100, 'act1': 'linear', 'units2': 113, 'act2': 'elu', 'act3': 'linear', 'loss': 'mean_squared_error', 'optimizer': 'nadam'}
1, 18, -165, {'epochs': 49, 'units1': 98, 'act1': 'linear', 'units2': 64, 'act2': 'relu', 'act3': 'linear', 'loss': 'mean_squared_error', 'optimizer': 'rmsprop'}
1, 19, -195, {'epochs': 184, 'units1': 137, 'act1': 'selu', 'units2': 184, 'act2': 'relu', 'act3': 'selu', 'loss': 'sparse_categorical_crossentropy', 'optimizer': 'adamax'}
1, 22, -210, {'epochs': 159, 'units1': 10, 'act1': 'elu', 'units2': 178, 'act2': 'relu', 'act3': 'elu', 'loss': 'sparse_categorical_crossentropy', 'optimizer': 'adagrad'}
1, 200, 122, {'epochs': 26, 'units1': 70, 'act1': 'elu', 'units2': 245, 'act2': 'elu', 'act3': 'elu', 'loss': 'categorical_crossentropy', 'optimizer': 'rmsprop'}
1, 20, -193, {'epochs': 200, 'units1': 166, 'act1': 'selu', 'units2': 222, 'act2': 'selu', 'act3': 'selu', 'loss': 'sparse_categorical_crossentropy', 'optimizer': 'adam'}
1, 9, -194, {'epochs': 118, 'units1': 169, 'act1': 'relu', 'units2': 27, 'act2': 'elu', 'act3': 'relu', 'loss': 'mean_absolute_error', 'optimizer': 'rmsprop'}
1, 200, 113, {'epochs': 10, 'units1': 166, 'act1': 'elu', 'units2': 181, 'act2': 'tanh', 'act3': 'elu', 'loss': 'binary_crossentropy', 'optimizer': 'adamax'}
5, 63, 1838, {'epochs': 224, 'units1': 169, 'act1': 'relu', 'units2': 308, 'act2': 'linear', 'act3': 'relu', 'loss': 'mean_absolute_error', 'optimizer': 'rmsprop'}
2, 19, 318, {'epochs': 239, 'units1': 49, 'act1': 'elu', 'units2': 86, 'act2': 'relu', 'act3': 'elu', 'loss': 'sparse_categorical_crossentropy', 'optimizer': 'sgd'}
1, 200, -571, {'epochs': 112, 'units1': 240, 'act1': 'linear', 'units2': 249, 'act2': 'elu', 'act3': 'linear', 'loss': 'categorical_crossentropy', 'optimizer': 'sgd'}
1, 200, 119, {'epochs': 102, 'units1': 20, 'act1': 'selu', 'units2': 203, 'act2': 'relu', 'act3': 'selu', 'loss': 'sparse_categorical_crossentropy', 'optimizer': 'adagrad'}
1, 200, 108, {'epochs': 235, 'units1': 59, 'act1': 'elu', 'units2': 85, 'act2': 'relu', 'act3': 'elu', 'loss': 'mean_squared_error', 'optimizer': 'adam'}
1, 37, -213, {'epochs': 16, 'units1': 177, 'act1': 'elu', 'units2': 66, 'act2': 'linear', 'act3': 'elu', 'loss': 'mean_squared_error', 'optimizer': 'nadam'}
1, 9, -212, {'epochs': 171, 'units1': 25, 'act1': 'selu', 'units2': 108, 'act2': 'tanh', 'act3': 'selu', 'loss': 'mean_squared_error', 'optimizer': 'adadelta'}
1, 200, 100, {'epochs': 183, 'units1': 233, 'act1': 'selu', 'units2': 76, 'act2': 'relu', 'act3': 'selu', 'loss': 'mean_squared_error', 'optimizer': 'adam'}
1, 200, 110, {'epochs': 236, 'units1': 207, 'act1': 'elu', 'units2': 85, 'act2': 'linear', 'act3': 'elu', 'loss': 'mean_squared_error', 'optimizer': 'sgd'}
1, 9, -206, {'epochs': 133, 'units1': 209, 'act1': 'elu', 'units2': 47, 'act2': 'tanh', 'act3': 'relu', 'loss': 'mean_absolute_error', 'optimizer': 'adam'}
1, 200, 93, {'epochs': 134, 'units1': 93, 'act1': 'selu', 'units2': 123, 'act2': 'selu', 'act3': 'selu', 'loss': 'mean_squared_error', 'optimizer': 'sgd'}
1, 9, -212, {'epochs': 199, 'units1': 157, 'act1': 'elu', 'units2': 151, 'act2': 'linear', 'act3': 'elu', 'loss': 'binary_crossentropy', 'optimizer': 'adagrad'}
1, 200, -574, {'epochs': 175, 'units1': 158, 'act1': 'relu', 'units2': 92, 'act2': 'linear', 'act3': 'relu', 'loss': 'binary_crossentropy', 'optimizer': 'adam'}
4, 46, 1311, {'epochs': 47, 'units1': 161, 'act1': 'elu', 'units2': 166, 'act2': 'linear', 'act3': 'elu', 'loss': 'mean_squared_error', 'optimizer': 'rmsprop'}
1, 200, -316, {'epochs': 34, 'units1': 84, 'act1': 'selu', 'units2': 49, 'act2': 'tanh', 'act3': 'selu', 'loss': 'mean_squared_error', 'optimizer': 'adamax'}
1, 200, -438, {'epochs': 26, 'units1': 70, 'act1': 'elu', 'units2': 245, 'act2': 'elu', 'act3': 'elu', 'loss': 'mean_absolute_error', 'optimizer': 'adamax'}
1, 200, 97, {'epochs': 178, 'units1': 317, 'act1': 'elu', 'units2': 234, 'act2': 'tanh', 'act3': 'elu', 'loss': 'sparse_categorical_crossentropy', 'optimizer': 'adadelta'}
1, 200, -311, {'epochs': 37, 'units1': 81, 'act1': 'selu', 'units2': 52, 'act2': 'tanh', 'act3': 'selu', 'loss': 'sparse_categorical_crossentropy', 'optimizer': 'adadelta'}
1, 200, 86, {'epochs': 32, 'units1': 160, 'act1': 'linear', 'units2': 165, 'act2': 'elu', 'act3': 'linear', 'loss': 'binary_crossentropy', 'optimizer': 'adamax'}
8, 92, 3401, {'epochs': 86, 'units1': 251, 'act1': 'linear', 'units2': 217, 'act2': 'linear', 'act3': 'linear', 'loss': 'mean_absolute_error', 'optimizer': 'adamax'}
1, 18, -165, {'epochs': 290, 'units1': 222, 'act1': 'linear', 'units2': 142, 'act2': 'elu', 'act3': 'linear', 'loss': 'mean_absolute_error', 'optimizer': 'adamax'}
