Generation: 48
1, 10, -192, {'epochs': 204, 'units1': 250, 'act1': 'linear', 'units2': 190, 'act2': 'tanh', 'act3': 'linear', 'loss': 'categorical_crossentropy', 'optimizer': 'adagrad'}
1, 18, -194, {'epochs': 143, 'units1': 74, 'act1': 'linear', 'units2': 189, 'act2': 'tanh', 'act3': 'linear', 'loss': 'binary_crossentropy', 'optimizer': 'adamax'}
1, 9, -212, {'epochs': 130, 'units1': 67, 'act1': 'tanh', 'units2': 188, 'act2': 'linear', 'act3': 'tanh', 'loss': 'binary_crossentropy', 'optimizer': 'adagrad'}
1, 15, -174, {'epochs': 109, 'units1': 172, 'act1': 'linear', 'units2': 88, 'act2': 'tanh', 'act3': 'linear', 'loss': 'mean_absolute_error', 'optimizer': 'nadam'}
1, 200, 110, {'epochs': 130, 'units1': 211, 'act1': 'linear', 'units2': 92, 'act2': 'tanh', 'act3': 'linear', 'loss': 'mean_squared_error', 'optimizer': 'nadam'}
1, 200, 110, {'epochs': 140, 'units1': 170, 'act1': 'linear', 'units2': 142, 'act2': 'tanh', 'act3': 'linear', 'loss': 'mean_squared_error', 'optimizer': 'rmsprop'}
2, 13, 300, {'epochs': 105, 'units1': 173, 'act1': 'tanh', 'units2': 95, 'act2': 'linear', 'act3': 'tanh', 'loss': 'mean_squared_error', 'optimizer': 'nadam'}
1, 14, -185, {'epochs': 242, 'units1': 51, 'act1': 'tanh', 'units2': 12, 'act2': 'linear', 'act3': 'tanh', 'loss': 'mean_absolute_error', 'optimizer': 'nadam'}
1, 9, -212, {'epochs': 207, 'units1': 250, 'act1': 'linear', 'units2': 189, 'act2': 'tanh', 'act3': 'linear', 'loss': 'sparse_categorical_crossentropy', 'optimizer': 'nadam'}
1, 9, -212, {'epochs': 255, 'units1': 58, 'act1': 'linear', 'units2': 13, 'act2': 'tanh', 'act3': 'linear', 'loss': 'mean_absolute_error', 'optimizer': 'adagrad'}
1, 200, 81, {'epochs': 141, 'units1': 75, 'act1': 'tanh', 'units2': 182, 'act2': 'linear', 'act3': 'tanh', 'loss': 'mean_absolute_error', 'optimizer': 'adagrad'}
2, 12, 293, {'epochs': 109, 'units1': 172, 'act1': 'linear', 'units2': 88, 'act2': 'tanh', 'act3': 'linear', 'loss': 'binary_crossentropy', 'optimizer': 'nadam'}
1, 9, -212, {'epochs': 143, 'units1': 218, 'act1': 'linear', 'units2': 93, 'act2': 'tanh', 'act3': 'linear', 'loss': 'sparse_categorical_crossentropy', 'optimizer': 'adagrad'}
2, 207, -62, {'epochs': 137, 'units1': 77, 'act1': 'tanh', 'units2': 191, 'act2': 'linear', 'act3': 'tanh', 'loss': 'mean_squared_error', 'optimizer': 'rmsprop'}
1, 9, -212, {'epochs': 95, 'units1': 234, 'act1': 'tanh', 'units2': 189, 'act2': 'linear', 'act3': 'tanh', 'loss': 'sparse_categorical_crossentropy', 'optimizer': 'nadam'}
1, 39, -153, {'epochs': 141, 'units1': 219, 'act1': 'linear', 'units2': 86, 'act2': 'tanh', 'act3': 'linear', 'loss': 'binary_crossentropy', 'optimizer': 'adamax'}
1, 200, 116, {'epochs': 130, 'units1': 163, 'act1': 'tanh', 'units2': 140, 'act2': 'linear', 'act3': 'tanh', 'loss': 'binary_crossentropy', 'optimizer': 'nadam'}
1, 33, -200, {'epochs': 109, 'units1': 172, 'act1': 'linear', 'units2': 88, 'act2': 'tanh', 'act3': 'linear', 'loss': 'binary_crossentropy', 'optimizer': 'adamax'}
