Generation: 1
1, 9, -215.0, {'epochs': 1, 'units1': 10, 'act1': 'selu', 'units2': 12, 'act2': 'elu', 'act3': 'selu', 'loss': 'mean_absolute_error', 'optimizer': 'adamax'}
4, 251, 265.5, {'epochs': 1, 'units1': 10, 'act1': 'selu', 'units2': 12, 'act2': 'elu', 'act3': 'selu', 'loss': 'mean_absolute_error', 'optimizer': 'adam'}
1, 200, -45.5, {'epochs': 1, 'units1': 10, 'act1': 'selu', 'units2': 12, 'act2': 'elu', 'act3': 'selu', 'loss': 'sparse_categorical_crossentropy', 'optimizer': 'rmsprop'}
7, 130, 443.5, {'epochs': 1, 'units1': 10, 'act1': 'selu', 'units2': 12, 'act2': 'elu', 'act3': 'selu', 'loss': 'mean_absolute_error', 'optimizer': 'adam'}
4, 232, 274.0, {'epochs': 1, 'units1': 10, 'act1': 'selu', 'units2': 12, 'act2': 'elu', 'act3': 'selu', 'loss': 'categorical_crossentropy', 'optimizer': 'nadam'}
1, 200, -50.5, {'epochs': 1, 'units1': 10, 'act1': 'selu', 'units2': 12, 'act2': 'elu', 'act3': 'selu', 'loss': 'binary_crossentropy', 'optimizer': 'adadelta'}
1, 200, -38.0, {'epochs': 1, 'units1': 10, 'act1': 'selu', 'units2': 12, 'act2': 'elu', 'act3': 'selu', 'loss': 'sparse_categorical_crossentropy', 'optimizer': 'adam'}
1, 9, -215.0, {'epochs': 1, 'units1': 10, 'act1': 'selu', 'units2': 12, 'act2': 'elu', 'act3': 'selu', 'loss': 'categorical_crossentropy', 'optimizer': 'adadelta'}
Generation: 5
1, 9, -215.0, {'epochs': 1, 'units1': 10, 'act1': 'selu', 'units2': 12, 'act2': 'elu', 'act3': 'selu', 'loss': 'mean_absolute_error', 'optimizer': 'adam'}
1, 200, -43.0, {'epochs': 1, 'units1': 10, 'act1': 'selu', 'units2': 12, 'act2': 'elu', 'act3': 'selu', 'loss': 'categorical_crossentropy', 'optimizer': 'nadam'}
1, 10, -216.5, {'epochs': 1, 'units1': 10, 'act1': 'elu', 'units2': 12, 'act2': 'selu', 'act3': 'elu', 'loss': 'binary_crossentropy', 'optimizer': 'sgd'}
1, 9, -195.0, {'epochs': 1, 'units1': 10, 'act1': 'elu', 'units2': 12, 'act2': 'selu', 'act3': 'elu', 'loss': 'categorical_crossentropy', 'optimizer': 'adagrad'}
4, 77, 148.0, {'epochs': 1, 'units1': 10, 'act1': 'elu', 'units2': 12, 'act2': 'selu', 'act3': 'elu', 'loss': 'mean_absolute_error', 'optimizer': 'adam'}
1, 21, -208.0, {'epochs': 1, 'units1': 10, 'act1': 'elu', 'units2': 12, 'act2': 'selu', 'act3': 'elu', 'loss': 'mean_squared_error', 'optimizer': 'rmsprop'}
1, 200, -50.5, {'epochs': 1, 'units1': 10, 'act1': 'elu', 'units2': 12, 'act2': 'selu', 'act3': 'elu', 'loss': 'mean_absolute_error', 'optimizer': 'adagrad'}
1, 200, -43.0, {'epochs': 1, 'units1': 10, 'act1': 'elu', 'units2': 12, 'act2': 'selu', 'act3': 'elu', 'loss': 'binary_crossentropy', 'optimizer': 'adagrad'}
1, 9, -200.0, {'epochs': 1, 'units1': 10, 'act1': 'elu', 'units2': 12, 'act2': 'selu', 'act3': 'elu', 'loss': 'mean_squared_error', 'optimizer': 'adadelta'}
1, 9, -202.5, {'epochs': 1, 'units1': 10, 'act1': 'elu', 'units2': 12, 'act2': 'selu', 'act3': 'elu', 'loss': 'mean_absolute_error', 'optimizer': 'rmsprop'}
Generation: 6
1, 200, -50.5, {'epochs': 1, 'units1': 10, 'act1': 'elu', 'units2': 12, 'act2': 'selu', 'act3': 'elu', 'loss': 'mean_absolute_error', 'optimizer': 'adam'}
1, 9, -215.0, {'epochs': 67, 'units1': 37, 'act1': 'selu', 'units2': 92, 'act2': 'elu', 'act3': 'selu', 'loss': 'categorical_crossentropy', 'optimizer': 'nadam'}
1, 20, -206.5, {'epochs': 1, 'units1': 10, 'act1': 'selu', 'units2': 12, 'act2': 'elu', 'act3': 'selu', 'loss': 'mean_squared_error', 'optimizer': 'adamax'}
1, 200, -45.5, {'epochs': 1, 'units1': 10, 'act1': 'selu', 'units2': 12, 'act2': 'elu', 'act3': 'selu', 'loss': 'sparse_categorical_crossentropy', 'optimizer': 'rmsprop'}
1, 19, -207.5, {'epochs': 1, 'units1': 10, 'act1': 'elu', 'units2': 12, 'act2': 'selu', 'act3': 'elu', 'loss': 'sparse_categorical_crossentropy', 'optimizer': 'sgd'}
1, 20, -206.5, {'epochs': 1, 'units1': 10, 'act1': 'selu', 'units2': 12, 'act2': 'elu', 'act3': 'selu', 'loss': 'sparse_categorical_crossentropy', 'optimizer': 'adam'}
1, 9, -197.5, {'epochs': 1, 'units1': 10, 'act1': 'selu', 'units2': 12, 'act2': 'elu', 'act3': 'selu', 'loss': 'binary_crossentropy', 'optimizer': 'rmsprop'}
1, 9, -212.5, {'epochs': 1, 'units1': 10, 'act1': 'selu', 'units2': 12, 'act2': 'elu', 'act3': 'selu', 'loss': 'mean_squared_error', 'optimizer': 'nadam'}
2, 88, -108.5, {'epochs': 1, 'units1': 10, 'act1': 'selu', 'units2': 12, 'act2': 'elu', 'act3': 'selu', 'loss': 'mean_squared_error', 'optimizer': 'adagrad'}
1, 20, -206.5, {'epochs': 1, 'units1': 10, 'act1': 'elu', 'units2': 12, 'act2': 'selu', 'act3': 'elu', 'loss': 'mean_squared_error', 'optimizer': 'adadelta'}
Generation: 7
