Generation: 1
1, 200, -66904, {'epochs': 109, 'units1': 199, 'act1': 'linear', 'units2': 10, 'act2': 'softmax', 'act3': 'selu', 'loss': 'mean_absolute_error', 'optimizer': 'adagrad'}
1, 9, -212, {'epochs': 184, 'units1': 73, 'act1': 'tanh', 'units2': 93, 'act2': 'relu', 'act3': 'elu', 'loss': 'mean_squared_error', 'optimizer': 'adamax'}
1, 200, -66901, {'epochs': 166, 'units1': 95, 'act1': 'sigmoid', 'units2': 211, 'act2': 'elu', 'act3': 'selu', 'loss': 'binary_crossentropy', 'optimizer': 'nadam'}
1, 9, -212, {'epochs': 92, 'units1': 142, 'act1': 'sigmoid', 'units2': 230, 'act2': 'softmax', 'act3': 'tanh', 'loss': 'binary_crossentropy', 'optimizer': 'adamax'}
1, 9, -212, {'epochs': 60, 'units1': 221, 'act1': 'elu', 'units2': 126, 'act2': 'elu', 'act3': 'tanh', 'loss': 'categorical_crossentropy', 'optimizer': 'adamax'}
1, 9, -212, {'epochs': 199, 'units1': 211, 'act1': 'sigmoid', 'units2': 152, 'act2': 'relu', 'act3': 'elu', 'loss': 'mean_absolute_error', 'optimizer': 'adamax'}
1, 19, -195, {'epochs': 233, 'units1': 217, 'act1': 'tanh', 'units2': 153, 'act2': 'relu', 'act3': 'tanh', 'loss': 'sparse_categorical_crossentropy', 'optimizer': 'adadelta'}
1, 9, -212, {'epochs': 200, 'units1': 228, 'act1': 'softmax', 'units2': 237, 'act2': 'selu', 'act3': 'linear', 'loss': 'sparse_categorical_crossentropy', 'optimizer': 'rmsprop'}
1, 9, -212, {'epochs': 19, 'units1': 185, 'act1': 'linear', 'units2': 131, 'act2': 'softmax', 'act3': 'linear', 'loss': 'binary_crossentropy', 'optimizer': 'rmsprop'}
1, 9, -212, {'epochs': 48, 'units1': 210, 'act1': 'selu', 'units2': 59, 'act2': 'relu', 'act3': 'relu', 'loss': 'mean_absolute_error', 'optimizer': 'nadam'}
1, 200, -66904, {'epochs': 31, 'units1': 125, 'act1': 'softmax', 'units2': 82, 'act2': 'tanh', 'act3': 'selu', 'loss': 'categorical_crossentropy', 'optimizer': 'adam'}
1, 9, -200, {'epochs': 35, 'units1': 96, 'act1': 'tanh', 'units2': 185, 'act2': 'sigmoid', 'act3': 'sigmoid', 'loss': 'binary_crossentropy', 'optimizer': 'adadelta'}
1, 16, -210, {'epochs': 157, 'units1': 30, 'act1': 'sigmoid', 'units2': 228, 'act2': 'relu', 'act3': 'tanh', 'loss': 'mean_absolute_error', 'optimizer': 'adagrad'}
2, 10, 307, {'epochs': 2, 'units1': 91, 'act1': 'linear', 'units2': 207, 'act2': 'relu', 'act3': 'linear', 'loss': 'sparse_categorical_crossentropy', 'optimizer': 'sgd'}
1, 9, -195, {'epochs': 254, 'units1': 115, 'act1': 'tanh', 'units2': 197, 'act2': 'tanh', 'act3': 'linear', 'loss': 'mean_squared_error', 'optimizer': 'adagrad'}
1, 200, -66904, {'epochs': 68, 'units1': 102, 'act1': 'linear', 'units2': 211, 'act2': 'sigmoid', 'act3': 'sigmoid', 'loss': 'sparse_categorical_crossentropy', 'optimizer': 'nadam'}
1, 200, -66901, {'epochs': 27, 'units1': 132, 'act1': 'sigmoid', 'units2': 111, 'act2': 'elu', 'act3': 'tanh', 'loss': 'mean_absolute_error', 'optimizer': 'sgd'}
1, 200, -67904, {'epochs': 124, 'units1': 85, 'act1': 'linear', 'units2': 22, 'act2': 'tanh', 'act3': 'softmax', 'loss': 'mean_squared_error', 'optimizer': 'adam'}
1, 200, -66901, {'epochs': 176, 'units1': 190, 'act1': 'elu', 'units2': 168, 'act2': 'relu', 'act3': 'selu', 'loss': 'sparse_categorical_crossentropy', 'optimizer': 'sgd'}
1, 200, -66901, {'epochs': 66, 'units1': 48, 'act1': 'softmax', 'units2': 64, 'act2': 'selu', 'act3': 'elu', 'loss': 'mean_squared_error', 'optimizer': 'rmsprop'}
1, 200, 144, {'epochs': 230, 'units1': 130, 'act1': 'tanh', 'units2': 197, 'act2': 'linear', 'act3': 'linear', 'loss': 'sparse_categorical_crossentropy', 'optimizer': 'adamax'}
1, 200, -66901, {'epochs': 23, 'units1': 175, 'act1': 'sigmoid', 'units2': 153, 'act2': 'sigmoid', 'act3': 'sigmoid', 'loss': 'sparse_categorical_crossentropy', 'optimizer': 'adam'}
1, 200, -66901, {'epochs': 239, 'units1': 38, 'act1': 'softmax', 'units2': 177, 'act2': 'softmax', 'act3': 'linear', 'loss': 'categorical_crossentropy', 'optimizer': 'sgd'}
1, 9, -212, {'epochs': 56, 'units1': 183, 'act1': 'selu', 'units2': 61, 'act2': 'elu', 'act3': 'linear', 'loss': 'categorical_crossentropy', 'optimizer': 'nadam'}
1, 200, -66904, {'epochs': 159, 'units1': 37, 'act1': 'softmax', 'units2': 89, 'act2': 'softmax', 'act3': 'relu', 'loss': 'binary_crossentropy', 'optimizer': 'nadam'}
1, 9, -212, {'epochs': 144, 'units1': 52, 'act1': 'sigmoid', 'units2': 60, 'act2': 'softmax', 'act3': 'sigmoid', 'loss': 'mean_squared_error', 'optimizer': 'sgd'}
1, 200, -66907, {'epochs': 248, 'units1': 207, 'act1': 'softmax', 'units2': 130, 'act2': 'elu', 'act3': 'elu', 'loss': 'binary_crossentropy', 'optimizer': 'adamax'}
2, 28, 295, {'epochs': 71, 'units1': 137, 'act1': 'linear', 'units2': 241, 'act2': 'selu', 'act3': 'sigmoid', 'loss': 'mean_absolute_error', 'optimizer': 'sgd'}
1, 9, -212, {'epochs': 62, 'units1': 249, 'act1': 'selu', 'units2': 150, 'act2': 'selu', 'act3': 'selu', 'loss': 'binary_crossentropy', 'optimizer': 'adam'}
2, 202, -66397, {'epochs': 238, 'units1': 52, 'act1': 'softmax', 'units2': 127, 'act2': 'relu', 'act3': 'tanh', 'loss': 'mean_absolute_error', 'optimizer': 'adadelta'}
1, 11, -211, {'epochs': 8, 'units1': 161, 'act1': 'tanh', 'units2': 25, 'act2': 'relu', 'act3': 'selu', 'loss': 'binary_crossentropy', 'optimizer': 'rmsprop'}
1, 200, -66904, {'epochs': 36, 'units1': 248, 'act1': 'sigmoid', 'units2': 66, 'act2': 'tanh', 'act3': 'relu', 'loss': 'binary_crossentropy', 'optimizer': 'adamax'}
1, 200, -60904, {'epochs': 38, 'units1': 95, 'act1': 'sigmoid', 'units2': 93, 'act2': 'selu', 'act3': 'sigmoid', 'loss': 'categorical_crossentropy', 'optimizer': 'adadelta'}
1, 200, -66904, {'epochs': 33, 'units1': 96, 'act1': 'relu', 'units2': 45, 'act2': 'softmax', 'act3': 'softmax', 'loss': 'binary_crossentropy', 'optimizer': 'sgd'}
1, 200, -46907, {'epochs': 54, 'units1': 14, 'act1': 'selu', 'units2': 88, 'act2': 'selu', 'act3': 'linear', 'loss': 'categorical_crossentropy', 'optimizer': 'adadelta'}
1, 10, -213, {'epochs': 170, 'units1': 158, 'act1': 'elu', 'units2': 152, 'act2': 'elu', 'act3': 'relu', 'loss': 'sparse_categorical_crossentropy', 'optimizer': 'adam'}
1, 200, 107, {'epochs': 139, 'units1': 190, 'act1': 'tanh', 'units2': 45, 'act2': 'tanh', 'act3': 'linear', 'loss': 'mean_absolute_error', 'optimizer': 'rmsprop'}
1, 9, -209, {'epochs': 30, 'units1': 58, 'act1': 'linear', 'units2': 137, 'act2': 'relu', 'act3': 'elu', 'loss': 'binary_crossentropy', 'optimizer': 'adadelta'}
1, 19, -175, {'epochs': 60, 'units1': 243, 'act1': 'selu', 'units2': 107, 'act2': 'selu', 'act3': 'softmax', 'loss': 'categorical_crossentropy', 'optimizer': 'sgd'}
1, 200, 116, {'epochs': 75, 'units1': 212, 'act1': 'selu', 'units2': 141, 'act2': 'elu', 'act3': 'elu', 'loss': 'mean_absolute_error', 'optimizer': 'adadelta'}
1, 200, -66904, {'epochs': 135, 'units1': 223, 'act1': 'linear', 'units2': 25, 'act2': 'tanh', 'act3': 'sigmoid', 'loss': 'categorical_crossentropy', 'optimizer': 'adamax'}
1, 9, -203, {'epochs': 134, 'units1': 61, 'act1': 'sigmoid', 'units2': 246, 'act2': 'tanh', 'act3': 'tanh', 'loss': 'binary_crossentropy', 'optimizer': 'nadam'}
1, 200, -60904, {'epochs': 243, 'units1': 64, 'act1': 'selu', 'units2': 116, 'act2': 'elu', 'act3': 'tanh', 'loss': 'mean_absolute_error', 'optimizer': 'adagrad'}
1, 200, -66901, {'epochs': 216, 'units1': 210, 'act1': 'sigmoid', 'units2': 66, 'act2': 'selu', 'act3': 'tanh', 'loss': 'categorical_crossentropy', 'optimizer': 'adadelta'}
1, 200, 113, {'epochs': 222, 'units1': 75, 'act1': 'elu', 'units2': 161, 'act2': 'tanh', 'act3': 'relu', 'loss': 'mean_absolute_error', 'optimizer': 'rmsprop'}
4, 33, 1336, {'epochs': 98, 'units1': 26, 'act1': 'tanh', 'units2': 130, 'act2': 'linear', 'act3': 'relu', 'loss': 'categorical_crossentropy', 'optimizer': 'sgd'}
1, 200, -66904, {'epochs': 188, 'units1': 2, 'act1': 'elu', 'units2': 155, 'act2': 'sigmoid', 'act3': 'sigmoid', 'loss': 'sparse_categorical_crossentropy', 'optimizer': 'adamax'}
1, 9, -188, {'epochs': 56, 'units1': 47, 'act1': 'elu', 'units2': 93, 'act2': 'softmax', 'act3': 'softmax', 'loss': 'mean_absolute_error', 'optimizer': 'adamax'}
1, 200, -66904, {'epochs': 14, 'units1': 24, 'act1': 'elu', 'units2': 127, 'act2': 'sigmoid', 'act3': 'selu', 'loss': 'sparse_categorical_crossentropy', 'optimizer': 'adagrad'}
1, 200, -66904, {'epochs': 35, 'units1': 63, 'act1': 'softmax', 'units2': 3, 'act2': 'relu', 'act3': 'linear', 'loss': 'categorical_crossentropy', 'optimizer': 'nadam'}
1, 9, -212, {'epochs': 5, 'units1': 212, 'act1': 'elu', 'units2': 167, 'act2': 'tanh', 'act3': 'linear', 'loss': 'binary_crossentropy', 'optimizer': 'rmsprop'}
1, 200, -66904, {'epochs': 147, 'units1': 229, 'act1': 'relu', 'units2': 156, 'act2': 'sigmoid', 'act3': 'linear', 'loss': 'mean_absolute_error', 'optimizer': 'adagrad'}
1, 9, -212, {'epochs': 108, 'units1': 101, 'act1': 'relu', 'units2': 45, 'act2': 'relu', 'act3': 'linear', 'loss': 'binary_crossentropy', 'optimizer': 'adamax'}
1, 200, -66901, {'epochs': 77, 'units1': 170, 'act1': 'selu', 'units2': 36, 'act2': 'sigmoid', 'act3': 'linear', 'loss': 'sparse_categorical_crossentropy', 'optimizer': 'rmsprop'}
1, 200, 119, {'epochs': 249, 'units1': 102, 'act1': 'linear', 'units2': 51, 'act2': 'elu', 'act3': 'softmax', 'loss': 'sparse_categorical_crossentropy', 'optimizer': 'adagrad'}
1, 9, -191, {'epochs': 247, 'units1': 109, 'act1': 'selu', 'units2': 96, 'act2': 'relu', 'act3': 'selu', 'loss': 'mean_absolute_error', 'optimizer': 'rmsprop'}
6, 77, 1344, {'epochs': 236, 'units1': 24, 'act1': 'tanh', 'units2': 34, 'act2': 'linear', 'act3': 'sigmoid', 'loss': 'mean_squared_error', 'optimizer': 'sgd'}
1, 200, -66901, {'epochs': 126, 'units1': 141, 'act1': 'sigmoid', 'units2': 206, 'act2': 'selu', 'act3': 'sigmoid', 'loss': 'sparse_categorical_crossentropy', 'optimizer': 'adamax'}
1, 200, -66901, {'epochs': 159, 'units1': 12, 'act1': 'elu', 'units2': 87, 'act2': 'softmax', 'act3': 'linear', 'loss': 'binary_crossentropy', 'optimizer': 'sgd'}
1, 39, -203, {'epochs': 137, 'units1': 140, 'act1': 'selu', 'units2': 133, 'act2': 'linear', 'act3': 'linear', 'loss': 'sparse_categorical_crossentropy', 'optimizer': 'adam'}
1, 9, -212, {'epochs': 92, 'units1': 38, 'act1': 'sigmoid', 'units2': 215, 'act2': 'relu', 'act3': 'softmax', 'loss': 'mean_absolute_error', 'optimizer': 'adam'}
1, 200, -66901, {'epochs': 54, 'units1': 20, 'act1': 'sigmoid', 'units2': 28, 'act2': 'tanh', 'act3': 'sigmoid', 'loss': 'binary_crossentropy', 'optimizer': 'adagrad'}
1, 9, -212, {'epochs': 9, 'units1': 78, 'act1': 'selu', 'units2': 179, 'act2': 'relu', 'act3': 'elu', 'loss': 'mean_squared_error', 'optimizer': 'adam'}
1, 9, -201, {'epochs': 79, 'units1': 236, 'act1': 'softmax', 'units2': 201, 'act2': 'softmax', 'act3': 'sigmoid', 'loss': 'mean_squared_error', 'optimizer': 'adagrad'}
1, 200, -66901, {'epochs': 146, 'units1': 125, 'act1': 'relu', 'units2': 29, 'act2': 'softmax', 'act3': 'relu', 'loss': 'mean_squared_error', 'optimizer': 'adadelta'}
