Generation: 39
7, 71, 2876, {'epochs': 221, 'units1': 27, 'act1': 'selu', 'units2': 86, 'act2': 'selu', 'act3': 'selu', 'loss': 'binary_crossentropy', 'optimizer': 'sgd'}
2, 17, 303, {'epochs': 100, 'units1': 174, 'act1': 'linear', 'units2': 95, 'act2': 'tanh', 'act3': 'linear', 'loss': 'mean_squared_error', 'optimizer': 'adamax'}
1, 19, -198, {'epochs': 143, 'units1': 10, 'act1': 'linear', 'units2': 157, 'act2': 'tanh', 'act3': 'linear', 'loss': 'mean_absolute_error', 'optimizer': 'adadelta'}
2, 202, -41, {'epochs': 205, 'units1': 203, 'act1': 'linear', 'units2': 182, 'act2': 'tanh', 'act3': 'linear', 'loss': 'sparse_categorical_crossentropy', 'optimizer': 'adadelta'}
1, 10, -183, {'epochs': 159, 'units1': 186, 'act1': 'selu', 'units2': 77, 'act2': 'selu', 'act3': 'selu', 'loss': 'binary_crossentropy', 'optimizer': 'adamax'}
1, 200, 119, {'epochs': 176, 'units1': 247, 'act1': 'linear', 'units2': 139, 'act2': 'tanh', 'act3': 'linear', 'loss': 'categorical_crossentropy', 'optimizer': 'adadelta'}
5, 72, 1867, {'epochs': 199, 'units1': 92, 'act1': 'tanh', 'units2': 13, 'act2': 'linear', 'act3': 'tanh', 'loss': 'sparse_categorical_crossentropy', 'optimizer': 'rmsprop'}
1, 200, 110, {'epochs': 99, 'units1': 174, 'act1': 'tanh', 'units2': 83, 'act2': 'linear', 'act3': 'tanh', 'loss': 'mean_absolute_error', 'optimizer': 'rmsprop'}
1, 200, -290, {'epochs': 99, 'units1': 174, 'act1': 'tanh', 'units2': 83, 'act2': 'linear', 'act3': 'tanh', 'loss': 'sparse_categorical_crossentropy', 'optimizer': 'rmsprop'}
1, 200, 100, {'epochs': 111, 'units1': 170, 'act1': 'linear', 'units2': 93, 'act2': 'tanh', 'act3': 'linear', 'loss': 'categorical_crossentropy', 'optimizer': 'adam'}
1, 21, -221, {'epochs': 159, 'units1': 186, 'act1': 'selu', 'units2': 77, 'act2': 'selu', 'act3': 'selu', 'loss': 'binary_crossentropy', 'optimizer': 'adagrad'}
1, 21, -194, {'epochs': 195, 'units1': 206, 'act1': 'linear', 'units2': 179, 'act2': 'tanh', 'act3': 'linear', 'loss': 'categorical_crossentropy', 'optimizer': 'sgd'}
1, 200, 103, {'epochs': 111, 'units1': 170, 'act1': 'tanh', 'units2': 93, 'act2': 'linear', 'act3': 'tanh', 'loss': 'sparse_categorical_crossentropy', 'optimizer': 'adagrad'}
1, 19, -219, {'epochs': 163, 'units1': 14, 'act1': 'tanh', 'units2': 211, 'act2': 'linear', 'act3': 'tanh', 'loss': 'categorical_crossentropy', 'optimizer': 'rmsprop'}
1, 200, -519, {'epochs': 157, 'units1': 187, 'act1': 'selu', 'units2': 70, 'act2': 'selu', 'act3': 'selu', 'loss': 'sparse_categorical_crossentropy', 'optimizer': 'sgd'}
1, 18, -197, {'epochs': 255, 'units1': 58, 'act1': 'tanh', 'units2': 13, 'act2': 'linear', 'act3': 'tanh', 'loss': 'mean_absolute_error', 'optimizer': 'rmsprop'}
1, 200, 90, {'epochs': 146, 'units1': 179, 'act1': 'selu', 'units2': 76, 'act2': 'selu', 'act3': 'selu', 'loss': 'sparse_categorical_crossentropy', 'optimizer': 'sgd'}
1, 9, -212, {'epochs': 159, 'units1': 186, 'act1': 'selu', 'units2': 77, 'act2': 'selu', 'act3': 'selu', 'loss': 'categorical_crossentropy', 'optimizer': 'adadelta'}
