Generation: 10
1, 67, -177, {'epochs': 157, 'units1': 183, 'act1': 'selu', 'units2': 67, 'act2': 'selu', 'act3': 'selu', 'loss': 'categorical_crossentropy', 'optimizer': 'sgd'}
5, 102, 1815, {'epochs': 83, 'units1': 199, 'act1': 'relu', 'units2': 134, 'act2': 'tanh', 'act3': 'relu', 'loss': 'mean_absolute_error', 'optimizer': 'adamax'}
8, 83, 3345, {'epochs': 55, 'units1': 166, 'act1': 'tanh', 'units2': 65, 'act2': 'selu', 'act3': 'tanh', 'loss': 'categorical_crossentropy', 'optimizer': 'sgd'}
10, 120, 4441, {'epochs': 192, 'units1': 47, 'act1': 'tanh', 'units2': 24, 'act2': 'tanh', 'act3': 'tanh', 'loss': 'categorical_crossentropy', 'optimizer': 'nadam'}
1, 200, -574, {'epochs': 152, 'units1': 186, 'act1': 'selu', 'units2': 77, 'act2': 'selu', 'act3': 'selu', 'loss': 'categorical_crossentropy', 'optimizer': 'adagrad'}
1, 18, -165, {'epochs': 148, 'units1': 190, 'act1': 'selu', 'units2': 79, 'act2': 'selu', 'act3': 'selu', 'loss': 'mean_squared_error', 'optimizer': 'sgd'}
1, 200, -574, {'epochs': 52, 'units1': 174, 'act1': 'selu', 'units2': 79, 'act2': 'tanh', 'act3': 'selu', 'loss': 'mean_squared_error', 'optimizer': 'nadam'}
1, 200, -504, {'epochs': 93, 'units1': 219, 'act1': 'selu', 'units2': 166, 'act2': 'tanh', 'act3': 'selu', 'loss': 'mean_squared_error', 'optimizer': 'adadelta'}
1, 9, -194, {'epochs': 52, 'units1': 14, 'act1': 'elu', 'units2': 255, 'act2': 'elu', 'act3': 'elu', 'loss': 'binary_crossentropy', 'optimizer': 'adam'}
1, 200, 102, {'epochs': 84, 'units1': 206, 'act1': 'tanh', 'units2': 143, 'act2': 'relu', 'act3': 'tanh', 'loss': 'binary_crossentropy', 'optimizer': 'sgd'}
5, 65, 1844, {'epochs': 148, 'units1': 190, 'act1': 'selu', 'units2': 79, 'act2': 'selu', 'act3': 'selu', 'loss': 'mean_absolute_error', 'optimizer': 'adagrad'}
1, 9, -212, {'epochs': 155, 'units1': 180, 'act1': 'selu', 'units2': 69, 'act2': 'selu', 'act3': 'selu', 'loss': 'mean_absolute_error', 'optimizer': 'rmsprop'}
1, 20, -196, {'epochs': 208, 'units1': 245, 'act1': 'selu', 'units2': 110, 'act2': 'selu', 'act3': 'selu', 'loss': 'categorical_crossentropy', 'optimizer': 'sgd'}
1, 200, 93, {'epochs': 196, 'units1': 46, 'act1': 'tanh', 'units2': 31, 'act2': 'tanh', 'act3': 'tanh', 'loss': 'sparse_categorical_crossentropy', 'optimizer': 'adagrad'}
1, 18, -197, {'epochs': 150, 'units1': 186, 'act1': 'selu', 'units2': 73, 'act2': 'selu', 'act3': 'selu', 'loss': 'mean_squared_error', 'optimizer': 'sgd'}
1, 9, -194, {'epochs': 196, 'units1': 46, 'act1': 'tanh', 'units2': 31, 'act2': 'tanh', 'act3': 'tanh', 'loss': 'sparse_categorical_crossentropy', 'optimizer': 'adagrad'}
1, 200, 116, {'epochs': 84, 'units1': 206, 'act1': 'tanh', 'units2': 143, 'act2': 'relu', 'act3': 'tanh', 'loss': 'mean_squared_error', 'optimizer': 'sgd'}
Generation: 10
1, 9, -212, {'epochs': 0, 'units1': 106, 'act1': 'selu', 'units2': 159, 'act2': 'elu', 'act3': 'selu', 'loss': 'mean_absolute_error', 'optimizer': 'sgd'}
1, 26, -193, {'epochs': 224, 'units1': 206, 'act1': 'elu', 'units2': 211, 'act2': 'linear', 'act3': 'elu', 'loss': 'sparse_categorical_crossentropy', 'optimizer': 'adadelta'}
1, 200, -574, {'epochs': 0, 'units1': 110, 'act1': 'elu', 'units2': 147, 'act2': 'selu', 'act3': 'elu', 'loss': 'categorical_crossentropy', 'optimizer': 'rmsprop'}
4, 248, 1641, {'epochs': 14, 'units1': 99, 'act1': 'elu', 'units2': 154, 'act2': 'selu', 'act3': 'elu', 'loss': 'mean_absolute_error', 'optimizer': 'rmsprop'}
1, 200, -574, {'epochs': 64, 'units1': 190, 'act1': 'tanh', 'units2': 131, 'act2': 'selu', 'act3': 'tanh', 'loss': 'mean_squared_error', 'optimizer': 'rmsprop'}
1, 200, -531, {'epochs': 64, 'units1': 190, 'act1': 'selu', 'units2': 131, 'act2': 'tanh', 'act3': 'selu', 'loss': 'binary_crossentropy', 'optimizer': 'adadelta'}
1, 200, -581, {'epochs': 224, 'units1': 202, 'act1': 'elu', 'units2': 223, 'act2': 'linear', 'act3': 'elu', 'loss': 'sparse_categorical_crossentropy', 'optimizer': 'nadam'}
5, 57, 1855, {'epochs': 48, 'units1': 254, 'act1': 'relu', 'units2': 19, 'act2': 'linear', 'act3': 'relu', 'loss': 'binary_crossentropy', 'optimizer': 'adadelta'}
1, 200, 110, {'epochs': 218, 'units1': 116, 'act1': 'elu', 'units2': 182, 'act2': 'linear', 'act3': 'elu', 'loss': 'binary_crossentropy', 'optimizer': 'adam'}
1, 200, -574, {'epochs': 229, 'units1': 205, 'act1': 'elu', 'units2': 214, 'act2': 'linear', 'act3': 'elu', 'loss': 'mean_absolute_error', 'optimizer': 'adadelta'}
1, 200, -574, {'epochs': 234, 'units1': 196, 'act1': 'elu', 'units2': 214, 'act2': 'linear', 'act3': 'elu', 'loss': 'sparse_categorical_crossentropy', 'optimizer': 'nadam'}
1, 200, -574, {'epochs': 208, 'units1': 122, 'act1': 'linear', 'units2': 191, 'act2': 'elu', 'act3': 'linear', 'loss': 'mean_absolute_error', 'optimizer': 'adagrad'}
2, 46, 323, {'epochs': 71, 'units1': 182, 'act1': 'selu', 'units2': 135, 'act2': 'tanh', 'act3': 'selu', 'loss': 'categorical_crossentropy', 'optimizer': 'nadam'}
1, 18, -194, {'epochs': 218, 'units1': 116, 'act1': 'linear', 'units2': 182, 'act2': 'elu', 'act3': 'linear', 'loss': 'mean_absolute_error', 'optimizer': 'adam'}
