Generation: 31
1, 9, -185, {'epochs': 149, 'units1': 2, 'act1': 'linear', 'units2': 168, 'act2': 'tanh', 'act3': 'linear', 'loss': 'binary_crossentropy', 'optimizer': 'adadelta'}
2, 15, 315, {'epochs': 186, 'units1': 290, 'act1': 'tanh', 'units2': 146, 'act2': 'linear', 'act3': 'tanh', 'loss': 'sparse_categorical_crossentropy', 'optimizer': 'adamax'}
1, 200, 72, {'epochs': 133, 'units1': 2, 'act1': 'tanh', 'units2': 152, 'act2': 'linear', 'act3': 'tanh', 'loss': 'mean_absolute_error', 'optimizer': 'rmsprop'}
1, 16, -169, {'epochs': 99, 'units1': 238, 'act1': 'tanh', 'units2': 99, 'act2': 'linear', 'act3': 'tanh', 'loss': 'binary_crossentropy', 'optimizer': 'adadelta'}
1, 200, 110, {'epochs': 151, 'units1': 246, 'act1': 'selu', 'units2': 128, 'act2': 'selu', 'act3': 'selu', 'loss': 'sparse_categorical_crossentropy', 'optimizer': 'adagrad'}
Generation: 31
1, 9, -212, {'epochs': 42, 'units1': 132, 'act1': 'elu', 'units2': 22, 'act2': 'linear', 'act3': 'elu', 'loss': 'mean_absolute_error', 'optimizer': 'rmsprop'}
1, 9, -206, {'epochs': 116, 'units1': 208, 'act1': 'tanh', 'units2': 16, 'act2': 'selu', 'act3': 'tanh', 'loss': 'categorical_crossentropy', 'optimizer': 'adadelta'}
1, 9, -209, {'epochs': 96, 'units1': 185, 'act1': 'selu', 'units2': 185, 'act2': 'tanh', 'act3': 'selu', 'loss': 'sparse_categorical_crossentropy', 'optimizer': 'adam'}
1, 200, 116, {'epochs': 160, 'units1': 201, 'act1': 'selu', 'units2': 185, 'act2': 'tanh', 'act3': 'selu', 'loss': 'binary_crossentropy', 'optimizer': 'adagrad'}
8, 105, 3429, {'epochs': 91, 'units1': 255, 'act1': 'selu', 'units2': 203, 'act2': 'tanh', 'act3': 'selu', 'loss': 'mean_absolute_error', 'optimizer': 'adadelta'}
1, 28, -192, {'epochs': 118, 'units1': 208, 'act1': 'tanh', 'units2': 23, 'act2': 'selu', 'act3': 'tanh', 'loss': 'binary_crossentropy', 'optimizer': 'adam'}
1, 10, -213, {'epochs': 68, 'units1': 176, 'act1': 'selu', 'units2': 128, 'act2': 'tanh', 'act3': 'selu', 'loss': 'sparse_categorical_crossentropy', 'optimizer': 'adamax'}
1, 9, -212, {'epochs': 96, 'units1': 186, 'act1': 'tanh', 'units2': 191, 'act2': 'selu', 'act3': 'tanh', 'loss': 'sparse_categorical_crossentropy', 'optimizer': 'nadam'}
1, 28, -201, {'epochs': 32, 'units1': 137, 'act1': 'elu', 'units2': 25, 'act2': 'linear', 'act3': 'elu', 'loss': 'categorical_crossentropy', 'optimizer': 'adadelta'}
8, 137, 3390, {'epochs': 160, 'units1': 201, 'act1': 'selu', 'units2': 185, 'act2': 'tanh', 'act3': 'selu', 'loss': 'categorical_crossentropy', 'optimizer': 'rmsprop'}
4, 233, 937, {'epochs': 70, 'units1': 176, 'act1': 'tanh', 'units2': 135, 'act2': 'selu', 'act3': 'tanh', 'loss': 'categorical_crossentropy', 'optimizer': 'nadam'}
1, 9, -185, {'epochs': 112, 'units1': 217, 'act1': 'tanh', 'units2': 25, 'act2': 'selu', 'act3': 'tanh', 'loss': 'mean_squared_error', 'optimizer': 'adamax'}
5, 233, 1766, {'epochs': 116, 'units1': 208, 'act1': 'tanh', 'units2': 16, 'act2': 'selu', 'act3': 'tanh', 'loss': 'categorical_crossentropy', 'optimizer': 'adamax'}
1, 9, -207, {'epochs': 122, 'units1': 180, 'act1': 'selu', 'units2': 198, 'act2': 'tanh', 'act3': 'selu', 'loss': 'binary_crossentropy', 'optimizer': 'adam'}
1, 18, -197, {'epochs': 36, 'units1': 128, 'act1': 'elu', 'units2': 16, 'act2': 'linear', 'act3': 'elu', 'loss': 'binary_crossentropy', 'optimizer': 'rmsprop'}
3, 224, 723, {'epochs': 106, 'units1': 180, 'act1': 'selu', 'units2': 182, 'act2': 'tanh', 'act3': 'selu', 'loss': 'mean_squared_error', 'optimizer': 'adadelta'}
1, 200, -556, {'epochs': 138, 'units1': 196, 'act1': 'tanh', 'units2': 230, 'act2': 'selu', 'act3': 'tanh', 'loss': 'mean_absolute_error', 'optimizer': 'adam'}
1, 200, -571, {'epochs': 32, 'units1': 137, 'act1': 'linear', 'units2': 25, 'act2': 'elu', 'act3': 'linear', 'loss': 'mean_absolute_error', 'optimizer': 'adam'}
1, 13, -175, {'epochs': 106, 'units1': 180, 'act1': 'selu', 'units2': 182, 'act2': 'tanh', 'act3': 'selu', 'loss': 'mean_squared_error', 'optimizer': 'adagrad'}
1, 200, 116, {'epochs': 168, 'units1': 202, 'act1': 'tanh', 'units2': 188, 'act2': 'selu', 'act3': 'tanh', 'loss': 'mean_absolute_error', 'optimizer': 'rmsprop'}
1, 17, -199, {'epochs': 38, 'units1': 128, 'act1': 'elu', 'units2': 23, 'act2': 'linear', 'act3': 'elu', 'loss': 'categorical_crossentropy', 'optimizer': 'adamax'}
1, 200, 111, {'epochs': 109, 'units1': 183, 'act1': 'tanh', 'units2': 180, 'act2': 'selu', 'act3': 'tanh', 'loss': 'categorical_crossentropy', 'optimizer': 'nadam'}
1, 18, -218, {'epochs': 64, 'units1': 185, 'act1': 'selu', 'units2': 137, 'act2': 'tanh', 'act3': 'selu', 'loss': 'categorical_crossentropy', 'optimizer': 'adagrad'}
1, 22, -195, {'epochs': 96, 'units1': 186, 'act1': 'tanh', 'units2': 191, 'act2': 'selu', 'act3': 'tanh', 'loss': 'categorical_crossentropy', 'optimizer': 'adam'}
1, 9, -212, {'epochs': 32, 'units1': 138, 'act1': 'elu', 'units2': 31, 'act2': 'linear', 'act3': 'elu', 'loss': 'binary_crossentropy', 'optimizer': 'adam'}
2, 217, -29, {'epochs': 74, 'units1': 180, 'act1': 'tanh', 'units2': 134, 'act2': 'selu', 'act3': 'tanh', 'loss': 'mean_squared_error', 'optimizer': 'nadam'}
1, 9, -212, {'epochs': 100, 'units1': 176, 'act1': 'tanh', 'units2': 176, 'act2': 'selu', 'act3': 'tanh', 'loss': 'binary_crossentropy', 'optimizer': 'rmsprop'}
4, 338, 1002, {'epochs': 112, 'units1': 218, 'act1': 'selu', 'units2': 31, 'act2': 'tanh', 'act3': 'selu', 'loss': 'mean_squared_error', 'optimizer': 'adamax'}
1, 200, 109, {'epochs': 96, 'units1': 185, 'act1': 'selu', 'units2': 185, 'act2': 'tanh', 'act3': 'selu', 'loss': 'categorical_crossentropy', 'optimizer': 'nadam'}
1, 19, -172, {'epochs': 164, 'units1': 192, 'act1': 'tanh', 'units2': 176, 'act2': 'selu', 'act3': 'tanh', 'loss': 'mean_absolute_error', 'optimizer': 'adagrad'}
1, 200, -571, {'epochs': 112, 'units1': 217, 'act1': 'selu', 'units2': 25, 'act2': 'tanh', 'act3': 'selu', 'loss': 'sparse_categorical_crossentropy', 'optimizer': 'adam'}
