Generation: 10
1, 200, -558, {'epochs': 209, 'units1': 107, 'act1': 'elu', 'units2': 112, 'act2': 'linear', 'act3': 'elu', 'loss': 'sparse_categorical_crossentropy', 'optimizer': 'nadam'}
1, 200, 113, {'epochs': 216, 'units1': 201, 'act1': 'linear', 'units2': 200, 'act2': 'linear', 'act3': 'linear', 'loss': 'mean_squared_error', 'optimizer': 'sgd'}
1, 200, 113, {'epochs': 240, 'units1': 44, 'act1': 'linear', 'units2': 95, 'act2': 'tanh', 'act3': 'linear', 'loss': 'mean_squared_error', 'optimizer': 'adadelta'}
1, 18, -197, {'epochs': 98, 'units1': 253, 'act1': 'selu', 'units2': 182, 'act2': 'tanh', 'act3': 'selu', 'loss': 'mean_absolute_error', 'optimizer': 'nadam'}
1, 9, -212, {'epochs': 41, 'units1': 151, 'act1': 'selu', 'units2': 150, 'act2': 'tanh', 'act3': 'selu', 'loss': 'binary_crossentropy', 'optimizer': 'nadam'}
1, 20, -176, {'epochs': 80, 'units1': 225, 'act1': 'selu', 'units2': 82, 'act2': 'tanh', 'act3': 'selu', 'loss': 'mean_absolute_error', 'optimizer': 'adam'}
1, 18, -197, {'epochs': 161, 'units1': 19, 'act1': 'selu', 'units2': 102, 'act2': 'tanh', 'act3': 'selu', 'loss': 'mean_absolute_error', 'optimizer': 'adamax'}
1, 200, 113, {'epochs': 44, 'units1': 197, 'act1': 'elu', 'units2': 60, 'act2': 'linear', 'act3': 'elu', 'loss': 'mean_absolute_error', 'optimizer': 'sgd'}
1, 38, -214, {'epochs': 224, 'units1': 169, 'act1': 'relu', 'units2': 308, 'act2': 'linear', 'act3': 'relu', 'loss': 'mean_absolute_error', 'optimizer': 'rmsprop'}
1, 200, 119, {'epochs': 39, 'units1': 92, 'act1': 'tanh', 'units2': 43, 'act2': 'tanh', 'act3': 'tanh', 'loss': 'categorical_crossentropy', 'optimizer': 'nadam'}
1, 200, 149, {'epochs': 32, 'units1': 160, 'act1': 'linear', 'units2': 165, 'act2': 'elu', 'act3': 'linear', 'loss': 'binary_crossentropy', 'optimizer': 'adamax'}
1, 200, -574, {'epochs': 201, 'units1': 122, 'act1': 'linear', 'units2': 119, 'act2': 'elu', 'act3': 'linear', 'loss': 'mean_absolute_error', 'optimizer': 'rmsprop'}
1, 200, 119, {'epochs': 201, 'units1': 160, 'act1': 'selu', 'units2': 209, 'act2': 'selu', 'act3': 'selu', 'loss': 'mean_squared_error', 'optimizer': 'sgd'}
1, 18, -206, {'epochs': 127, 'units1': 170, 'act1': 'elu', 'units2': 18, 'act2': 'relu', 'act3': 'elu', 'loss': 'sparse_categorical_crossentropy', 'optimizer': 'sgd'}
3, 235, 773, {'epochs': 44, 'units1': 211, 'act1': 'linear', 'units2': 68, 'act2': 'elu', 'act3': 'linear', 'loss': 'categorical_crossentropy', 'optimizer': 'sgd'}
2, 270, 617, {'epochs': 119, 'units1': 25, 'act1': 'linear', 'units2': 156, 'act2': 'tanh', 'act3': 'linear', 'loss': 'mean_absolute_error', 'optimizer': 'sgd'}
1, 10, -213, {'epochs': 131, 'units1': 257, 'act1': 'selu', 'units2': 161, 'act2': 'tanh', 'act3': 'selu', 'loss': 'sparse_categorical_crossentropy', 'optimizer': 'adam'}
6, 49, 2355, {'epochs': 46, 'units1': 202, 'act1': 'elu', 'units2': 55, 'act2': 'linear', 'act3': 'elu', 'loss': 'mean_absolute_error', 'optimizer': 'rmsprop'}
1, 200, -543, {'epochs': 78, 'units1': 170, 'act1': 'linear', 'units2': 87, 'act2': 'tanh', 'act3': 'linear', 'loss': 'sparse_categorical_crossentropy', 'optimizer': 'rmsprop'}
1, 200, 113, {'epochs': 43, 'units1': 203, 'act1': 'elu', 'units2': 53, 'act2': 'linear', 'act3': 'elu', 'loss': 'mean_squared_error', 'optimizer': 'rmsprop'}
1, 9, -212, {'epochs': 47, 'units1': 145, 'act1': 'selu', 'units2': 150, 'act2': 'tanh', 'act3': 'selu', 'loss': 'categorical_crossentropy', 'optimizer': 'adagrad'}
1, 19, -198, {'epochs': 118, 'units1': 164, 'act1': 'elu', 'units2': 27, 'act2': 'relu', 'act3': 'elu', 'loss': 'categorical_crossentropy', 'optimizer': 'adamax'}
1, 20, -193, {'epochs': 240, 'units1': 44, 'act1': 'tanh', 'units2': 95, 'act2': 'linear', 'act3': 'tanh', 'loss': 'binary_crossentropy', 'optimizer': 'adadelta'}
1, 200, -545, {'epochs': 25, 'units1': 32, 'act1': 'tanh', 'units2': 1, 'act2': 'tanh', 'act3': 'tanh', 'loss': 'categorical_crossentropy', 'optimizer': 'adagrad'}
1, 19, -201, {'epochs': 232, 'units1': 134, 'act1': 'linear', 'units2': 126, 'act2': 'tanh', 'act3': 'linear', 'loss': 'binary_crossentropy', 'optimizer': 'adagrad'}
4, 386, 917, {'epochs': 198, 'units1': 57, 'act1': 'elu', 'units2': 187, 'act2': 'tanh', 'act3': 'elu', 'loss': 'mean_absolute_error', 'optimizer': 'adadelta'}
1, 9, -212, {'epochs': 32, 'units1': 17, 'act1': 'linear', 'units2': 98, 'act2': 'tanh', 'act3': 'linear', 'loss': 'binary_crossentropy', 'optimizer': 'adadelta'}
1, 21, -194, {'epochs': 120, 'units1': 46, 'act1': 'tanh', 'units2': 48, 'act2': 'tanh', 'act3': 'tanh', 'loss': 'binary_crossentropy', 'optimizer': 'rmsprop'}
1, 21, -221, {'epochs': 30, 'units1': 186, 'act1': 'linear', 'units2': 71, 'act2': 'elu', 'act3': 'linear', 'loss': 'categorical_crossentropy', 'optimizer': 'nadam'}
1, 10, -198, {'epochs': 169, 'units1': 23, 'act1': 'selu', 'units2': 102, 'act2': 'tanh', 'act3': 'selu', 'loss': 'binary_crossentropy', 'optimizer': 'rmsprop'}
1, 30, -170, {'epochs': 31, 'units1': 189, 'act1': 'linear', 'units2': 66, 'act2': 'elu', 'act3': 'linear', 'loss': 'mean_squared_error', 'optimizer': 'nadam'}
1, 19, -195, {'epochs': 168, 'units1': 105, 'act1': 'linear', 'units2': 56, 'act2': 'elu', 'act3': 'linear', 'loss': 'categorical_crossentropy', 'optimizer': 'adagrad'}
3, 262, 1132, {'epochs': 203, 'units1': 171, 'act1': 'selu', 'units2': 213, 'act2': 'selu', 'act3': 'selu', 'loss': 'binary_crossentropy', 'optimizer': 'adadelta'}
1, 21, -194, {'epochs': 175, 'units1': 17, 'act1': 'tanh', 'units2': 102, 'act2': 'selu', 'act3': 'tanh', 'loss': 'categorical_crossentropy', 'optimizer': 'adagrad'}
