Generation: 1
1, 9, -189, {'epochs': 166, 'units1': 233, 'act1': 'softmax', 'units2': 81, 'act2': 'sigmoid', 'act3': 'elu', 'loss': 'sparse_categorical_crossentropy', 'optimizer': 'nadam'}
1, 200, -571, {'epochs': 167, 'units1': 21, 'act1': 'sigmoid', 'units2': 98, 'act2': 'selu', 'act3': 'sigmoid', 'loss': 'binary_crossentropy', 'optimizer': 'adam'}
1, 9, -183, {'epochs': 190, 'units1': 85, 'act1': 'elu', 'units2': 18, 'act2': 'sigmoid', 'act3': 'linear', 'loss': 'binary_crossentropy', 'optimizer': 'sgd'}
1, 9, -212, {'epochs': 163, 'units1': 113, 'act1': 'linear', 'units2': 215, 'act2': 'elu', 'act3': 'sigmoid', 'loss': 'mean_squared_error', 'optimizer': 'adamax'}
1, 9, -212, {'epochs': 246, 'units1': 15, 'act1': 'softmax', 'units2': 75, 'act2': 'selu', 'act3': 'selu', 'loss': 'mean_absolute_error', 'optimizer': 'rmsprop'}
1, 200, -571, {'epochs': 223, 'units1': 64, 'act1': 'linear', 'units2': 171, 'act2': 'softmax', 'act3': 'softmax', 'loss': 'categorical_crossentropy', 'optimizer': 'sgd'}
1, 200, -571, {'epochs': 78, 'units1': 179, 'act1': 'linear', 'units2': 180, 'act2': 'softmax', 'act3': 'sigmoid', 'loss': 'mean_absolute_error', 'optimizer': 'adagrad'}
1, 200, -571, {'epochs': 128, 'units1': 26, 'act1': 'selu', 'units2': 183, 'act2': 'sigmoid', 'act3': 'tanh', 'loss': 'mean_squared_error', 'optimizer': 'adadelta'}
1, 9, -200, {'epochs': 54, 'units1': 253, 'act1': 'relu', 'units2': 134, 'act2': 'relu', 'act3': 'softmax', 'loss': 'mean_squared_error', 'optimizer': 'adagrad'}
1, 9, -185, {'epochs': 196, 'units1': 104, 'act1': 'linear', 'units2': 140, 'act2': 'sigmoid', 'act3': 'relu', 'loss': 'mean_squared_error', 'optimizer': 'adam'}
1, 19, -195, {'epochs': 153, 'units1': 180, 'act1': 'selu', 'units2': 70, 'act2': 'selu', 'act3': 'selu', 'loss': 'sparse_categorical_crossentropy', 'optimizer': 'nadam'}
1, 200, 104, {'epochs': 225, 'units1': 238, 'act1': 'selu', 'units2': 8, 'act2': 'selu', 'act3': 'tanh', 'loss': 'sparse_categorical_crossentropy', 'optimizer': 'adam'}
1, 69, -179, {'epochs': 220, 'units1': 165, 'act1': 'linear', 'units2': 186, 'act2': 'relu', 'act3': 'tanh', 'loss': 'categorical_crossentropy', 'optimizer': 'adam'}
1, 200, 110, {'epochs': 102, 'units1': 218, 'act1': 'tanh', 'units2': 185, 'act2': 'linear', 'act3': 'elu', 'loss': 'mean_absolute_error', 'optimizer': 'rmsprop'}
1, 200, -571, {'epochs': 77, 'units1': 169, 'act1': 'relu', 'units2': 109, 'act2': 'relu', 'act3': 'tanh', 'loss': 'mean_absolute_error', 'optimizer': 'adagrad'}
1, 200, -574, {'epochs': 66, 'units1': 194, 'act1': 'sigmoid', 'units2': 118, 'act2': 'softmax', 'act3': 'relu', 'loss': 'binary_crossentropy', 'optimizer': 'adam'}
1, 200, -574, {'epochs': 245, 'units1': 46, 'act1': 'elu', 'units2': 18, 'act2': 'softmax', 'act3': 'softmax', 'loss': 'categorical_crossentropy', 'optimizer': 'adadelta'}
3, 81, 785, {'epochs': 40, 'units1': 222, 'act1': 'selu', 'units2': 219, 'act2': 'tanh', 'act3': 'linear', 'loss': 'categorical_crossentropy', 'optimizer': 'adadelta'}
Generation: 1
1, 10, -213, {'epochs': 53, 'units1': 164, 'act1': 'linear', 'units2': 237, 'act2': 'tanh', 'act3': 'elu', 'loss': 'mean_absolute_error', 'optimizer': 'adam'}
1, 200, -574, {'epochs': 54, 'units1': 158, 'act1': 'sigmoid', 'units2': 57, 'act2': 'softmax', 'act3': 'linear', 'loss': 'sparse_categorical_crossentropy', 'optimizer': 'nadam'}
1, 200, -574, {'epochs': 120, 'units1': 246, 'act1': 'elu', 'units2': 178, 'act2': 'sigmoid', 'act3': 'sigmoid', 'loss': 'categorical_crossentropy', 'optimizer': 'adam'}
1, 9, -212, {'epochs': 106, 'units1': 213, 'act1': 'sigmoid', 'units2': 177, 'act2': 'linear', 'act3': 'softmax', 'loss': 'binary_crossentropy', 'optimizer': 'sgd'}
1, 200, -571, {'epochs': 122, 'units1': 127, 'act1': 'tanh', 'units2': 11, 'act2': 'softmax', 'act3': 'selu', 'loss': 'mean_absolute_error', 'optimizer': 'adam'}
1, 200, 84, {'epochs': 219, 'units1': 214, 'act1': 'selu', 'units2': 249, 'act2': 'selu', 'act3': 'relu', 'loss': 'binary_crossentropy', 'optimizer': 'rmsprop'}
1, 9, -203, {'epochs': 9, 'units1': 96, 'act1': 'elu', 'units2': 147, 'act2': 'selu', 'act3': 'relu', 'loss': 'mean_squared_error', 'optimizer': 'rmsprop'}
1, 200, -558, {'epochs': 17, 'units1': 173, 'act1': 'linear', 'units2': 139, 'act2': 'elu', 'act3': 'selu', 'loss': 'binary_crossentropy', 'optimizer': 'adam'}
1, 9, -206, {'epochs': 198, 'units1': 46, 'act1': 'sigmoid', 'units2': 105, 'act2': 'tanh', 'act3': 'relu', 'loss': 'sparse_categorical_crossentropy', 'optimizer': 'adagrad'}
1, 200, -316, {'epochs': 166, 'units1': 246, 'act1': 'softmax', 'units2': 215, 'act2': 'selu', 'act3': 'elu', 'loss': 'mean_absolute_error', 'optimizer': 'adamax'}
1, 200, -311, {'epochs': 180, 'units1': 232, 'act1': 'relu', 'units2': 92, 'act2': 'selu', 'act3': 'relu', 'loss': 'mean_absolute_error', 'optimizer': 'rmsprop'}
1, 200, 77, {'epochs': 252, 'units1': 218, 'act1': 'tanh', 'units2': 135, 'act2': 'selu', 'act3': 'tanh', 'loss': 'sparse_categorical_crossentropy', 'optimizer': 'sgd'}
1, 9, -212, {'epochs': 189, 'units1': 14, 'act1': 'selu', 'units2': 68, 'act2': 'relu', 'act3': 'elu', 'loss': 'mean_squared_error', 'optimizer': 'adamax'}
1, 200, -571, {'epochs': 151, 'units1': 208, 'act1': 'sigmoid', 'units2': 153, 'act2': 'sigmoid', 'act3': 'tanh', 'loss': 'categorical_crossentropy', 'optimizer': 'nadam'}
1, 200, -571, {'epochs': 249, 'units1': 174, 'act1': 'softmax', 'units2': 42, 'act2': 'sigmoid', 'act3': 'tanh', 'loss': 'binary_crossentropy', 'optimizer': 'adamax'}
1, 9, -203, {'epochs': 229, 'units1': 138, 'act1': 'selu', 'units2': 46, 'act2': 'softmax', 'act3': 'relu', 'loss': 'mean_absolute_error', 'optimizer': 'adam'}
1, 9, -212, {'epochs': 35, 'units1': 179, 'act1': 'softmax', 'units2': 70, 'act2': 'relu', 'act3': 'selu', 'loss': 'binary_crossentropy', 'optimizer': 'rmsprop'}
1, 200, -219, {'epochs': 33, 'units1': 127, 'act1': 'tanh', 'units2': 182, 'act2': 'tanh', 'act3': 'selu', 'loss': 'binary_crossentropy', 'optimizer': 'adam'}
1, 200, 116, {'epochs': 119, 'units1': 199, 'act1': 'relu', 'units2': 148, 'act2': 'selu', 'act3': 'sigmoid', 'loss': 'binary_crossentropy', 'optimizer': 'adamax'}
1, 200, -574, {'epochs': 90, 'units1': 68, 'act1': 'relu', 'units2': 61, 'act2': 'relu', 'act3': 'linear', 'loss': 'mean_absolute_error', 'optimizer': 'nadam'}
1, 200, -574, {'epochs': 69, 'units1': 228, 'act1': 'tanh', 'units2': 123, 'act2': 'softmax', 'act3': 'linear', 'loss': 'binary_crossentropy', 'optimizer': 'adamax'}
1, 200, 116, {'epochs': 48, 'units1': 62, 'act1': 'tanh', 'units2': 131, 'act2': 'elu', 'act3': 'tanh', 'loss': 'binary_crossentropy', 'optimizer': 'adam'}
1, 9, -200, {'epochs': 159, 'units1': 232, 'act1': 'relu', 'units2': 9, 'act2': 'elu', 'act3': 'relu', 'loss': 'mean_absolute_error', 'optimizer': 'adamax'}
1, 200, -574, {'epochs': 2, 'units1': 106, 'act1': 'softmax', 'units2': 131, 'act2': 'softmax', 'act3': 'softmax', 'loss': 'sparse_categorical_crossentropy', 'optimizer': 'adadelta'}
1, 20, -193, {'epochs': 208, 'units1': 122, 'act1': 'elu', 'units2': 191, 'act2': 'linear', 'act3': 'relu', 'loss': 'mean_squared_error', 'optimizer': 'adam'}
1, 9, -212, {'epochs': 241, 'units1': 94, 'act1': 'linear', 'units2': 196, 'act2': 'relu', 'act3': 'linear', 'loss': 'sparse_categorical_crossentropy', 'optimizer': 'adadelta'}
2, 36, 300, {'epochs': 233, 'units1': 57, 'act1': 'relu', 'units2': 204, 'act2': 'selu', 'act3': 'relu', 'loss': 'sparse_categorical_crossentropy', 'optimizer': 'sgd'}
1, 200, 110, {'epochs': 179, 'units1': 99, 'act1': 'linear', 'units2': 67, 'act2': 'relu', 'act3': 'elu', 'loss': 'categorical_crossentropy', 'optimizer': 'sgd'}
1, 200, -574, {'epochs': 172, 'units1': 98, 'act1': 'softmax', 'units2': 173, 'act2': 'relu', 'act3': 'elu', 'loss': 'sparse_categorical_crossentropy', 'optimizer': 'adam'}
1, 200, -574, {'epochs': 179, 'units1': 112, 'act1': 'sigmoid', 'units2': 2, 'act2': 'selu', 'act3': 'selu', 'loss': 'mean_squared_error', 'optimizer': 'rmsprop'}
1, 200, 110, {'epochs': 42, 'units1': 116, 'act1': 'linear', 'units2': 70, 'act2': 'elu', 'act3': 'linear', 'loss': 'categorical_crossentropy', 'optimizer': 'adam'}
1, 200, 102, {'epochs': 55, 'units1': 134, 'act1': 'selu', 'units2': 87, 'act2': 'tanh', 'act3': 'tanh', 'loss': 'mean_absolute_error', 'optimizer': 'nadam'}
1, 200, -574, {'epochs': 214, 'units1': 76, 'act1': 'sigmoid', 'units2': 67, 'act2': 'linear', 'act3': 'linear', 'loss': 'sparse_categorical_crossentropy', 'optimizer': 'sgd'}
1, 200, -571, {'epochs': 229, 'units1': 198, 'act1': 'relu', 'units2': 52, 'act2': 'selu', 'act3': 'relu', 'loss': 'mean_absolute_error', 'optimizer': 'adadelta'}
1, 200, 115, {'epochs': 190, 'units1': 66, 'act1': 'selu', 'units2': 49, 'act2': 'elu', 'act3': 'sigmoid', 'loss': 'categorical_crossentropy', 'optimizer': 'nadam'}
1, 200, -571, {'epochs': 108, 'units1': 218, 'act1': 'sigmoid', 'units2': 71, 'act2': 'elu', 'act3': 'linear', 'loss': 'categorical_crossentropy', 'optimizer': 'adadelta'}
1, 200, 81, {'epochs': 27, 'units1': 236, 'act1': 'selu', 'units2': 249, 'act2': 'linear', 'act3': 'relu', 'loss': 'mean_absolute_error', 'optimizer': 'adamax'}
1, 200, -494, {'epochs': 73, 'units1': 61, 'act1': 'linear', 'units2': 57, 'act2': 'linear', 'act3': 'relu', 'loss': 'categorical_crossentropy', 'optimizer': 'adadelta'}
