Generation: 2
1, 30, -200, {'epochs': 232, 'units1': 131, 'act1': 'linear', 'units2': 126, 'act2': 'tanh', 'act3': 'selu', 'loss': 'categorical_crossentropy', 'optimizer': 'adadelta'}
1, 11, -211, {'epochs': 41, 'units1': 17, 'act1': 'linear', 'units2': 111, 'act2': 'tanh', 'act3': 'tanh', 'loss': 'mean_squared_error', 'optimizer': 'nadam'}
1, 200, 107, {'epochs': 96, 'units1': 121, 'act1': 'elu', 'units2': 68, 'act2': 'softmax', 'act3': 'linear', 'loss': 'binary_crossentropy', 'optimizer': 'adadelta'}
1, 200, 96, {'epochs': 217, 'units1': 103, 'act1': 'linear', 'units2': 118, 'act2': 'elu', 'act3': 'linear', 'loss': 'binary_crossentropy', 'optimizer': 'adam'}
4, 251, 964, {'epochs': 39, 'units1': 153, 'act1': 'selu', 'units2': 188, 'act2': 'linear', 'act3': 'linear', 'loss': 'sparse_categorical_crossentropy', 'optimizer': 'adagrad'}
1, 9, -212, {'epochs': 69, 'units1': 143, 'act1': 'selu', 'units2': 227, 'act2': 'relu', 'act3': 'softmax', 'loss': 'categorical_crossentropy', 'optimizer': 'adam'}
1, 114, -153, {'epochs': 155, 'units1': 160, 'act1': 'selu', 'units2': 35, 'act2': 'linear', 'act3': 'tanh', 'loss': 'categorical_crossentropy', 'optimizer': 'rmsprop'}
1, 9, -212, {'epochs': 105, 'units1': 246, 'act1': 'linear', 'units2': 146, 'act2': 'linear', 'act3': 'selu', 'loss': 'sparse_categorical_crossentropy', 'optimizer': 'sgd'}
1, 58, -183, {'epochs': 225, 'units1': 243, 'act1': 'tanh', 'units2': 118, 'act2': 'elu', 'act3': 'linear', 'loss': 'sparse_categorical_crossentropy', 'optimizer': 'nadam'}
1, 13, -204, {'epochs': 190, 'units1': 133, 'act1': 'relu', 'units2': 181, 'act2': 'selu', 'act3': 'tanh', 'loss': 'categorical_crossentropy', 'optimizer': 'adam'}
1, 200, 110, {'epochs': 39, 'units1': 192, 'act1': 'linear', 'units2': 51, 'act2': 'elu', 'act3': 'relu', 'loss': 'mean_squared_error', 'optimizer': 'adagrad'}
1, 9, -212, {'epochs': 194, 'units1': 222, 'act1': 'selu', 'units2': 154, 'act2': 'tanh', 'act3': 'elu', 'loss': 'mean_absolute_error', 'optimizer': 'rmsprop'}
1, 200, -574, {'epochs': 191, 'units1': 125, 'act1': 'softmax', 'units2': 162, 'act2': 'selu', 'act3': 'linear', 'loss': 'binary_crossentropy', 'optimizer': 'sgd'}
1, 200, -571, {'epochs': 67, 'units1': 182, 'act1': 'sigmoid', 'units2': 143, 'act2': 'elu', 'act3': 'sigmoid', 'loss': 'binary_crossentropy', 'optimizer': 'rmsprop'}
5, 96, 1846, {'epochs': 12, 'units1': 63, 'act1': 'relu', 'units2': 24, 'act2': 'selu', 'act3': 'tanh', 'loss': 'categorical_crossentropy', 'optimizer': 'sgd'}
1, 9, -185, {'epochs': 238, 'units1': 51, 'act1': 'relu', 'units2': 80, 'act2': 'elu', 'act3': 'tanh', 'loss': 'sparse_categorical_crossentropy', 'optimizer': 'adamax'}
1, 200, -574, {'epochs': 20, 'units1': 197, 'act1': 'linear', 'units2': 185, 'act2': 'softmax', 'act3': 'tanh', 'loss': 'sparse_categorical_crossentropy', 'optimizer': 'sgd'}
1, 19, -195, {'epochs': 87, 'units1': 268, 'act1': 'elu', 'units2': 181, 'act2': 'relu', 'act3': 'sigmoid', 'loss': 'categorical_crossentropy', 'optimizer': 'rmsprop'}
1, 9, -212, {'epochs': 166, 'units1': 66, 'act1': 'sigmoid', 'units2': 184, 'act2': 'sigmoid', 'act3': 'tanh', 'loss': 'sparse_categorical_crossentropy', 'optimizer': 'sgd'}
1, 200, -571, {'epochs': 207, 'units1': 186, 'act1': 'relu', 'units2': 178, 'act2': 'tanh', 'act3': 'softmax', 'loss': 'sparse_categorical_crossentropy', 'optimizer': 'rmsprop'}
1, 200, -574, {'epochs': 252, 'units1': 5, 'act1': 'sigmoid', 'units2': 124, 'act2': 'selu', 'act3': 'elu', 'loss': 'mean_absolute_error', 'optimizer': 'adam'}
1, 200, -287, {'epochs': 149, 'units1': 311, 'act1': 'elu', 'units2': 255, 'act2': 'linear', 'act3': 'elu', 'loss': 'categorical_crossentropy', 'optimizer': 'adadelta'}
1, 38, -206, {'epochs': 139, 'units1': 251, 'act1': 'tanh', 'units2': 152, 'act2': 'elu', 'act3': 'relu', 'loss': 'categorical_crossentropy', 'optimizer': 'rmsprop'}
1, 200, -432, {'epochs': 231, 'units1': 211, 'act1': 'linear', 'units2': 253, 'act2': 'linear', 'act3': 'tanh', 'loss': 'mean_squared_error', 'optimizer': 'nadam'}
1, 9, -212, {'epochs': 25, 'units1': 70, 'act1': 'elu', 'units2': 240, 'act2': 'elu', 'act3': 'sigmoid', 'loss': 'mean_squared_error', 'optimizer': 'sgd'}
5, 368, 1856, {'epochs': 92, 'units1': 243, 'act1': 'linear', 'units2': 215, 'act2': 'linear', 'act3': 'sigmoid', 'loss': 'mean_squared_error', 'optimizer': 'adagrad'}
1, 200, -571, {'epochs': 65, 'units1': 148, 'act1': 'elu', 'units2': 127, 'act2': 'sigmoid', 'act3': 'selu', 'loss': 'binary_crossentropy', 'optimizer': 'sgd'}
1, 200, -574, {'epochs': 224, 'units1': 91, 'act1': 'tanh', 'units2': 124, 'act2': 'sigmoid', 'act3': 'linear', 'loss': 'categorical_crossentropy', 'optimizer': 'sgd'}
1, 200, -571, {'epochs': 28, 'units1': 190, 'act1': 'selu', 'units2': 189, 'act2': 'sigmoid', 'act3': 'relu', 'loss': 'sparse_categorical_crossentropy', 'optimizer': 'adadelta'}
