Generation: 13
5, 96, 860, {'epochs': 9, 'units1': 172, 'act1': 'elu', 'units2': 21, 'act2': 'linear', 'act3': 'elu', 'loss': 'mean_absolute_error', 'optimizer': 'adam'}
1, 9, -212, {'epochs': 183, 'units1': 179, 'act1': 'relu', 'units2': 174, 'act2': 'linear', 'act3': 'relu', 'loss': 'categorical_crossentropy', 'optimizer': 'adamax'}
1, 200, -62889, {'epochs': 118, 'units1': 262, 'act1': 'elu', 'units2': 162, 'act2': 'elu', 'act3': 'elu', 'loss': 'categorical_crossentropy', 'optimizer': 'adagrad'}
1, 200, -66901, {'epochs': 124, 'units1': 40, 'act1': 'selu', 'units2': 100, 'act2': 'selu', 'act3': 'selu', 'loss': 'sparse_categorical_crossentropy', 'optimizer': 'sgd'}
1, 9, -212, {'epochs': 140, 'units1': 120, 'act1': 'selu', 'units2': 4, 'act2': 'elu', 'act3': 'selu', 'loss': 'mean_absolute_error', 'optimizer': 'adam'}
1, 9, -212, {'epochs': 172, 'units1': 127, 'act1': 'elu', 'units2': 240, 'act2': 'tanh', 'act3': 'elu', 'loss': 'mean_absolute_error', 'optimizer': 'adagrad'}
1, 18, -197, {'epochs': 166, 'units1': 223, 'act1': 'selu', 'units2': 48, 'act2': 'elu', 'act3': 'selu', 'loss': 'binary_crossentropy', 'optimizer': 'adam'}
1, 9, -185, {'epochs': 229, 'units1': 148, 'act1': 'linear', 'units2': 55, 'act2': 'linear', 'act3': 'linear', 'loss': 'mean_absolute_error', 'optimizer': 'adadelta'}
1, 59, -179, {'epochs': 105, 'units1': 44, 'act1': 'linear', 'units2': 197, 'act2': 'tanh', 'act3': 'linear', 'loss': 'mean_squared_error', 'optimizer': 'adadelta'}
1, 10, -213, {'epochs': 253, 'units1': 344, 'act1': 'elu', 'units2': 311, 'act2': 'elu', 'act3': 'elu', 'loss': 'binary_crossentropy', 'optimizer': 'adam'}
1, 10, -186, {'epochs': 191, 'units1': 81, 'act1': 'elu', 'units2': 118, 'act2': 'relu', 'act3': 'elu', 'loss': 'binary_crossentropy', 'optimizer': 'adagrad'}
1, 9, -212, {'epochs': 239, 'units1': 145, 'act1': 'linear', 'units2': 54, 'act2': 'linear', 'act3': 'linear', 'loss': 'categorical_crossentropy', 'optimizer': 'nadam'}
1, 67, -180, {'epochs': 107, 'units1': 35, 'act1': 'linear', 'units2': 203, 'act2': 'tanh', 'act3': 'linear', 'loss': 'binary_crossentropy', 'optimizer': 'adagrad'}
1, 200, -890, {'epochs': 53, 'units1': 223, 'act1': 'elu', 'units2': 117, 'act2': 'elu', 'act3': 'elu', 'loss': 'categorical_crossentropy', 'optimizer': 'adamax'}
1, 200, -66904, {'epochs': 204, 'units1': 88, 'act1': 'elu', 'units2': 4, 'act2': 'elu', 'act3': 'elu', 'loss': 'mean_squared_error', 'optimizer': 'adam'}
1, 200, 99, {'epochs': 254, 'units1': 203, 'act1': 'linear', 'units2': 97, 'act2': 'linear', 'act3': 'linear', 'loss': 'binary_crossentropy', 'optimizer': 'sgd'}
1, 9, -212, {'epochs': 249, 'units1': 204, 'act1': 'linear', 'units2': 101, 'act2': 'linear', 'act3': 'linear', 'loss': 'mean_absolute_error', 'optimizer': 'adagrad'}
1, 9, -212, {'epochs': 74, 'units1': 157, 'act1': 'tanh', 'units2': 20, 'act2': 'tanh', 'act3': 'tanh', 'loss': 'mean_squared_error', 'optimizer': 'rmsprop'}
2, 15, 312, {'epochs': 133, 'units1': 127, 'act1': 'elu', 'units2': 5, 'act2': 'selu', 'act3': 'elu', 'loss': 'categorical_crossentropy', 'optimizer': 'sgd'}
1, 200, 113, {'epochs': 233, 'units1': 156, 'act1': 'linear', 'units2': 53, 'act2': 'linear', 'act3': 'linear', 'loss': 'categorical_crossentropy', 'optimizer': 'nadam'}
1, 20, -196, {'epochs': 105, 'units1': 60, 'act1': 'elu', 'units2': 165, 'act2': 'tanh', 'act3': 'elu', 'loss': 'categorical_crossentropy', 'optimizer': 'adadelta'}
1, 9, -206, {'epochs': 234, 'units1': 144, 'act1': 'linear', 'units2': 52, 'act2': 'linear', 'act3': 'linear', 'loss': 'mean_squared_error', 'optimizer': 'rmsprop'}
1, 9, -212, {'epochs': 153, 'units1': 124, 'act1': 'tanh', 'units2': 5, 'act2': 'elu', 'act3': 'tanh', 'loss': 'categorical_crossentropy', 'optimizer': 'adagrad'}
1, 9, -212, {'epochs': 107, 'units1': 51, 'act1': 'elu', 'units2': 171, 'act2': 'tanh', 'act3': 'elu', 'loss': 'mean_absolute_error', 'optimizer': 'rmsprop'}
1, 17, -196, {'epochs': 209, 'units1': 264, 'act1': 'elu', 'units2': 122, 'act2': 'selu', 'act3': 'elu', 'loss': 'mean_absolute_error', 'optimizer': 'adagrad'}
