Generation: 20
1, 200, 96, {'epochs': 172, 'units1': 63, 'act1': 'sigmoid', 'units2': 234, 'act2': 'elu', 'act3': 'sigmoid', 'loss': 'sparse_categorical_crossentropy', 'optimizer': 'adadelta'}
1, 200, 96, {'epochs': 195, 'units1': 97, 'act1': 'elu', 'units2': 36, 'act2': 'sigmoid', 'act3': 'elu', 'loss': 'sparse_categorical_crossentropy', 'optimizer': 'adagrad'}
1, 200, 96, {'epochs': 163, 'units1': 49, 'act1': 'sigmoid', 'units2': 228, 'act2': 'elu', 'act3': 'sigmoid', 'loss': 'categorical_crossentropy', 'optimizer': 'adamax'}
1, 200, 99, {'epochs': 188, 'units1': 15, 'act1': 'linear', 'units2': 234, 'act2': 'sigmoid', 'act3': 'linear', 'loss': 'binary_crossentropy', 'optimizer': 'nadam'}
1, 9, -212, {'epochs': 114, 'units1': 248, 'act1': 'linear', 'units2': 3, 'act2': 'sigmoid', 'act3': 'linear', 'loss': 'categorical_crossentropy', 'optimizer': 'adagrad'}
1, 9, -212, {'epochs': 204, 'units1': 108, 'act1': 'sigmoid', 'units2': 43, 'act2': 'elu', 'act3': 'sigmoid', 'loss': 'categorical_crossentropy', 'optimizer': 'adadelta'}
1, 200, 99, {'epochs': 124, 'units1': 255, 'act1': 'linear', 'units2': 10, 'act2': 'sigmoid', 'act3': 'linear', 'loss': 'binary_crossentropy', 'optimizer': 'nadam'}
1, 200, 96, {'epochs': 197, 'units1': 107, 'act1': 'elu', 'units2': 37, 'act2': 'sigmoid', 'act3': 'elu', 'loss': 'binary_crossentropy', 'optimizer': 'sgd'}
1, 9, -212, {'epochs': 236, 'units1': 63, 'act1': 'sigmoid', 'units2': 26, 'act2': 'softmax', 'act3': 'sigmoid', 'loss': 'sparse_categorical_crossentropy', 'optimizer': 'adadelta'}
1, 200, 96, {'epochs': 236, 'units1': 63, 'act1': 'sigmoid', 'units2': 26, 'act2': 'softmax', 'act3': 'sigmoid', 'loss': 'mean_absolute_error', 'optimizer': 'nadam'}
1, 9, -212, {'epochs': 165, 'units1': 59, 'act1': 'sigmoid', 'units2': 229, 'act2': 'elu', 'act3': 'sigmoid', 'loss': 'sparse_categorical_crossentropy', 'optimizer': 'rmsprop'}
1, 200, 96, {'epochs': 124, 'units1': 255, 'act1': 'linear', 'units2': 10, 'act2': 'sigmoid', 'act3': 'linear', 'loss': 'mean_absolute_error', 'optimizer': 'rmsprop'}
1, 59, -184, {'epochs': 124, 'units1': 255, 'act1': 'linear', 'units2': 10, 'act2': 'sigmoid', 'act3': 'linear', 'loss': 'categorical_crossentropy', 'optimizer': 'adam'}
1, 200, 96, {'epochs': 204, 'units1': 108, 'act1': 'sigmoid', 'units2': 43, 'act2': 'elu', 'act3': 'sigmoid', 'loss': 'mean_absolute_error', 'optimizer': 'sgd'}
1, 9, -212, {'epochs': 188, 'units1': 12, 'act1': 'linear', 'units2': 235, 'act2': 'sigmoid', 'act3': 'linear', 'loss': 'mean_squared_error', 'optimizer': 'rmsprop'}
1, 200, 96, {'epochs': 172, 'units1': 63, 'act1': 'elu', 'units2': 234, 'act2': 'sigmoid', 'act3': 'elu', 'loss': 'sparse_categorical_crossentropy', 'optimizer': 'adam'}
1, 200, 96, {'epochs': 188, 'units1': 12, 'act1': 'sigmoid', 'units2': 235, 'act2': 'linear', 'act3': 'sigmoid', 'loss': 'binary_crossentropy', 'optimizer': 'adam'}
1, 200, 96, {'epochs': 179, 'units1': 1, 'act1': 'linear', 'units2': 228, 'act2': 'sigmoid', 'act3': 'linear', 'loss': 'categorical_crossentropy', 'optimizer': 'nadam'}
1, 9, -212, {'epochs': 331, 'units1': 114, 'act1': 'linear', 'units2': 127, 'act2': 'sigmoid', 'act3': 'linear', 'loss': 'sparse_categorical_crossentropy', 'optimizer': 'nadam'}
