Generation: 1
1, 18, -208.5, {'epochs': 32, 'units1': 27, 'act1': 'linear', 'units2': 29, 'act2': 'selu', 'act3': 'linear', 'loss': 'mean_squared_error', 'optimizer': 'adagrad'}
1, 200, -53.0, {'epochs': 5, 'units1': 17, 'act1': 'tanh', 'units2': 14, 'act2': 'relu', 'act3': 'tanh', 'loss': 'mean_absolute_error', 'optimizer': 'nadam'}
3, 18, 6.5, {'epochs': 10, 'units1': 27, 'act1': 'relu', 'units2': 19, 'act2': 'elu', 'act3': 'relu', 'loss': 'sparse_categorical_crossentropy', 'optimizer': 'sgd'}
1, 20, -189.0, {'epochs': 10, 'units1': 27, 'act1': 'relu', 'units2': 19, 'act2': 'elu', 'act3': 'relu', 'loss': 'mean_squared_error', 'optimizer': 'rmsprop'}
1, 200, -50.5, {'epochs': 6, 'units1': 22, 'act1': 'elu', 'units2': 27, 'act2': 'sigmoid', 'act3': 'elu', 'loss': 'mean_absolute_error', 'optimizer': 'rmsprop'}
1, 200, -50.5, {'epochs': 8, 'units1': 24, 'act1': 'relu', 'units2': 23, 'act2': 'elu', 'act3': 'relu', 'loss': 'categorical_crossentropy', 'optimizer': 'rmsprop'}
1, 9, -195.0, {'epochs': 4, 'units1': 21, 'act1': 'elu', 'units2': 26, 'act2': 'sigmoid', 'act3': 'elu', 'loss': 'sparse_categorical_crossentropy', 'optimizer': 'adadelta'}
1, 200, -60.5, {'epochs': 4, 'units1': 22, 'act1': 'tanh', 'units2': 21, 'act2': 'relu', 'act3': 'tanh', 'loss': 'mean_absolute_error', 'optimizer': 'nadam'}
Generation: 3
1, 9, -215.0, {'epochs': 10, 'units1': 27, 'act1': 'relu', 'units2': 19, 'act2': 'elu', 'act3': 'relu', 'loss': 'sparse_categorical_crossentropy', 'optimizer': 'sgd'}
1, 10, -194.0, {'epochs': 14, 'units1': 36, 'act1': 'elu', 'units2': 27, 'act2': 'relu', 'act3': 'tanh', 'loss': 'categorical_crossentropy', 'optimizer': 'adadelta'}
1, 200, -53.0, {'epochs': 9, 'units1': 19, 'act1': 'relu', 'units2': 16, 'act2': 'elu', 'act3': 'relu', 'loss': 'sparse_categorical_crossentropy', 'optimizer': 'adadelta'}
2, 206, 50.5, {'epochs': 4, 'units1': 22, 'act1': 'tanh', 'units2': 21, 'act2': 'relu', 'act3': 'tanh', 'loss': 'binary_crossentropy', 'optimizer': 'sgd'}
1, 9, -215.0, {'epochs': 6, 'units1': 15, 'act1': 'elu', 'units2': 12, 'act2': 'relu', 'act3': 'elu', 'loss': 'categorical_crossentropy', 'optimizer': 'nadam'}
2, 9, -92.5, {'epochs': 7, 'units1': 17, 'act1': 'elu', 'units2': 13, 'act2': 'relu', 'act3': 'elu', 'loss': 'mean_squared_error', 'optimizer': 'adam'}
1, 200, -48.0, {'epochs': 9, 'units1': 22, 'act1': 'relu', 'units2': 17, 'act2': 'elu', 'act3': 'relu', 'loss': 'sparse_categorical_crossentropy', 'optimizer': 'adadelta'}
1, 200, -50.5, {'epochs': 14, 'units1': 25, 'act1': 'elu', 'units2': 96, 'act2': 'relu', 'act3': 'elu', 'loss': 'binary_crossentropy', 'optimizer': 'rmsprop'}
1, 200, -48.0, {'epochs': 7, 'units1': 19, 'act1': 'elu', 'units2': 13, 'act2': 'relu', 'act3': 'elu', 'loss': 'mean_absolute_error', 'optimizer': 'nadam'}
1, 200, -48.0, {'epochs': 7, 'units1': 19, 'act1': 'elu', 'units2': 13, 'act2': 'relu', 'act3': 'elu', 'loss': 'binary_crossentropy', 'optimizer': 'nadam'}
1, 200, -53.0, {'epochs': 6, 'units1': 13, 'act1': 'elu', 'units2': 12, 'act2': 'relu', 'act3': 'elu', 'loss': 'binary_crossentropy', 'optimizer': 'adam'}
1, 9, -215.0, {'epochs': 6, 'units1': 13, 'act1': 'elu', 'units2': 12, 'act2': 'relu', 'act3': 'elu', 'loss': 'binary_crossentropy', 'optimizer': 'adam'}
1, 200, -53.0, {'epochs': 56, 'units1': 112, 'act1': 'elu', 'units2': 35, 'act2': 'relu', 'act3': 'elu', 'loss': 'categorical_crossentropy', 'optimizer': 'adadelta'}
1, 9, -215.0, {'epochs': 4, 'units1': 15, 'act1': 'relu', 'units2': 14, 'act2': 'tanh', 'act3': 'relu', 'loss': 'mean_absolute_error', 'optimizer': 'rmsprop'}
1, 200, -63.0, {'epochs': 5, 'units1': 20, 'act1': 'relu', 'units2': 16, 'act2': 'tanh', 'act3': 'relu', 'loss': 'sparse_categorical_crossentropy', 'optimizer': 'rmsprop'}
1, 19, -210.0, {'epochs': 8, 'units1': 23, 'act1': 'relu', 'units2': 18, 'act2': 'elu', 'act3': 'relu', 'loss': 'sparse_categorical_crossentropy', 'optimizer': 'adadelta'}
1, 9, -192.5, {'epochs': 9, 'units1': 24, 'act1': 'relu', 'units2': 17, 'act2': 'elu', 'act3': 'relu', 'loss': 'sparse_categorical_crossentropy', 'optimizer': 'adagrad'}
1, 200, -53.0, {'epochs': 8, 'units1': 22, 'act1': 'elu', 'units2': 15, 'act2': 'relu', 'act3': 'elu', 'loss': 'mean_squared_error', 'optimizer': 'adagrad'}
1, 20, -209.0, {'epochs': 3, 'units1': 16, 'act1': 'relu', 'units2': 15, 'act2': 'tanh', 'act3': 'relu', 'loss': 'categorical_crossentropy', 'optimizer': 'adagrad'}
1, 200, -38.0, {'epochs': 3, 'units1': 16, 'act1': 'relu', 'units2': 15, 'act2': 'tanh', 'act3': 'relu', 'loss': 'binary_crossentropy', 'optimizer': 'adam'}
Generation: 4
2, 67, -104.5, {'epochs': 4, 'units1': 22, 'act1': 'tanh', 'units2': 21, 'act2': 'relu', 'act3': 'tanh', 'loss': 'binary_crossentropy', 'optimizer': 'sgd'}
1, 200, -43.0, {'epochs': 3, 'units1': 16, 'act1': 'relu', 'units2': 15, 'act2': 'tanh', 'act3': 'relu', 'loss': 'binary_crossentropy', 'optimizer': 'adam'}
1, 9, -215.0, {'epochs': 9, 'units1': 22, 'act1': 'relu', 'units2': 17, 'act2': 'elu', 'act3': 'relu', 'loss': 'sparse_categorical_crossentropy', 'optimizer': 'adadelta'}
1, 200, -35.5, {'epochs': 7, 'units1': 19, 'act1': 'elu', 'units2': 13, 'act2': 'relu', 'act3': 'elu', 'loss': 'mean_absolute_error', 'optimizer': 'nadam'}
1, 37, -209.5, {'epochs': 2, 'units1': 15, 'act1': 'relu', 'units2': 13, 'act2': 'tanh', 'act3': 'relu', 'loss': 'mean_absolute_error', 'optimizer': 'nadam'}
1, 9, -210.0, {'epochs': 2, 'units1': 13, 'act1': 'tanh', 'units2': 12, 'act2': 'relu', 'act3': 'tanh', 'loss': 'categorical_crossentropy', 'optimizer': 'adadelta'}
1, 9, -215.0, {'epochs': 3, 'units1': 13, 'act1': 'relu', 'units2': 9, 'act2': 'elu', 'act3': 'relu', 'loss': 'binary_crossentropy', 'optimizer': 'nadam'}
5, 70, 228.5, {'epochs': 2, 'units1': 12, 'act1': 'tanh', 'units2': 10, 'act2': 'relu', 'act3': 'tanh', 'loss': 'mean_squared_error', 'optimizer': 'adam'}
1, 39, -225.0, {'epochs': 3, 'units1': 15, 'act1': 'relu', 'units2': 13, 'act2': 'tanh', 'act3': 'relu', 'loss': 'categorical_crossentropy', 'optimizer': 'nadam'}
1, 200, -50.5, {'epochs': 4, 'units1': 14, 'act1': 'relu', 'units2': 11, 'act2': 'elu', 'act3': 'relu', 'loss': 'mean_squared_error', 'optimizer': 'adagrad'}
1, 200, -50.5, {'epochs': 35, 'units1': 45, 'act1': 'elu', 'units2': 55, 'act2': 'relu', 'act3': 'elu', 'loss': 'categorical_crossentropy', 'optimizer': 'adam'}
1, 200, -53.0, {'epochs': 6, 'units1': 16, 'act1': 'elu', 'units2': 12, 'act2': 'relu', 'act3': 'elu', 'loss': 'binary_crossentropy', 'optimizer': 'sgd'}
