Generation: 1
1, 6, -209, {'epochs': 52, 'units1': 95, 'act1': 'softmax', 'units2': 114, 'act2': 'relu', 'act3': 'tanh', 'loss': 'sparse_categorical_crossentropy', 'optimizer': 'adagrad'}
1, 4, -201, {'epochs': 61, 'units1': 76, 'act1': 'sigmoid', 'units2': 4, 'act2': 'relu', 'act3': 'selu', 'loss': 'mean_absolute_error', 'optimizer': 'rmsprop'}
1, 3, -203, {'epochs': 153, 'units1': 240, 'act1': 'linear', 'units2': 102, 'act2': 'sigmoid', 'act3': 'tanh', 'loss': 'mean_squared_error', 'optimizer': 'adamax'}
1, 8, -187, {'epochs': 30, 'units1': 143, 'act1': 'elu', 'units2': 187, 'act2': 'elu', 'act3': 'relu', 'loss': 'categorical_crossentropy', 'optimizer': 'nadam'}
1, 4, -201, {'epochs': 176, 'units1': 116, 'act1': 'tanh', 'units2': 218, 'act2': 'elu', 'act3': 'sigmoid', 'loss': 'binary_crossentropy', 'optimizer': 'adagrad'}
1, 9, -212, {'epochs': 104, 'units1': 114, 'act1': 'relu', 'units2': 84, 'act2': 'elu', 'act3': 'elu', 'loss': 'sparse_categorical_crossentropy', 'optimizer': 'adam'}
4, 33, 1322, {'epochs': 54, 'units1': 227, 'act1': 'linear', 'units2': 89, 'act2': 'elu', 'act3': 'elu', 'loss': 'categorical_crossentropy', 'optimizer': 'rmsprop'}
1, 27, -191, {'epochs': 64, 'units1': 85, 'act1': 'softmax', 'units2': 135, 'act2': 'sigmoid', 'act3': 'selu', 'loss': 'mean_absolute_error', 'optimizer': 'adagrad'}
1, 9, -197, {'epochs': 189, 'units1': 182, 'act1': 'relu', 'units2': 15, 'act2': 'elu', 'act3': 'sigmoid', 'loss': 'mean_absolute_error', 'optimizer': 'adagrad'}
1, 3, -197, {'epochs': 237, 'units1': 222, 'act1': 'selu', 'units2': 229, 'act2': 'tanh', 'act3': 'softmax', 'loss': 'mean_squared_error', 'optimizer': 'adamax'}
1, 3, -200, {'epochs': 99, 'units1': 183, 'act1': 'linear', 'units2': 198, 'act2': 'elu', 'act3': 'sigmoid', 'loss': 'binary_crossentropy', 'optimizer': 'adamax'}
1, 6, -191, {'epochs': 148, 'units1': 148, 'act1': 'linear', 'units2': 46, 'act2': 'softmax', 'act3': 'linear', 'loss': 'mean_absolute_error', 'optimizer': 'adamax'}
1, 6, -200, {'epochs': 227, 'units1': 51, 'act1': 'selu', 'units2': 224, 'act2': 'softmax', 'act3': 'elu', 'loss': 'binary_crossentropy', 'optimizer': 'rmsprop'}
1, 2, -202, {'epochs': 20, 'units1': 216, 'act1': 'softmax', 'units2': 248, 'act2': 'elu', 'act3': 'relu', 'loss': 'mean_absolute_error', 'optimizer': 'sgd'}
1, 5, -202, {'epochs': 4, 'units1': 25, 'act1': 'elu', 'units2': 22, 'act2': 'linear', 'act3': 'elu', 'loss': 'categorical_crossentropy', 'optimizer': 'sgd'}
1, 4, -195, {'epochs': 85, 'units1': 107, 'act1': 'softmax', 'units2': 81, 'act2': 'relu', 'act3': 'softmax', 'loss': 'mean_squared_error', 'optimizer': 'nadam'}
1, 7, -201, {'epochs': 99, 'units1': 57, 'act1': 'sigmoid', 'units2': 174, 'act2': 'softmax', 'act3': 'linear', 'loss': 'sparse_categorical_crossentropy', 'optimizer': 'rmsprop'}
Generation: 2
1, 3, -203, {'epochs': 54, 'units1': 227, 'act1': 'linear', 'units2': 89, 'act2': 'elu', 'act3': 'elu', 'loss': 'categorical_crossentropy', 'optimizer': 'rmsprop'}
1, 6, -191, {'epochs': 157, 'units1': 11, 'act1': 'relu', 'units2': 96, 'act2': 'linear', 'act3': 'sigmoid', 'loss': 'binary_crossentropy', 'optimizer': 'sgd'}
1, 8, -199, {'epochs': 139, 'units1': 223, 'act1': 'selu', 'units2': 251, 'act2': 'selu', 'act3': 'selu', 'loss': 'mean_squared_error', 'optimizer': 'sgd'}
1, 3, -197, {'epochs': 90, 'units1': 192, 'act1': 'tanh', 'units2': 63, 'act2': 'tanh', 'act3': 'selu', 'loss': 'sparse_categorical_crossentropy', 'optimizer': 'adam'}
1, 7, -189, {'epochs': 30, 'units1': 143, 'act1': 'elu', 'units2': 187, 'act2': 'elu', 'act3': 'relu', 'loss': 'categorical_crossentropy', 'optimizer': 'nadam'}
1, 3, -206, {'epochs': 112, 'units1': 216, 'act1': 'relu', 'units2': 169, 'act2': 'selu', 'act3': 'softmax', 'loss': 'mean_squared_error', 'optimizer': 'adam'}
1, 6, -200, {'epochs': 89, 'units1': 127, 'act1': 'softmax', 'units2': 63, 'act2': 'elu', 'act3': 'linear', 'loss': 'categorical_crossentropy', 'optimizer': 'adam'}
1, 4, -201, {'epochs': 241, 'units1': 230, 'act1': 'selu', 'units2': 83, 'act2': 'relu', 'act3': 'softmax', 'loss': 'binary_crossentropy', 'optimizer': 'adamax'}
1, 5, -193, {'epochs': 64, 'units1': 85, 'act1': 'softmax', 'units2': 135, 'act2': 'sigmoid', 'act3': 'selu', 'loss': 'mean_absolute_error', 'optimizer': 'adagrad'}
1, 7, -201, {'epochs': 148, 'units1': 148, 'act1': 'linear', 'units2': 46, 'act2': 'softmax', 'act3': 'linear', 'loss': 'mean_absolute_error', 'optimizer': 'adamax'}
1, 6, -191, {'epochs': 69, 'units1': 121, 'act1': 'selu', 'units2': 6, 'act2': 'elu', 'act3': 'linear', 'loss': 'sparse_categorical_crossentropy', 'optimizer': 'adamax'}
1, 1, -201, {'epochs': 117, 'units1': 141, 'act1': 'linear', 'units2': 99, 'act2': 'linear', 'act3': 'linear', 'loss': 'binary_crossentropy', 'optimizer': 'adagrad'}
1, 6, -206, {'epochs': 164, 'units1': 219, 'act1': 'elu', 'units2': 44, 'act2': 'tanh', 'act3': 'sigmoid', 'loss': 'binary_crossentropy', 'optimizer': 'adam'}
1, 3, -197, {'epochs': 169, 'units1': 184, 'act1': 'selu', 'units2': 225, 'act2': 'linear', 'act3': 'linear', 'loss': 'mean_absolute_error', 'optimizer': 'nadam'}
1, 5, -202, {'epochs': 28, 'units1': 189, 'act1': 'relu', 'units2': 115, 'act2': 'tanh', 'act3': 'selu', 'loss': 'categorical_crossentropy', 'optimizer': 'rmsprop'}
1, 5, -199, {'epochs': 85, 'units1': 107, 'act1': 'softmax', 'units2': 81, 'act2': 'relu', 'act3': 'softmax', 'loss': 'mean_squared_error', 'optimizer': 'nadam'}
1, 4, -195, {'epochs': 88, 'units1': 95, 'act1': 'relu', 'units2': 33, 'act2': 'selu', 'act3': 'tanh', 'loss': 'mean_absolute_error', 'optimizer': 'adadelta'}
1, 6, -194, {'epochs': 8, 'units1': 37, 'act1': 'softmax', 'units2': 177, 'act2': 'relu', 'act3': 'linear', 'loss': 'sparse_categorical_crossentropy', 'optimizer': 'nadam'}
1, 7, -201, {'epochs': 146, 'units1': 17, 'act1': 'sigmoid', 'units2': 102, 'act2': 'elu', 'act3': 'elu', 'loss': 'categorical_crossentropy', 'optimizer': 'nadam'}
1, 7, -189, {'epochs': 199, 'units1': 173, 'act1': 'linear', 'units2': 6, 'act2': 'softmax', 'act3': 'linear', 'loss': 'mean_absolute_error', 'optimizer': 'adam'}
1, 6, -191, {'epochs': 189, 'units1': 182, 'act1': 'relu', 'units2': 15, 'act2': 'elu', 'act3': 'sigmoid', 'loss': 'mean_absolute_error', 'optimizer': 'adagrad'}
1, 7, -189, {'epochs': 237, 'units1': 222, 'act1': 'selu', 'units2': 229, 'act2': 'tanh', 'act3': 'softmax', 'loss': 'mean_squared_error', 'optimizer': 'adamax'}
1, 5, -208, {'epochs': 25, 'units1': 33, 'act1': 'selu', 'units2': 179, 'act2': 'linear', 'act3': 'linear', 'loss': 'mean_squared_error', 'optimizer': 'nadam'}
1, 5, -199, {'epochs': 83, 'units1': 167, 'act1': 'sigmoid', 'units2': 204, 'act2': 'elu', 'act3': 'softmax', 'loss': 'binary_crossentropy', 'optimizer': 'adagrad'}
1, 3, -197, {'epochs': 199, 'units1': 235, 'act1': 'relu', 'units2': 86, 'act2': 'elu', 'act3': 'linear', 'loss': 'mean_squared_error', 'optimizer': 'adagrad'}
1, 4, -204, {'epochs': 1, 'units1': 166, 'act1': 'tanh', 'units2': 35, 'act2': 'relu', 'act3': 'tanh', 'loss': 'mean_absolute_error', 'optimizer': 'nadam'}
1, 6, -191, {'epochs': 247, 'units1': 229, 'act1': 'relu', 'units2': 82, 'act2': 'selu', 'act3': 'relu', 'loss': 'categorical_crossentropy', 'optimizer': 'adagrad'}
1, 6, -191, {'epochs': 1, 'units1': 166, 'act1': 'tanh', 'units2': 35, 'act2': 'relu', 'act3': 'tanh', 'loss': 'mean_absolute_error', 'optimizer': 'nadam'}
1, 5, -193, {'epochs': 247, 'units1': 229, 'act1': 'relu', 'units2': 82, 'act2': 'selu', 'act3': 'relu', 'loss': 'categorical_crossentropy', 'optimizer': 'adagrad'}
1, 3, -197, {'epochs': 93, 'units1': 91, 'act1': 'selu', 'units2': 32, 'act2': 'relu', 'act3': 'selu', 'loss': 'binary_crossentropy', 'optimizer': 'sgd'}
