Generation: 2
1, 19, -201, {'epochs': 176, 'units1': 207, 'act1': 'tanh', 'units2': 184, 'act2': 'selu', 'act3': 'tanh', 'loss': 'sparse_categorical_crossentropy', 'optimizer': 'nadam'}
1, 20, -193, {'epochs': 13, 'units1': 135, 'act1': 'tanh', 'units2': 19, 'act2': 'elu', 'act3': 'tanh', 'loss': 'mean_squared_error', 'optimizer': 'adam'}
1, 200, -319, {'epochs': 195, 'units1': 84, 'act1': 'linear', 'units2': 200, 'act2': 'sigmoid', 'act3': 'linear', 'loss': 'binary_crossentropy', 'optimizer': 'adamax'}
2, 203, -79, {'epochs': 182, 'units1': 89, 'act1': 'sigmoid', 'units2': 17, 'act2': 'elu', 'act3': 'sigmoid', 'loss': 'binary_crossentropy', 'optimizer': 'rmsprop'}
1, 200, -571, {'epochs': 174, 'units1': 229, 'act1': 'sigmoid', 'units2': 82, 'act2': 'softmax', 'act3': 'sigmoid', 'loss': 'categorical_crossentropy', 'optimizer': 'adamax'}
1, 9, -212, {'epochs': 88, 'units1': 206, 'act1': 'tanh', 'units2': 139, 'act2': 'relu', 'act3': 'tanh', 'loss': 'binary_crossentropy', 'optimizer': 'adamax'}
1, 10, -213, {'epochs': 32, 'units1': 223, 'act1': 'tanh', 'units2': 216, 'act2': 'selu', 'act3': 'tanh', 'loss': 'categorical_crossentropy', 'optimizer': 'nadam'}
1, 200, -574, {'epochs': 177, 'units1': 94, 'act1': 'sigmoid', 'units2': 24, 'act2': 'elu', 'act3': 'sigmoid', 'loss': 'categorical_crossentropy', 'optimizer': 'rmsprop'}
1, 10, -220, {'epochs': 238, 'units1': 229, 'act1': 'selu', 'units2': 2, 'act2': 'selu', 'act3': 'selu', 'loss': 'mean_squared_error', 'optimizer': 'sgd'}
1, 9, -212, {'epochs': 196, 'units1': 88, 'act1': 'linear', 'units2': 204, 'act2': 'sigmoid', 'act3': 'linear', 'loss': 'mean_absolute_error', 'optimizer': 'sgd'}
8, 101, 3381, {'epochs': 205, 'units1': 103, 'act1': 'sigmoid', 'units2': 131, 'act2': 'linear', 'act3': 'sigmoid', 'loss': 'sparse_categorical_crossentropy', 'optimizer': 'nadam'}
4, 37, 1337, {'epochs': 152, 'units1': 186, 'act1': 'selu', 'units2': 77, 'act2': 'selu', 'act3': 'selu', 'loss': 'sparse_categorical_crossentropy', 'optimizer': 'adadelta'}
1, 9, -212, {'epochs': 185, 'units1': 196, 'act1': 'tanh', 'units2': 182, 'act2': 'selu', 'act3': 'tanh', 'loss': 'sparse_categorical_crossentropy', 'optimizer': 'rmsprop'}
