Generation: 26
1, 200, -63889, {'epochs': 94, 'units1': 2, 'act1': 'elu', 'units2': 150, 'act2': 'elu', 'act3': 'elu', 'loss': 'sparse_categorical_crossentropy', 'optimizer': 'adadelta'}
1, 20, -196, {'epochs': 239, 'units1': 151, 'act1': 'linear', 'units2': 55, 'act2': 'linear', 'act3': 'linear', 'loss': 'categorical_crossentropy', 'optimizer': 'rmsprop'}
3, 22, 818, {'epochs': 254, 'units1': 203, 'act1': 'linear', 'units2': 97, 'act2': 'linear', 'act3': 'linear', 'loss': 'mean_absolute_error', 'optimizer': 'adagrad'}
1, 9, -206, {'epochs': 71, 'units1': 147, 'act1': 'tanh', 'units2': 30, 'act2': 'tanh', 'act3': 'tanh', 'loss': 'mean_squared_error', 'optimizer': 'rmsprop'}
1, 10, -210, {'epochs': 44, 'units1': 180, 'act1': 'linear', 'units2': 130, 'act2': 'linear', 'act3': 'linear', 'loss': 'categorical_crossentropy', 'optimizer': 'adamax'}
1, 200, 122, {'epochs': 150, 'units1': 241, 'act1': 'tanh', 'units2': 74, 'act2': 'tanh', 'act3': 'tanh', 'loss': 'binary_crossentropy', 'optimizer': 'rmsprop'}
1, 9, -212, {'epochs': 104, 'units1': 51, 'act1': 'elu', 'units2': 175, 'act2': 'tanh', 'act3': 'elu', 'loss': 'mean_squared_error', 'optimizer': 'rmsprop'}
1, 200, -66901, {'epochs': 76, 'units1': 152, 'act1': 'tanh', 'units2': 20, 'act2': 'tanh', 'act3': 'tanh', 'loss': 'sparse_categorical_crossentropy', 'optimizer': 'nadam'}
1, 200, 96, {'epochs': 245, 'units1': 205, 'act1': 'linear', 'units2': 102, 'act2': 'linear', 'act3': 'linear', 'loss': 'sparse_categorical_crossentropy', 'optimizer': 'sgd'}
1, 9, -191, {'epochs': 186, 'units1': 204, 'act1': 'tanh', 'units2': 156, 'act2': 'tanh', 'act3': 'tanh', 'loss': 'mean_absolute_error', 'optimizer': 'rmsprop'}
5, 76, 848, {'epochs': 117, 'units1': 46, 'act1': 'selu', 'units2': 108, 'act2': 'selu', 'act3': 'selu', 'loss': 'sparse_categorical_crossentropy', 'optimizer': 'adamax'}
1, 200, 102, {'epochs': 129, 'units1': 89, 'act1': 'tanh', 'units2': 198, 'act2': 'elu', 'act3': 'tanh', 'loss': 'sparse_categorical_crossentropy', 'optimizer': 'adamax'}
1, 200, -66904, {'epochs': 31, 'units1': 21, 'act1': 'linear', 'units2': 115, 'act2': 'linear', 'act3': 'linear', 'loss': 'sparse_categorical_crossentropy', 'optimizer': 'adagrad'}
5, 68, 845, {'epochs': 77, 'units1': 159, 'act1': 'tanh', 'units2': 30, 'act2': 'tanh', 'act3': 'tanh', 'loss': 'binary_crossentropy', 'optimizer': 'adamax'}
1, 20, -196, {'epochs': 188, 'units1': 180, 'act1': 'selu', 'units2': 82, 'act2': 'elu', 'act3': 'selu', 'loss': 'categorical_crossentropy', 'optimizer': 'rmsprop'}
1, 9, -212, {'epochs': 158, 'units1': 162, 'act1': 'tanh', 'units2': 70, 'act2': 'tanh', 'act3': 'tanh', 'loss': 'sparse_categorical_crossentropy', 'optimizer': 'adadelta'}
1, 19, -222, {'epochs': 62, 'units1': 43, 'act1': 'elu', 'units2': 97, 'act2': 'linear', 'act3': 'elu', 'loss': 'sparse_categorical_crossentropy', 'optimizer': 'adagrad'}
3, 41, 821, {'epochs': 174, 'units1': 171, 'act1': 'tanh', 'units2': 65, 'act2': 'tanh', 'act3': 'tanh', 'loss': 'categorical_crossentropy', 'optimizer': 'adam'}
1, 9, -185, {'epochs': 333, 'units1': 232, 'act1': 'linear', 'units2': 174, 'act2': 'linear', 'act3': 'linear', 'loss': 'categorical_crossentropy', 'optimizer': 'nadam'}
14, 648, 6413, {'epochs': 231, 'units1': 147, 'act1': 'linear', 'units2': 62, 'act2': 'linear', 'act3': 'linear', 'loss': 'mean_squared_error', 'optimizer': 'nadam'}
4, 24, 1324, {'epochs': 108, 'units1': 40, 'act1': 'linear', 'units2': 196, 'act2': 'tanh', 'act3': 'linear', 'loss': 'mean_absolute_error', 'optimizer': 'adam'}
1, 21, -1194, {'epochs': 194, 'units1': 64, 'act1': 'linear', 'units2': 267, 'act2': 'tanh', 'act3': 'linear', 'loss': 'mean_absolute_error', 'optimizer': 'adam'}
