Generation: 1
1, 28, -211.0, {'epochs': 9, 'units1': 30, 'act1': 'tanh', 'units2': 18, 'act2': 'linear', 'act3': 'tanh', 'loss': 'binary_crossentropy', 'optimizer': 'sgd'}
1, 9, -205.0, {'epochs': 9, 'units1': 25, 'act1': 'relu', 'units2': 9, 'act2': 'relu', 'act3': 'relu', 'loss': 'mean_squared_error', 'optimizer': 'adamax'}
1, 9, -215.0, {'epochs': 5, 'units1': 17, 'act1': 'tanh', 'units2': 4, 'act2': 'relu', 'act3': 'tanh', 'loss': 'binary_crossentropy', 'optimizer': 'adam'}
1, 17, -207.0, {'epochs': 6, 'units1': 21, 'act1': 'linear', 'units2': 11, 'act2': 'tanh', 'act3': 'linear', 'loss': 'mean_squared_error', 'optimizer': 'nadam'}
1, 200, -58.0, {'epochs': 6, 'units1': 19, 'act1': 'relu', 'units2': 8, 'act2': 'relu', 'act3': 'relu', 'loss': 'categorical_crossentropy', 'optimizer': 'rmsprop'}
1, 9, -210.0, {'epochs': 7, 'units1': 19, 'act1': 'relu', 'units2': 4, 'act2': 'relu', 'act3': 'relu', 'loss': 'binary_crossentropy', 'optimizer': 'adadelta'}
1, 9, -215.0, {'epochs': 8, 'units1': 20, 'act1': 'relu', 'units2': 2, 'act2': 'relu', 'act3': 'relu', 'loss': 'binary_crossentropy', 'optimizer': 'sgd'}
1, 9, -215.0, {'epochs': 101, 'units1': 116, 'act1': 'relu', 'units2': 66, 'act2': 'relu', 'act3': 'relu', 'loss': 'sparse_categorical_crossentropy', 'optimizer': 'rmsprop'}
3, 235, 187.0, {'epochs': 6, 'units1': 18, 'act1': 'relu', 'units2': 6, 'act2': 'relu', 'act3': 'relu', 'loss': 'mean_absolute_error', 'optimizer': 'adadelta'}
1, 10, -216.5, {'epochs': 5, 'units1': 16, 'act1': 'relu', 'units2': 5, 'act2': 'relu', 'act3': 'relu', 'loss': 'mean_squared_error', 'optimizer': 'adagrad'}
1, 9, -205.0, {'epochs': 4, 'units1': 14, 'act1': 'relu', 'units2': 4, 'act2': 'tanh', 'act3': 'relu', 'loss': 'mean_absolute_error', 'optimizer': 'adadelta'}
1, 9, -197.5, {'epochs': 5, 'units1': 19, 'act1': 'linear', 'units2': 10, 'act2': 'tanh', 'act3': 'linear', 'loss': 'mean_squared_error', 'optimizer': 'sgd'}
