Generation: 99
1, 200, -571, {'epochs': 107, 'units1': 16, 'act1': 'linear', 'units2': 37, 'act2': 'tanh', 'act3': 'linear', 'loss': 'mean_squared_error', 'optimizer': 'sgd'}
1, 9, -212, {'epochs': 91, 'units1': 64, 'act1': 'linear', 'units2': 53, 'act2': 'tanh', 'act3': 'linear', 'loss': 'mean_squared_error', 'optimizer': 'sgd'}
2, 24, 313, {'epochs': 43, 'units1': 32, 'act1': 'linear', 'units2': 229, 'act2': 'tanh', 'act3': 'linear', 'loss': 'categorical_crossentropy', 'optimizer': 'adagrad'}
4, 317, 938, {'epochs': 96, 'units1': 24, 'act1': 'linear', 'units2': 36, 'act2': 'tanh', 'act3': 'linear', 'loss': 'sparse_categorical_crossentropy', 'optimizer': 'nadam'}
1, 19, -222, {'epochs': 27, 'units1': 224, 'act1': 'tanh', 'units2': 213, 'act2': 'linear', 'act3': 'tanh', 'loss': 'binary_crossentropy', 'optimizer': 'rmsprop'}
4, 41, 1324, {'epochs': 32, 'units1': 43, 'act1': 'linear', 'units2': 230, 'act2': 'tanh', 'act3': 'linear', 'loss': 'binary_crossentropy', 'optimizer': 'sgd'}
4, 247, 1235, {'epochs': 107, 'units1': 64, 'act1': 'linear', 'units2': 37, 'act2': 'tanh', 'act3': 'linear', 'loss': 'mean_absolute_error', 'optimizer': 'adamax'}
1, 200, -581, {'epochs': 43, 'units1': 32, 'act1': 'linear', 'units2': 229, 'act2': 'tanh', 'act3': 'linear', 'loss': 'mean_squared_error', 'optimizer': 'nadam'}
1, 9, -212, {'epochs': 27, 'units1': 48, 'act1': 'linear', 'units2': 69, 'act2': 'tanh', 'act3': 'linear', 'loss': 'sparse_categorical_crossentropy', 'optimizer': 'rmsprop'}
1, 19, -198, {'epochs': 235, 'units1': 176, 'act1': 'tanh', 'units2': 101, 'act2': 'linear', 'act3': 'tanh', 'loss': 'mean_absolute_error', 'optimizer': 'rmsprop'}
1, 10, -213, {'epochs': 43, 'units1': 32, 'act1': 'linear', 'units2': 229, 'act2': 'tanh', 'act3': 'linear', 'loss': 'binary_crossentropy', 'optimizer': 'sgd'}
1, 12, -185, {'epochs': 43, 'units1': 32, 'act1': 'tanh', 'units2': 229, 'act2': 'linear', 'act3': 'tanh', 'loss': 'binary_crossentropy', 'optimizer': 'nadam'}
1, 200, -574, {'epochs': 107, 'units1': 16, 'act1': 'linear', 'units2': 37, 'act2': 'tanh', 'act3': 'linear', 'loss': 'categorical_crossentropy', 'optimizer': 'adagrad'}
2, 18, 331, {'epochs': 203, 'units1': 240, 'act1': 'tanh', 'units2': 181, 'act2': 'linear', 'act3': 'tanh', 'loss': 'binary_crossentropy', 'optimizer': 'adadelta'}
1, 200, 93, {'epochs': 323, 'units1': 269, 'act1': 'tanh', 'units2': 147, 'act2': 'linear', 'act3': 'tanh', 'loss': 'binary_crossentropy', 'optimizer': 'sgd'}
1, 21, -206, {'epochs': 199, 'units1': 242, 'act1': 'tanh', 'units2': 191, 'act2': 'linear', 'act3': 'tanh', 'loss': 'sparse_categorical_crossentropy', 'optimizer': 'sgd'}
1, 19, -195, {'epochs': 256, 'units1': 282, 'act1': 'tanh', 'units2': 276, 'act2': 'linear', 'act3': 'tanh', 'loss': 'categorical_crossentropy', 'optimizer': 'nadam'}
1, 9, -212, {'epochs': 203, 'units1': 240, 'act1': 'tanh', 'units2': 181, 'act2': 'linear', 'act3': 'tanh', 'loss': 'sparse_categorical_crossentropy', 'optimizer': 'sgd'}
