Generation: 27
1, 200, 99, {'epochs': 188, 'units1': 15, 'act1': 'linear', 'units2': 234, 'act2': 'sigmoid', 'act3': 'linear', 'loss': 'mean_squared_error', 'optimizer': 'adamax'}
1, 200, 96, {'epochs': 60, 'units1': 92, 'act1': 'softmax', 'units2': 43, 'act2': 'sigmoid', 'act3': 'softmax', 'loss': 'sparse_categorical_crossentropy', 'optimizer': 'adamax'}
1, 200, 96, {'epochs': 17, 'units1': 146, 'act1': 'sigmoid', 'units2': 76, 'act2': 'elu', 'act3': 'sigmoid', 'loss': 'binary_crossentropy', 'optimizer': 'adadelta'}
1, 9, -212, {'epochs': 188, 'units1': 15, 'act1': 'linear', 'units2': 234, 'act2': 'sigmoid', 'act3': 'linear', 'loss': 'categorical_crossentropy', 'optimizer': 'adamax'}
2, 204, 599, {'epochs': 188, 'units1': 15, 'act1': 'sigmoid', 'units2': 234, 'act2': 'linear', 'act3': 'sigmoid', 'loss': 'binary_crossentropy', 'optimizer': 'nadam'}
1, 200, 96, {'epochs': 18, 'units1': 145, 'act1': 'elu', 'units2': 74, 'act2': 'sigmoid', 'act3': 'elu', 'loss': 'mean_squared_error', 'optimizer': 'adadelta'}
1, 200, 96, {'epochs': 167, 'units1': 57, 'act1': 'sigmoid', 'units2': 228, 'act2': 'elu', 'act3': 'sigmoid', 'loss': 'sparse_categorical_crossentropy', 'optimizer': 'adam'}
1, 200, 96, {'epochs': 83, 'units1': 213, 'act1': 'sigmoid', 'units2': 109, 'act2': 'elu', 'act3': 'sigmoid', 'loss': 'binary_crossentropy', 'optimizer': 'rmsprop'}
1, 200, 96, {'epochs': 172, 'units1': 63, 'act1': 'elu', 'units2': 234, 'act2': 'sigmoid', 'act3': 'elu', 'loss': 'sparse_categorical_crossentropy', 'optimizer': 'adagrad'}
1, 200, 96, {'epochs': 204, 'units1': 111, 'act1': 'elu', 'units2': 42, 'act2': 'sigmoid', 'act3': 'elu', 'loss': 'binary_crossentropy', 'optimizer': 'sgd'}
1, 9, -212, {'epochs': 188, 'units1': 15, 'act1': 'sigmoid', 'units2': 234, 'act2': 'linear', 'act3': 'sigmoid', 'loss': 'mean_squared_error', 'optimizer': 'adam'}
1, 200, 72, {'epochs': 172, 'units1': 60, 'act1': 'sigmoid', 'units2': 235, 'act2': 'elu', 'act3': 'sigmoid', 'loss': 'sparse_categorical_crossentropy', 'optimizer': 'adam'}
1, 200, 96, {'epochs': 21, 'units1': 155, 'act1': 'sigmoid', 'units2': 69, 'act2': 'elu', 'act3': 'sigmoid', 'loss': 'sparse_categorical_crossentropy', 'optimizer': 'adagrad'}
1, 200, 99, {'epochs': 172, 'units1': 63, 'act1': 'sigmoid', 'units2': 234, 'act2': 'elu', 'act3': 'sigmoid', 'loss': 'mean_absolute_error', 'optimizer': 'rmsprop'}
1, 200, 96, {'epochs': 18, 'units1': 145, 'act1': 'sigmoid', 'units2': 74, 'act2': 'elu', 'act3': 'sigmoid', 'loss': 'binary_crossentropy', 'optimizer': 'nadam'}
1, 200, 99, {'epochs': 172, 'units1': 63, 'act1': 'sigmoid', 'units2': 234, 'act2': 'elu', 'act3': 'sigmoid', 'loss': 'sparse_categorical_crossentropy', 'optimizer': 'adadelta'}
