Generation: 4
1, 9, -212, {'epochs': 171, 'units1': 145, 'act1': 'elu', 'units2': 147, 'act2': 'elu', 'act3': 'elu', 'loss': 'binary_crossentropy', 'optimizer': 'adam'}
1, 33, -212, {'epochs': 179, 'units1': 53, 'act1': 'tanh', 'units2': 210, 'act2': 'linear', 'act3': 'tanh', 'loss': 'sparse_categorical_crossentropy', 'optimizer': 'adam'}
1, 9, -188, {'epochs': 55, 'units1': 167, 'act1': 'relu', 'units2': 191, 'act2': 'tanh', 'act3': 'relu', 'loss': 'mean_squared_error', 'optimizer': 'adagrad'}
1, 33, -209, {'epochs': 108, 'units1': 101, 'act1': 'relu', 'units2': 45, 'act2': 'relu', 'act3': 'linear', 'loss': 'binary_crossentropy', 'optimizer': 'adamax'}
3, 238, -65868, {'epochs': 59, 'units1': 160, 'act1': 'relu', 'units2': 184, 'act2': 'tanh', 'act3': 'relu', 'loss': 'mean_absolute_error', 'optimizer': 'adadelta'}
1, 28, -186, {'epochs': 245, 'units1': 112, 'act1': 'tanh', 'units2': 206, 'act2': 'tanh', 'act3': 'tanh', 'loss': 'mean_squared_error', 'optimizer': 'adagrad'}
1, 200, 122, {'epochs': 107, 'units1': 20, 'act1': 'selu', 'units2': 77, 'act2': 'elu', 'act3': 'selu', 'loss': 'mean_squared_error', 'optimizer': 'sgd'}
1, 200, 122, {'epochs': 72, 'units1': 125, 'act1': 'linear', 'units2': 141, 'act2': 'relu', 'act3': 'linear', 'loss': 'sparse_categorical_crossentropy', 'optimizer': 'nadam'}
1, 19, -195, {'epochs': 248, 'units1': 220, 'act1': 'linear', 'units2': 124, 'act2': 'selu', 'act3': 'linear', 'loss': 'sparse_categorical_crossentropy', 'optimizer': 'nadam'}
2, 48, 311, {'epochs': 140, 'units1': 136, 'act1': 'linear', 'units2': 130, 'act2': 'selu', 'act3': 'linear', 'loss': 'binary_crossentropy', 'optimizer': 'adadelta'}
1, 9, -212, {'epochs': 121, 'units1': 28, 'act1': 'elu', 'units2': 53, 'act2': 'elu', 'act3': 'elu', 'loss': 'binary_crossentropy', 'optimizer': 'adam'}
1, 9, -212, {'epochs': 12, 'units1': 216, 'act1': 'tanh', 'units2': 162, 'act2': 'elu', 'act3': 'tanh', 'loss': 'sparse_categorical_crossentropy', 'optimizer': 'nadam'}
1, 9, -212, {'epochs': 61, 'units1': 67, 'act1': 'elu', 'units2': 173, 'act2': 'linear', 'act3': 'softmax', 'loss': 'binary_crossentropy', 'optimizer': 'adadelta'}
1, 9, -212, {'epochs': 60, 'units1': 221, 'act1': 'elu', 'units2': 126, 'act2': 'elu', 'act3': 'tanh', 'loss': 'categorical_crossentropy', 'optimizer': 'adamax'}
1, 200, -48895, {'epochs': 217, 'units1': 76, 'act1': 'tanh', 'units2': 165, 'act2': 'elu', 'act3': 'tanh', 'loss': 'binary_crossentropy', 'optimizer': 'adamax'}
1, 9, -185, {'epochs': 92, 'units1': 232, 'act1': 'tanh', 'units2': 257, 'act2': 'elu', 'act3': 'tanh', 'loss': 'mean_absolute_error', 'optimizer': 'rmsprop'}
1, 200, 83, {'epochs': 110, 'units1': 3, 'act1': 'selu', 'units2': 181, 'act2': 'linear', 'act3': 'selu', 'loss': 'binary_crossentropy', 'optimizer': 'sgd'}
