Generation: 1
1, 9, -212, {'epochs': 183, 'units1': 104, 'act1': 'selu', 'units2': 83, 'act2': 'selu', 'act3': 'softmax', 'loss': 'mean_squared_error', 'optimizer': 'adam'}
1, 9, -212, {'epochs': 14, 'units1': 253, 'act1': 'sigmoid', 'units2': 163, 'act2': 'softmax', 'act3': 'linear', 'loss': 'sparse_categorical_crossentropy', 'optimizer': 'adadelta'}
2, 46, 326, {'epochs': 93, 'units1': 111, 'act1': 'linear', 'units2': 158, 'act2': 'relu', 'act3': 'relu', 'loss': 'binary_crossentropy', 'optimizer': 'adadelta'}
1, 9, -188, {'epochs': 20, 'units1': 40, 'act1': 'softmax', 'units2': 148, 'act2': 'elu', 'act3': 'tanh', 'loss': 'categorical_crossentropy', 'optimizer': 'adamax'}
1, 200, -60904, {'epochs': 217, 'units1': 156, 'act1': 'elu', 'units2': 203, 'act2': 'relu', 'act3': 'sigmoid', 'loss': 'sparse_categorical_crossentropy', 'optimizer': 'adamax'}
1, 18, -197, {'epochs': 2, 'units1': 162, 'act1': 'relu', 'units2': 31, 'act2': 'tanh', 'act3': 'softmax', 'loss': 'binary_crossentropy', 'optimizer': 'nadam'}
1, 9, -200, {'epochs': 254, 'units1': 245, 'act1': 'elu', 'units2': 107, 'act2': 'softmax', 'act3': 'selu', 'loss': 'categorical_crossentropy', 'optimizer': 'adagrad'}
1, 9, -212, {'epochs': 247, 'units1': 188, 'act1': 'softmax', 'units2': 126, 'act2': 'sigmoid', 'act3': 'sigmoid', 'loss': 'mean_absolute_error', 'optimizer': 'adagrad'}
1, 200, -66901, {'epochs': 179, 'units1': 51, 'act1': 'softmax', 'units2': 107, 'act2': 'elu', 'act3': 'sigmoid', 'loss': 'mean_squared_error', 'optimizer': 'nadam'}
1, 200, -66901, {'epochs': 197, 'units1': 72, 'act1': 'softmax', 'units2': 215, 'act2': 'softmax', 'act3': 'elu', 'loss': 'mean_absolute_error', 'optimizer': 'rmsprop'}
1, 200, -66904, {'epochs': 171, 'units1': 144, 'act1': 'selu', 'units2': 147, 'act2': 'sigmoid', 'act3': 'elu', 'loss': 'binary_crossentropy', 'optimizer': 'sgd'}
1, 9, -212, {'epochs': 77, 'units1': 89, 'act1': 'linear', 'units2': 127, 'act2': 'softmax', 'act3': 'relu', 'loss': 'mean_squared_error', 'optimizer': 'rmsprop'}
1, 200, -66901, {'epochs': 244, 'units1': 42, 'act1': 'sigmoid', 'units2': 205, 'act2': 'sigmoid', 'act3': 'selu', 'loss': 'mean_squared_error', 'optimizer': 'adam'}
1, 200, -66901, {'epochs': 177, 'units1': 158, 'act1': 'linear', 'units2': 218, 'act2': 'softmax', 'act3': 'softmax', 'loss': 'mean_squared_error', 'optimizer': 'adamax'}
